proxy,corr_with_s2
R_S1_Q,-0.13877493856007528
R_S2_S1,-0.1304301908474872
band_count,0.48414503081305316
band_count_structural,-0.15116202134937504
band_power_capture,-0.4388726386591545
band_structural_cap_hit,nan
first_energy,-0.000981009203188044
has_s3_dominant,nan
lock_Q0_S1_0_1-1_L,0.06545908857941063
lock_Q0_S1_0_1-1_locked,nan
lock_Q0_S1_0_1-1_ratio,-0.002822059426435498
lock_Q0_S1_0_3-2_L,0.08699255149843423
lock_Q0_S1_0_3-2_locked,nan
lock_Q0_S1_0_3-2_ratio,-0.002822059426435498
lock_Q0_S2_0_1-1_L,0.01108455554800234
lock_Q0_S2_0_1-1_locked,nan
lock_Q0_S2_0_1-1_ratio,-0.002822059426435498
lock_Q0_S2_0_5-3_L,0.002054169678507133
lock_Q0_S2_0_5-3_locked,nan
lock_Q0_S2_0_5-3_ratio,-0.002822059426435498
lock_Q1_S1_1_1-1_L,0.05557470761159426
lock_Q1_S1_1_1-1_locked,nan
lock_Q1_S1_1_1-1_ratio,-0.034888160950827383
lock_Q1_S1_1_3-2_L,0.11017590622229191
lock_Q1_S1_1_3-2_locked,nan
lock_Q1_S1_1_3-2_ratio,-0.034888160950827383
lock_Q1_S2_1_1-1_L,0.02790695951416059
lock_Q1_S2_1_1-1_locked,nan
lock_Q1_S2_1_1-1_ratio,-0.034888160950827383
lock_Q1_S2_1_5-3_L,-0.00612312353930547
lock_Q1_S2_1_5-3_locked,nan
lock_Q1_S2_1_5-3_ratio,-0.034888160950827383
lock_Q2_S1_0_1-1_L,0.06771670612186484
lock_Q2_S1_0_1-1_locked,nan
lock_Q2_S1_0_1-1_ratio,0.01246062898762917
lock_Q2_S1_1_1-1_L,0.06074761866361175
lock_Q2_S1_1_1-1_locked,nan
lock_Q2_S1_1_1-1_ratio,0.01246062898762917
lock_Q2_S2_2_1-1_L,0.02830896653002907
lock_Q2_S2_2_1-1_locked,nan
lock_Q2_S2_2_1-1_ratio,0.01246062898762917
lock_S1_0_S2_0_1-1_L,0.1883433231934331
lock_S1_0_S2_0_1-1_locked,-0.005763956744147025
lock_S1_0_S2_0_1-1_ratio,nan
lock_S1_0_S2_0_2-1_L,0.012900676302685002
lock_S1_0_S2_0_2-1_locked,nan
lock_S1_0_S2_0_2-1_ratio,nan
lock_S1_0_S2_2_1-1_L,0.23008744776735665
lock_S1_0_S2_2_1-1_locked,-0.004704363566485877
lock_S1_0_S2_2_1-1_ratio,nan
lock_S1_1_S2_1_1-1_L,0.21098442691297015
lock_S1_1_S2_1_1-1_locked,0.2114133047147894
lock_S1_1_S2_1_1-1_ratio,nan
lock_S1_1_S2_1_2-1_L,0.01952870938967332
lock_S1_1_S2_1_2-1_locked,nan
lock_S1_1_S2_1_2-1_ratio,nan
lock_S1_1_S2_3_1-1_L,0.23383845444882856
lock_S1_1_S2_3_1-1_locked,0.23793689375739518
lock_S1_1_S2_3_1-1_ratio,nan
lock_quality_Q,-0.49621168605327753
lock_quality_S1,-0.00513105768724542
lock_quality_S2,0.9624740248688163
peak_cap,nan
peak_cap_hit,nan
peaks_kept_count,0.48768852929818096
peaks_raw_count,0.47732771539597957
run_id,0.03492283577310832
s2_band_fraction,0.9624900676487813
s2_band_fraction_total,nan
s2_total_fraction,0.9329707954367732
s3_band_fraction,nan
s3_total_fraction,nan
second_energy,-0.04309417247189757
spacing_mean,-0.04478152020738675
spacing_std,-0.030463095214494952
third_energy,-0.011785735295365127
