proxy,corr_with_s2
R_S1_Q,-0.11376935514660712
R_S2_S1,-0.09887147085908148
band_count,0.3915809627817941
band_count_structural,-0.1470015573185423
band_power_capture,-0.4107543566647877
band_structural_cap_hit,nan
first_energy,0.03115935595592754
has_s3_dominant,nan
lock_Q0_S1_0_1-1_L,0.005785154662425412
lock_Q0_S1_0_1-1_locked,nan
lock_Q0_S1_0_1-1_ratio,0.04556461554195765
lock_Q0_S1_0_3-2_L,0.045505667000338826
lock_Q0_S1_0_3-2_locked,nan
lock_Q0_S1_0_3-2_ratio,0.04556461554195765
lock_Q0_S2_0_1-1_L,-0.015266403868661639
lock_Q0_S2_0_1-1_locked,nan
lock_Q0_S2_0_1-1_ratio,0.04556461554195765
lock_Q0_S2_0_5-3_L,-0.014069007451846569
lock_Q0_S2_0_5-3_locked,nan
lock_Q0_S2_0_5-3_ratio,0.04556461554195765
lock_Q1_S1_1_1-1_L,-0.016343710743336685
lock_Q1_S1_1_1-1_locked,nan
lock_Q1_S1_1_1-1_ratio,0.009435782363098416
lock_Q1_S1_1_3-2_L,0.06837702292603826
lock_Q1_S1_1_3-2_locked,nan
lock_Q1_S1_1_3-2_ratio,0.009435782363098416
lock_Q1_S2_1_1-1_L,-0.01650700672126276
lock_Q1_S2_1_1-1_locked,nan
lock_Q1_S2_1_1-1_ratio,0.009435782363098416
lock_Q1_S2_1_5-3_L,-0.011973310053455147
lock_Q1_S2_1_5-3_locked,nan
lock_Q1_S2_1_5-3_ratio,0.009435782363098416
lock_Q2_S1_0_1-1_L,-0.00640890774963698
lock_Q2_S1_0_1-1_locked,nan
lock_Q2_S1_0_1-1_ratio,0.04224832767947141
lock_Q2_S1_1_1-1_L,-0.015560206208328148
lock_Q2_S1_1_1-1_locked,nan
lock_Q2_S1_1_1-1_ratio,0.04224832767947141
lock_Q2_S2_2_1-1_L,-0.017859394295481557
lock_Q2_S2_2_1-1_locked,nan
lock_Q2_S2_2_1-1_ratio,0.04224832767947141
lock_S1_0_S2_0_1-1_L,0.10104865415704004
lock_S1_0_S2_0_1-1_locked,-0.004253668947549556
lock_S1_0_S2_0_1-1_ratio,nan
lock_S1_0_S2_0_2-1_L,-0.008390787216703253
lock_S1_0_S2_0_2-1_locked,nan
lock_S1_0_S2_0_2-1_ratio,nan
lock_S1_0_S2_2_1-1_L,0.10928115745443114
lock_S1_0_S2_2_1-1_locked,-0.004253668947549556
lock_S1_0_S2_2_1-1_ratio,nan
lock_S1_1_S2_1_1-1_L,0.11064180740961896
lock_S1_1_S2_1_1-1_locked,-0.004253668947549556
lock_S1_1_S2_1_1-1_ratio,nan
lock_S1_1_S2_1_2-1_L,0.009318324951272133
lock_S1_1_S2_1_2-1_locked,nan
lock_S1_1_S2_1_2-1_ratio,nan
lock_S1_1_S2_3_1-1_L,0.11729821694480658
lock_S1_1_S2_3_1-1_locked,-0.004253668947549556
lock_S1_1_S2_3_1-1_ratio,nan
lock_quality_Q,-0.570024463561916
lock_quality_S1,-0.02573940303747946
lock_quality_S2,0.9824946559179775
peak_cap,nan
peak_cap_hit,nan
peaks_kept_count,0.3969165628702888
peaks_raw_count,0.3853403015148672
run_id,0.01406188358765503
s2_band_fraction,0.9825196057851853
s2_band_fraction_total,nan
s2_total_fraction,0.941368349338884
s3_band_fraction,nan
s3_total_fraction,nan
second_energy,0.056066728841383404
spacing_mean,-0.07818876532522273
spacing_std,-0.05453279674767078
third_energy,-0.008588680353523545
