band_count_compound,block_families,block_ids,enough_levels,enough_levels_full,enough_levels_partial,match_d_mass,match_d_spacing,match_d_total,max_rel_delta_R_S1_Q,max_rel_delta_R_S2_S1,max_rel_delta_R_S3_S2,n_levels_sim,num_quark_blocks,run_id,s2_band_fraction_compound,s2_state_blocks,s2_state_compound,status,structure_tier_compound,structure_tier_min,target,template_name
,"['eta_prime_like', 'quark_like', 'delta_like']","['eta_prime_block_0209', 'quark_s_const_block_0012', 'delta_1232_block_0040']",False,False,False,nan,nan,nan,0.4168606339293092,0.6863717788336179,0.0,0,1,0,,"['none', 'none', 'none']",,error,,0,deuteron_synthesis,nuclear_pair
,"['delta_like', 'quark_like', 'nucleus']","['delta_1232_block_0230', 'quark_ud_const_block_0020', 'deuteron_block_0084']",False,False,False,nan,nan,nan,0.37335524188774477,0.5339099223272881,0.0,0,1,1,,"['latent', 'structural', 'none']",,error,,0,deuteron_synthesis,nuclear_pair
,"['nucleus', 'eta_prime_like', 'nucleus']","['deuteron_block_0217', 'eta_prime_block_0207', 'deuteron_block_0212']",False,False,False,nan,nan,nan,0.23760044983866885,0.2729379423706955,0.0,0,0,2,,"['none', 'none', 'none']",,error,,1,deuteron_synthesis,nuclear_pair
,"['lepton', 'eta_prime_like', 'nucleus']","['tau_block_0111', 'eta_prime_block_0052', 'deuteron_block_0232']",False,False,False,nan,nan,nan,0.6703164424269039,0.6683129135406143,0.0,0,0,3,,"['none', 'none', 'none']",,error,,1,deuteron_synthesis,nuclear_pair
,"['lepton', 'lepton', 'quark_like']","['tau_block_0077', 'tau_block_0088', 'quark_ud_const_block_0003']",False,False,False,nan,nan,nan,0.6545470188098789,0.6679088546211637,0.0,0,1,4,,"['none', 'none', 'none']",,error,,1,deuteron_synthesis,nuclear_pair
,"['eta_prime_like', 'delta_like', 'nucleus']","['eta_prime_block_0052', 'delta_1232_block_0147', 'deuteron_block_0258']",False,False,False,nan,nan,nan,0.4684711729387716,0.15384578894826587,0.0,0,0,5,,"['none', 'none', 'none']",,error,,1,deuteron_synthesis,nuclear_pair
,"['lepton', 'nucleus', 'nucleus']","['tau_block_0074', 'deuteron_block_0012', 'deuteron_block_0216']",False,False,False,nan,nan,nan,0.18690366205462336,0.4509139421771773,0.0,0,0,6,,"['latent', 'none', 'none']",,error,,1,deuteron_synthesis,nuclear_pair
,"['lepton', 'delta_like', 'delta_like']","['tau_block_0110', 'delta_1232_block_0293', 'delta_1232_block_0370']",False,False,False,nan,nan,nan,0.7023265852840176,0.7382466007358403,0.0,0,0,7,,"['none', 'none', 'none']",,error,,1,deuteron_synthesis,nuclear_pair
,"['eta_prime_like', 'nucleus', 'lepton']","['eta_prime_block_0013', 'deuteron_block_0261', 'tau_block_0010']",False,False,False,nan,nan,nan,0.7044109191928368,0.38757085637899324,0.0,0,0,8,,"['none', 'none', 'none']",,error,,1,deuteron_synthesis,nuclear_pair
,"['eta_prime_like', 'quark_like', 'delta_like']","['eta_prime_block_0218', 'quark_ud_const_block_0017', 'delta_1232_block_0148']",False,False,False,nan,nan,nan,0.29391046493532563,0.6460729753137293,0.0,0,1,9,,"['none', 'latent', 'none']",,error,,1,deuteron_synthesis,nuclear_pair
,"['quark_like', 'eta_prime_like', 'nucleus']","['quark_ud_const_block_0016', 'eta_prime_block_0178', 'deuteron_block_0071']",False,False,False,nan,nan,nan,0.5059244760204735,0.7511082189394294,0.0,0,1,10,,"['latent', 'none', 'none']",,error,,0,deuteron_synthesis,nuclear_pair
,"['nucleus', 'nucleus', 'delta_like']","['deuteron_block_0171', 'deuteron_block_0216', 'delta_1232_block_0065']",False,False,False,nan,nan,nan,0.22487719050138216,0.2618746079931489,0.0,0,0,11,,"['latent', 'none', 'none']",,error,,1,deuteron_synthesis,nuclear_pair
,"['nucleus', 'eta_prime_like', 'eta_prime_like']","['deuteron_block_0220', 'eta_prime_block_0031', 'eta_prime_block_0113']",False,False,False,nan,nan,nan,0.16666486368784295,0.2107690348237491,0.0,0,0,12,,"['none', 'none', 'none']",,error,,1,deuteron_synthesis,nuclear_pair
