proxy,corr_with_s2
R_S1_Q,-0.10686708504236124
R_S2_S1,-0.11783247364472339
band_count,0.5194702147395653
band_count_structural,-0.13741037491870334
band_power_capture,-0.4594044206015493
band_structural_cap_hit,nan
first_energy,0.09543384579826245
has_s3_dominant,nan
lock_Q0_S1_0_1-1_L,0.028444021506157338
lock_Q0_S1_0_1-1_locked,nan
lock_Q0_S1_0_1-1_ratio,-0.012814707728706427
lock_Q0_S1_0_3-2_L,0.08030431061942533
lock_Q0_S1_0_3-2_locked,nan
lock_Q0_S1_0_3-2_ratio,-0.012814707728706427
lock_Q0_S2_0_1-1_L,-0.01047604630183743
lock_Q0_S2_0_1-1_locked,nan
lock_Q0_S2_0_1-1_ratio,-0.012814707728706427
lock_Q0_S2_0_5-3_L,-0.011948870268366225
lock_Q0_S2_0_5-3_locked,nan
lock_Q0_S2_0_5-3_ratio,-0.012814707728706427
lock_Q1_S1_1_1-1_L,-0.01010765899735087
lock_Q1_S1_1_1-1_locked,nan
lock_Q1_S1_1_1-1_ratio,-0.007961839755723113
lock_Q1_S1_1_3-2_L,0.11193653759122492
lock_Q1_S1_1_3-2_locked,nan
lock_Q1_S1_1_3-2_ratio,-0.007961839755723113
lock_Q1_S2_1_1-1_L,-0.012269278437834468
lock_Q1_S2_1_1-1_locked,nan
lock_Q1_S2_1_1-1_ratio,-0.007961839755723113
lock_Q1_S2_1_5-3_L,-0.009671502946595434
lock_Q1_S2_1_5-3_locked,nan
lock_Q1_S2_1_5-3_ratio,-0.007961839755723113
lock_Q2_S1_0_1-1_L,0.006039974800437707
lock_Q2_S1_0_1-1_locked,nan
lock_Q2_S1_0_1-1_ratio,0.028227479999220262
lock_Q2_S1_1_1-1_L,-0.01019022740047937
lock_Q2_S1_1_1-1_locked,nan
lock_Q2_S1_1_1-1_ratio,0.028227479999220262
lock_Q2_S2_2_1-1_L,-0.013163482314112821
lock_Q2_S2_2_1-1_locked,nan
lock_Q2_S2_2_1-1_ratio,0.028227479999220262
lock_S1_0_S2_0_1-1_L,0.15234866631924088
lock_S1_0_S2_0_1-1_locked,-0.004077491033772724
lock_S1_0_S2_0_1-1_ratio,nan
lock_S1_0_S2_0_2-1_L,-0.0015148164978325011
lock_S1_0_S2_0_2-1_locked,nan
lock_S1_0_S2_0_2-1_ratio,nan
lock_S1_0_S2_2_1-1_L,0.17783850805283977
lock_S1_0_S2_2_1-1_locked,-0.004077491033772724
lock_S1_0_S2_2_1-1_ratio,nan
lock_S1_1_S2_1_1-1_L,0.19282413583045094
lock_S1_1_S2_1_1-1_locked,nan
lock_S1_1_S2_1_1-1_ratio,nan
lock_S1_1_S2_1_2-1_L,0.04022709606912248
lock_S1_1_S2_1_2-1_locked,nan
lock_S1_1_S2_1_2-1_ratio,nan
lock_S1_1_S2_3_1-1_L,0.20539199946381698
lock_S1_1_S2_3_1-1_locked,nan
lock_S1_1_S2_3_1-1_ratio,nan
lock_quality_Q,-0.5694578997706856
lock_quality_S1,-0.017306168704385182
lock_quality_S2,0.9999892133047446
min_layer_fraction,-0.08373687550857584
participation_entropy,-0.02052171028101159
peak_cap,nan
peak_cap_hit,nan
peaks_kept_count,0.5250222737740784
peaks_raw_count,0.5110389911048743
run_id,-0.012049233231264533
s2_band_fraction,1.0
s2_band_fraction_total,1.0
s2_total_fraction,0.9645350179097555
s3_band_fraction,nan
s3_total_fraction,nan
second_energy,0.04880893113860045
spacing_mean,-0.11926010183254968
spacing_std,-0.09590416749190052
third_energy,-0.030322042809424993
