run_id,target_name,family,type,jpc,d_total,d_spacing,d_mass,score_used,score_mode,enough_levels_full,enough_levels_partial,n_levels_sim,policy_status,policy_reason,policy_rejected,policy_preferred_parity,policy_allowed_k,run_dominant_parity,run_k_used,run_sector_confidence
0.0,electron,lepton,elementary,1/2+,19611.495618843812,nan,19611.495618843812,19611.495618843812,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,muon,lepton,elementary,1/2+,185.60199877780013,nan,185.60199877780013,185.60199877780013,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,pion,pion_like,meson,0-,36.45360273852794,nan,36.45360273852794,36.45360273852794,total,0,0,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,eta,eta_like,meson,0-,23.578002496699956,nan,23.578002496699956,23.578002496699956,total,0,0,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,rho,rho_like,meson,1-,14.833501981831226,nan,14.833501981831226,14.833501981831226,total,0,0,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,omega_782,omega_like,meson,1-,23.593602995727938,nan,23.593602995727938,23.593602995727938,total,0,0,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,proton,baryon,baryon,1/2+,20.47360305812794,nan,20.47360305812794,20.47360305812794,total,0,0,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,neutron,baryon,baryon,1/2+,20.453603058527936,nan,20.453603058527936,20.453603058527936,total,0,0,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,eta_prime,eta_prime_like,meson,0-,20.073603066127937,nan,20.073603066127937,20.073603066127937,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,phi,phi_like,meson,1-,23.567003745324907,nan,23.567003745324907,23.567003745324907,total,0,0,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,lambda,baryon,baryon,1/2+,16.93360312892794,nan,16.93360312892794,16.93360312892794,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,sigma,baryon,baryon,1/2+,15.453603158527935,nan,15.453603158527935,15.453603158527935,total,0,0,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,delta_1232,delta_like,baryon,3/2+,7.296801660831983,nan,7.296801660831983,7.296801660831983,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,delta_1600,delta_like,baryon,3/2+,2.411201139791992,nan,2.411201139791992,2.411201139791992,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,delta_1620,delta_like,baryon,1/2-,13.320006669166393,nan,13.320006669166393,13.320006669166393,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,delta_1700,delta_like,baryon,3/2-,6.152837226126565,nan,6.152837226126565,6.152837226126565,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,delta_1900,delta_like,baryon,3/2+,1.028002872533287,nan,1.028002872533287,1.028002872533287,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,delta_1910,delta_like,baryon,1/2+,1.0336034469279327,nan,1.0336034469279327,1.0336034469279327,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,delta_1920,delta_like,baryon,3/2+,1.0420043084498942,nan,1.0420043084498942,1.0420043084498942,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,delta_1930,delta_like,baryon,5/2-,0.7920043146998937,nan,0.7920043146998937,0.7920043146998937,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,delta_1950,delta_like,baryon,7/2+,0.2336034629279317,nan,0.2336034629279317,0.2336034629279317,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,tau,lepton,elementary,1/2+,9.234008207299594,nan,9.234008207299594,9.234008207299594,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,deuteron,nucleus,composite,1+,2.8693390170220354,nan,2.8693390170220354,2.8693390170220354,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,triton,nucleus,composite,1/2+,28.241364378621192,nan,28.241364378621192,28.241364378621192,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
