F_m_list,H_block_mean,M_final,PE_tick_norm,QualityLock,R_final,R_mean_lastW,binding_energy,binding_energy_pos,block_families,block_ids,block_particles,degree_normalized,degree_raw,edges_count,effective_degree,entropy_quality,fm_missing,mass_defect,mass_defect_pos,mass_list,memory_score_k10,nodes,origin_run_ids,phase_var_lastW,reason,run_id,status,success,sumM,target,template_name
"[0.7697270153511014, 1.4527916716952312]",-9.10320147423699e-13,0.7060419136204721,0.9218084423108623,0.9994289833718404,0.907870763050965,0.9104338737940367,0.004513066133434677,0.004513066133434677,"[""species"", ""species""]","[""6281d57e88941c653b8ff40263d946fb87ebbdf5f25e6743faeb89c2b351cfb2"", ""3ab11feb10f030f087ab73ffcd269dc7c1ab219064583e2a7b5cc82adcc0a50c""]","[""complete_k5"", ""bipartite_3_6""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",1.0000000000009104,False,0.004513066133434718,0.004513066133434718,"[0.24608718342687896, 0.4644677963270279]",0.07539788464575214,2,"[null, null]",0.00027310450472097555,locked,0,ok,True,0.7105549797539068,Dimer_Synthesis,dimer
"[1.313952725230408, 1.5034320021351624]",-9.10320147423699e-13,0.89478470818996,0.9052420848910503,0.9492653493551054,0.9946346551743187,0.9944736839688681,0.00595316167816212,0.00595316167816212,"[""species"", ""species""]","[""f22c0fe420e6ca59911ac8a4ac7dbbf50525dd998cd9b779dd741dfd3be95ce2"", ""f31faec90e1a3ec739bd4355e127a3a3c2838f7500dcff44a4b0fd6a20361206""]","[""ladder_5"", ""decamer_chain""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",1.0000000000009104,False,0.005953161678162067,0.005953161678162067,"[0.42008000090854575, 0.4806578689595764]",0.10404141754429863,2,"[null, null]",0.00021407693057982994,locked,1,ok,True,0.9007378698681221,Dimer_Synthesis,dimer
"[1.0223823542014459, 0.7182056513020345]",-9.10320147423699e-13,0.552647308059075,0.9336583683552925,0.9992996780820687,0.9841741846755305,0.9849485753981166,0.003831016383753605,0.003831016383753605,"[""species"", ""species""]","[""464fcefc164250b8f977511d2e8a67f69fdfee933097bf7cc4b7c62a1748d7bf"", ""e366d4cbd4be0b7ee93814a9411435724d2a7b665f1ead440896cc85dac6f0c0""]","[""cuboctahedron"", ""tetramer_chain""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",1.0000000000009104,False,0.003831016383753605,0.003831016383753605,"[0.32686288633901395, 0.22961543810381466]",0.35029176626136627,2,"[null, null]",0.0003708131593866593,locked,2,ok,True,0.5564783244428286,Dimer_Synthesis,dimer
"[1.289186236958364, 0.8756417724139558]",-9.10320147423699e-13,0.6887489117212324,0.9341680308868854,0.7163140972293851,0.9687550312200128,0.9708155424189417,0.0033619494092557572,0.0033619494092557572,"[""species"", ""species""]","[""41ed957444c1857b85b480bf1d5e29fdca608b6432eaf12dd38b057f0c795a07"", ""7840896841de3898030cbd255aba1c37b2b942f9211259f5d56d1e65aceadd0d""]","[""diatomic_prism_12"", ""pentagon_ring""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",1.0000000000009104,False,0.0033619494092557156,0.0033619494092557156,"[0.4121619790375554, 0.2799488820929327]",0.23670498078458369,2,"[null, null]",0.00030595713565946927,locked,3,ok,True,0.6921108611304881,Dimer_Synthesis,dimer
"[1.2585415162299745, 1.374628389347806]",-9.10320147423699e-13,0.8359689864542401,0.9131417101182561,0.999430345324573,0.9973774380999093,0.997716132416812,0.00587409898363361,0.00587409898363361,"[""species"", ""species""]","[""4ca9f924464ccd0c630171d1d9094a6377357e148595550ec7d4d4880632fdb1"", ""d55d1b4e4c098336034a7d055eb2b14ea76b970cde2eb9151408473a71efcb33""]","[""moebius_kantor"", ""star_4""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",1.0000000000009104,False,0.005874098983633558,0.005874098983633558,"[0.40236464457929577, 0.4394784408585779]",0.1650029618813661,2,"[null, null]",0.0004135493450386124,locked,4,ok,True,0.8418430854378737,Dimer_Synthesis,dimer
"[1.0307014751822998, 1.439666667547715]",-9.10320147423699e-13,0.7846494033881289,0.9189774488299128,0.9577105182449096,0.9716785666166862,0.9724878435243728,0.005144804360473486,0.005144804360473486,"[""species"", ""species""]","[""07a5d476f409aca0efabb43e570d1fbe009a1f56a46b1db0b5402b7e1dcd7be4"", ""5476abbac31aa87c2215e9822a45fc96fd8da1409d549faa2619d728415eb321""]","[""trilayer_4_4_4"", ""bilayer_square_4_4""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",1.0000000000009104,False,0.005144804360473487,0.005144804360473487,"[0.3295225682911045, 0.4602716394574979]",0.02039556060115255,2,"[null, null]",0.00029205230729512023,locked,5,ok,True,0.7897942077486024,Dimer_Synthesis,dimer
"[1.243851624001785, 1.0956242028860177]",-9.10320147423699e-13,0.7430256973956425,0.927191233432555,0.9436297603463031,0.9961165224591167,0.9965885640206427,0.004921309078442026,0.004921309078442026,"[""species"", ""species""]","[""d6e72a6aefd9c7a8a6a9d8bd23efe2563b3dd79604522914f548183d5a722e15"", ""b75d6fce88522a1080ddd27b6e76dec9a3371103d5827bd0ef585bb7035674a7""]","[""ladder_4"", ""grid_3x3""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",1.0000000000009104,False,0.0049213090784420155,0.0049213090784420155,"[0.39766818189683345, 0.350278824577251]",0.06514847617589781,2,"[null, null]",0.00030347675567398964,locked,6,ok,True,0.7479470064740845,Dimer_Synthesis,dimer
"[1.1870702255914745, 2.215534427899436]",-9.10320147423699e-13,1.0832607766573645,0.549866499004663,0.8328220589487445,0.7215674860908246,0.6010020151430424,0.004576052235575572,0.004576052235575572,"[""species"", ""species""]","[""f91c11d82cb81d010523e0f34f068ef37ecff45c49b2d68ced18bac453b0f677"", ""a8b35102c1a410a361958d79ba6c4dbd986c669b387855ba33de11d4c416a4a4""]","[""prism_triangular"", ""star_4""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",1.0000000000009104,False,0.004576052235575556,0.004576052235575556,"[0.3795147662999298, 0.7083220625930103]",0.5913498937940971,2,"[null, null]",2.652455440933827,no_lock,7,fail,False,1.08783682889294,Dimer_Synthesis,dimer
"[1.3189464641706428, 1.3241725148530958]",-9.10320147423699e-13,0.8391134724532032,0.9383597721293602,0.9992363409730991,0.9999580997304277,0.9999444826806819,0.005910402294639255,0.005910402294639255,"[""species"", ""species""]","[""947d9b6815222b086430d83d766b4c9d80228b8336750459d6a8e583bef44d3f"", ""303dde7c995934f6a7d978aa166643ce20062229cda1dbd75784dbcac942f35e""]","[""moebius_kantor"", ""cuboctahedron""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",1.0000000000009104,False,0.005910402294639239,0.005910402294639239,"[0.4216765346485119, 0.42334734009933056]",0.24051117034256897,2,"[null, null]",0.00032454568596627307,locked,8,ok,True,0.8450238747478425,Dimer_Synthesis,dimer
"[1.3101051319651962, 1.1658119262583122]",-9.10320147423699e-13,0.786050800416976,0.9355598102582819,0.9990492722369029,0.9966987548126797,0.9966140457521384,0.005517434951333634,0.005517434951333634,"[""species"", ""species""]","[""6930f2728f156f5f8777ce6638fb8cde87dd07b0a0a2438d74d35e947f562a43"", ""732bd6585b06b148b9b1a0ae4cd4b8ddd312d4f58894056e95dc427a66dcae7f""]","[""bipartite_3_3"", ""prism_square""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",1.0000000000009104,False,0.005517434951333611,0.005517434951333611,"[0.4188498980659473, 0.3727183373023622]",0.11781916260752712,2,"[null, null]",0.00039861412392541376,locked,9,ok,True,0.7915682353683096,Dimer_Synthesis,dimer
