F_m_list,H_block_mean,M_final,PE_tick_norm,QualityLock,R_final,R_mean_lastW,binding_energy,binding_energy_pos,block_families,block_ids,block_particles,degree_normalized,degree_raw,edges_count,effective_degree,entropy_quality,fm_missing,mass_defect,mass_defect_pos,mass_list,memory_score_k10,nodes,origin_run_ids,phase_var_lastW,reason,run_id,status,success,sumM,target,template_name
"[1.4637672923998666, 1.5820874246557932, 1.3070061086307299, 1.094725082484368]",-9.10320147423699e-13,1.7303468373849886,0.8881672374082186,0.9783585073305027,0.9461259906720826,0.9448767217751481,0.01128499556582531,0.01128499556582531,"[""species"", ""species"", ""species"", ""species""]","[""ff84c03ddb22aa58fd69938e5ea054a070e25752d42f6ee55e818af98f969f96"", ""47220bdc77d4c8d05d1144da79e5dd1af5a41d0d1ddf25ed61a416f6a3251184"", ""dd36bac71a3a7998884cfc992355fce487d5d9e7052da10d312d3b236bcfcdcf"", ""cc5f68c4debeed50b16927c90b288a2e2ac41ce50dbf1d8c5950fd3ee371e843""]","[""diatomic_prism_12"", ""decagon_ring"", ""petersen"", ""prism_triangular""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.011284995565825406,0.011284995565825406,"[0.4679767800728218, 0.5058045651301974, 0.4178591183368441, 0.34999136941095066]",0.5923945738822409,4,"[null, null, null, null]",0.0003697171371275121,locked,0,ok,True,1.741631832950814,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.6828368895990777, 1.7321377464269259, 0.31966446439496843, 1.0069629975301264]",-9.10320147423699e-13,1.5080459952901428,0.7532147236430379,0.8942608055482811,0.8301676893861424,0.5168633318932419,0.007877808791909488,0.007877808791909488,"[""species"", ""species"", ""species"", ""species""]","[""eeb7f29875fb7abd39243b316c37bc3a06d4853d5843f98ec57f35648d403803"", ""153aca0b955f7694005f5f3a429fdf0a61b503a2216c15456780ea5f635c74b9"", ""e2feee6feef85d0250cc84bb59297c22e3412abf1624307ca6027d0519d2577e"", ""6f0c37a54f5dc624b5028c38c146b12ba2776fbb6920cba8245affec42be4404""]","[""grid_3x3"", ""heptamer_chain"", ""double_triangle"", ""diatomic_prism_12""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.00787780879190958,0.00787780879190958,"[0.5380148832887058, 0.5537767167119005, 0.1021989953785595, 0.3219332087028865]",-0.2993827369450923,4,"[null, null, null, null]",2.762095244218832,no_lock,1,fail,False,1.5159238040820524,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.8730652707579447, 1.0941419791940903, 1.678390893419861, 1.1605527179979926]",-9.10320147423699e-13,1.8464967289786978,0.511637680492147,0.9575901109000013,0.7852619926371597,0.5995598079388111,0.009770861388160629,0.009770861388160629,"[""species"", ""species"", ""species"", ""species""]","[""8368acbb51b1a641705cfef7c6aa2b8b96ddc076c8c2a6282d874ed6bfdab6a0"", ""134b6277926f01eef64a5218189e85cab3325834a7c2592776b43ee13e959389"", ""e23d0160d4c63707d5dc41dfd929224aa5185b19079b086b776a7efa82bc74f9"", ""a3ef7adb46aa5b73d4cc7041431524abb0ba55c79ead255c5e4768644265ce1f""]","[""ladder_5"", ""dodecamer_chain"", ""complete_k6"", ""bilayer_square_4_4""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.009770861388160634,0.009770861388160634,"[0.5988322452802, 0.34980494715541127, 0.5365934667924028, 0.3710369311388445]",0.9075291404941422,4,"[null, null, null, null]",1.4557253774038836,no_lock,2,fail,False,1.8562675903668584,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.1457339053388218, 0.9608608692838388, 1.505104534939353, 0.4644880255775161]",-9.10320147423699e-13,1.299653714943563,0.5832839425859678,0.8950842790288911,0.43259929498911875,0.4567889760292908,0.003532272321353214,0.003532272321353214,"[""species"", ""species"", ""species"", ""species""]","[""1791eb8782ec2ddffa2dd8d2b53a0418f68ecc9e0b79648908dfaa77208c1413"", ""0d37fa615a134d61aac103caabc30938722109c31e701d44e61cad53c14a14d4"", ""98bfb1040ad79659d9f8afacf9dcea0be49350775755aa48697e1474134b2993"", ""79526c4e6178d57300a58a903232720a588cf7808d1fd0f502b0669917fd4e52""]","[""grid_3x4"", ""ladder_5"", ""moebius_kantor"", ""trimer_chain""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.0035322723213531138,0.0035322723213531138,"[0.36629925168067645, 0.30719403148310465, 0.4811925895537141, 0.148500114547421]",0.8773523460951309,4,"[null, null, null, null]",2.490091769598326,no_lock,3,fail,False,1.303185987264916,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.158679023816492, 0.574304708881576, 1.6636319951076732, 1.5162515402845247]",-9.10320147423699e-13,1.5670298434323755,0.61881323944821,0.9680891097578692,0.34279264219436345,0.5682583870437213,0.003648649647370859,0.003648649647370859,"[""species"", ""species"", ""species"", ""species""]","[""a00e0a3dec06856e56d56f3dc7738de0b7d8f3776fcc746710b9d6e86f5fcc4a"", ""32536d415ada879004e2d5812cdce25016b8e876ad892b3ee3852bd19667564c"", ""62619cd61f97c64e28a8114a13abb75352044f26e89011111f12915354e389af"", ""167f722e7211990ab7793f8cc841941629f4e69f4a14af3c780419484f8474b7""]","[""bilayer_square_4_4"", ""grid_3x3"", ""grid_3x4"", ""ladder_4""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.003648649647370883,0.003648649647370883,"[0.37043789782634146, 0.18360928669366663, 0.5318749423756999, 0.4847563661840385]",0.713811512540145,4,"[null, null, null, null]",1.7164795441273197,no_lock,4,fail,False,1.5706784930797464,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.2370951399844317, 1.0007649166055603, 1.3214761070465335, 0.6762802008549138]",-9.10320147423699e-13,1.3462372183291478,0.8636191219911733,0.95766517643209,0.8723875446406936,0.8694776281078938,0.007919359817000305,0.007919359817000305,"[""species"", ""species"", ""species"", ""species""]","[""e9d5270181979cf90a7b79a594da7fa50a4831595f6a85346423ec258c9c33bf"", ""deee220679472016d5a09d536e360486e85c3c62063aadb0c1aa0cdd8b6fad23"", ""d5f3e49829813edc0299c34e83f6c0a66eba769a288a34375e4b36f7925d058f"", ""c6329c1f5ba47856964ac934094c22d437e574d4b6ec427c71813c0a05dc2264""]","[""nonamer_chain"", ""grid_3x4"", ""hexagon_ring"", ""diatomic_prism_12""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.007919359817000204,0.007919359817000204,"[0.39550808605955695, 0.31995163829291123, 0.4224852794086525, 0.2162115743850273]",0.8591896041386763,4,"[null, null, null, null]",0.00038366546750179487,no_lock,5,fail,False,1.354156578146148,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.6688866214383342, 1.6095438279494394, 0.5900499275161931, 0.972918691859768]",-9.10320147423699e-13,1.5432084301162623,0.6442614106134511,0.774638170661746,0.5505948505221671,0.5891064494142375,0.004621172998469157,0.004621172998469157,"[""species"", ""species"", ""species"", ""species""]","[""366e28e5b6957d43140e80d171acd78fecb9fb8931d156748e2c6ba2db3b8b0e"", ""469e8e5c515dd67471a32e0fc796624fb5509f463bfa471b4b7fa8da24ebb150"", ""e747cf493e11ae36045685c3e9cfeb4ed5710df5042732ff8de572840eea0107"", ""2b1234644b798a9cd19804cea08bfd79896aac80df804103c041470f2bac5f9c""]","[""bipartite_3_3"", ""star_5"", ""dimer"", ""bipartite_3_6""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.004621172998469092,0.004621172998469092,"[0.5335548836638243, 0.5145825719024867, 0.1886431447095061, 0.3110490028389144]",0.7126253912890232,4,"[null, null, null, null]",2.326735337805983,no_lock,6,fail,False,1.5478296031147314,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[0.8543671760103483, 1.6184952999457733, 1.5302144471524368, 1.0395659194347644]",-9.10320147423699e-13,1.605148707041975,0.5391684686878845,0.950778785958774,0.6542541168231988,0.6172439726681489,0.007019957173561391,0.007019957173561391,"[""species"", ""species"", ""species"", ""species""]","[""6a43600cbccdb7aba4018cb2220200188be57639583b0f521557958060084ff8"", ""634b9ceda26293ae61d0eddc242fe661e66a25335aff9adcab0fe5344416f376"", ""9d2e0d5ae6f94c2f2c1a85ca378a381433928dd1267b8774ce41445ab8897549"", ""442b0e83ea08241885b82316161dd697a7512580f9e44d72d2af80a0809e01fe""]","[""tetramer_chain"", ""wheel_5"", ""diatomic_prism_12"", ""grid_3x3""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.007019957173561409,0.007019957173561409,"[0.27314724280641334, 0.5174444209569824, 0.489220406493198, 0.3323565939589428]",0.9287558969160625,4,"[null, null, null, null]",1.4347075702031498,no_lock,7,fail,False,1.6121686642155364,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.9341840735209066, 1.3993265583696355, 0.7575732103107709, 1.336606428291713]",-9.10320147423699e-13,1.727013920577863,0.6381711727070337,0.8840610930104115,0.7689211290883617,0.5523090857826597,0.008257135966576155,0.008257135966576155,"[""species"", ""species"", ""species"", ""species""]","[""7b2a64d1c63238c5a1b91ae866ed32cf5417f20c23f6b76c8a449be2e51d2c7a"", ""a677917d7d6611eb96fa160a92c7e521360fd616652a4f8289430c8305b30475"", ""0e0a6a95ffb120cf3b093dc68fb5bdca88adb8a02f597b074082f921973086c6"", ""7651f08eaabb6e7c66588c658e9cefdff020252a99cdd837bd8620e1a32d0391""]","[""tetrahedron_k4"", ""petersen"", ""bipartite_1_n"", ""nonamer_chain""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.008257135966576179,0.008257135966576179,"[0.6183723597966427, 0.44737462058095734, 0.2422015257967773, 0.42732255037006167]",0.8017594524085963,4,"[null, null, null, null]",2.4058474989632397,no_lock,8,fail,False,1.7352710565444391,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.6506564986307284, 1.0454263251180722, 0.7699531801363431, 1.2598364345087156]",-9.10320147423699e-13,1.502867361109621,0.6335499389025162,0.9366706721414573,0.8103344435361042,0.46116986158908047,0.008027559303928478,0.008027559303928478,"[""species"", ""species"", ""species"", ""species""]","[""854b2901973158f4020bcf8c7b48b5879f7a6ffd08480e95f86fa08273f97234"", ""f56df9972c85cba0a6865b10d80579d603cbca88464b0e8069c209ea5d8771ea"", ""cb7e7a0942df672b24749d1ba8df8db81fe4d74962d8cd718e5298f8bf24ba6c"", ""5cdf61f2b2b280488a03283b504e7503afd1e215df4ecf571dae1c9c61f5ce16""]","[""cuboctahedron"", ""octahedron"", ""trimer_triangle"", ""tetramer_chain""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.008027559303928511,0.008027559303928511,"[0.5277265841683162, 0.33423020720049734, 0.24615948991201, 0.40277863913272594]",0.9170633345339624,4,"[null, null, null, null]",2.5592643852268258,no_lock,9,fail,False,1.5108949204135496,Tetrahedron_He4_Synthesis,tetrahedron_k4
