proxy,corr_with_s2
D_dyn,-0.08115113310486334
D_stat,0.029241183982397476
E_internal,0.010341877547266313
M1,0.1215447447647427
M2,0.030768742976672363
M3,-0.019123754433367956
M_spec,-0.019383820825713924
R_S1_Q,-0.05046576247555115
R_S2_S1,-0.09144959976438831
V_layers,-0.02262678126314736
V_lock,0.11810793815770544
band_count,0.11943561926879027
band_count_structural,-0.0731141084069803
band_power_capture,-0.26153235779178513
band_structural_cap_hit,nan
delta_f,-0.09128742240156508
delta_omega,-0.09128742240156507
f_ref,-0.019383820825713924
fft_peak_delta,-0.010954390671302805
fft_peak_index,0.06541013926092162
fft_peak_mag_k,-0.004735185938680233
fft_peak_mag_km1,-0.0046815819667754156
fft_peak_mag_kp1,-0.0047602267920724625
first_energy,0.017424956861958007
has_s3_dominant,nan
lock_Q0_S1_0_1-1_L,-0.037114834739689226
lock_Q0_S1_0_1-1_locked,nan
lock_Q0_S1_0_1-1_ratio,0.0025790833496127084
lock_Q0_S1_0_3-2_L,-0.014436210711315102
lock_Q0_S1_0_3-2_locked,nan
lock_Q0_S1_0_3-2_ratio,0.0025790833496127084
lock_Q0_S2_0_1-1_L,-0.06053756768436929
lock_Q0_S2_0_1-1_locked,nan
lock_Q0_S2_0_1-1_ratio,0.0025790833496127084
lock_Q0_S2_0_5-3_L,-0.07131161797798784
lock_Q0_S2_0_5-3_locked,nan
lock_Q0_S2_0_5-3_ratio,0.0025790833496127084
lock_Q1_S1_1_1-1_L,-0.05671056493800347
lock_Q1_S1_1_1-1_locked,nan
lock_Q1_S1_1_1-1_ratio,0.01755096365427057
lock_Q1_S1_1_3-2_L,-0.008544478228650999
lock_Q1_S1_1_3-2_locked,nan
lock_Q1_S1_1_3-2_ratio,0.01755096365427057
lock_Q1_S2_1_1-1_L,-0.08113929391193093
lock_Q1_S2_1_1-1_locked,nan
lock_Q1_S2_1_1-1_ratio,0.01755096365427057
lock_Q1_S2_1_5-3_L,-0.0746760608960066
lock_Q1_S2_1_5-3_locked,nan
lock_Q1_S2_1_5-3_ratio,0.01755096365427057
lock_Q2_S1_0_1-1_L,-0.017900698229428923
lock_Q2_S1_0_1-1_locked,nan
lock_Q2_S1_0_1-1_ratio,-0.036439016397833805
lock_Q2_S1_1_1-1_L,-0.031524802398381235
lock_Q2_S1_1_1-1_locked,nan
lock_Q2_S1_1_1-1_ratio,-0.036439016397833805
lock_Q2_S2_2_1-1_L,-0.0629674904033467
lock_Q2_S2_2_1-1_locked,nan
lock_Q2_S2_2_1-1_ratio,-0.036439016397833805
lock_S1_0_S2_0_1-1_L,0.040875641258121445
lock_S1_0_S2_0_1-1_locked,0.04243004809133737
lock_S1_0_S2_0_1-1_ratio,nan
lock_S1_0_S2_0_2-1_L,-0.03472193987911613
lock_S1_0_S2_0_2-1_locked,nan
lock_S1_0_S2_0_2-1_ratio,nan
lock_S1_0_S2_2_1-1_L,0.04703228800248669
lock_S1_0_S2_2_1-1_locked,0.03183626731967901
lock_S1_0_S2_2_1-1_ratio,nan
lock_S1_1_S2_1_1-1_L,0.05997580800677077
lock_S1_1_S2_1_1-1_locked,0.06381258675308529
lock_S1_1_S2_1_1-1_ratio,nan
lock_S1_1_S2_1_2-1_L,-0.039354882786049476
lock_S1_1_S2_1_2-1_locked,nan
lock_S1_1_S2_1_2-1_ratio,nan
lock_S1_1_S2_3_1-1_L,0.06060415212370241
lock_S1_1_S2_3_1-1_locked,0.011918450708601338
lock_S1_1_S2_3_1-1_ratio,nan
lock_quality_Q,-0.34411217884814055
lock_quality_S1,-0.02348843114115662
lock_quality_S2,0.9964735018459261
mass_sim_gev,-0.019383820825713927
min_layer_fraction,-0.09593778953968216
omega_ref,-0.019383820825713924
omega_ref_interp,-0.019383820825713924
participation_entropy,-0.029241183982397435
peak_cap,nan
peak_cap_hit,nan
peaks_kept_count,0.12156241765819356
peaks_raw_count,0.11652237221067811
rho_lock,-0.08049969823406472
run_id,0.01390976012920992
s2_band_fraction,0.9999999999999999
s2_band_fraction_total,0.9999999999999999
s2_total_fraction,0.9082436712391874
s3_band_fraction,nan
s3_total_fraction,nan
second_energy,0.012858757772181437
spacing_mean,-0.05807475959989859
spacing_std,-0.05326969369497237
third_energy,0.02361149904251874
