proxy,corr_with_s2
D_dyn,-0.03117934372145399
D_stat,0.04458436750478646
E_internal,0.3917227106984639
M1,0.07267906975935802
M2,0.04349407483183798
M3,0.009139791810684268
M_spec,-0.010876605542500844
R_S1_Q,-0.12456673736462698
R_S2_S1,-0.13248005681239958
V_layers,-0.0368902000593292
V_lock,0.07056471217908587
band_count,0.07213450650004417
band_count_structural,-0.05736890266201391
band_power_capture,-0.06519688877986675
band_structural_cap_hit,nan
delta_f,-0.13109607546349053
delta_omega,-0.13109607546349056
f_ref,-0.010876605542500844
fft_peak_delta,0.02875662641248515
fft_peak_index,0.24129791735772874
fft_peak_mag_k,-0.012174679386310323
fft_peak_mag_km1,-0.010516198793289439
fft_peak_mag_kp1,-0.012896993016403721
first_energy,0.05819221662528481
has_s3_dominant,nan
lock_Q0_S1_0_1-1_L,0.07019236341138246
lock_Q0_S1_0_1-1_locked,nan
lock_Q0_S1_0_1-1_ratio,-0.010557046553793106
lock_Q0_S1_0_3-2_L,0.0778622306226872
lock_Q0_S1_0_3-2_locked,nan
lock_Q0_S1_0_3-2_ratio,-0.010557046553793106
lock_Q0_S2_0_1-1_L,0.009147693478633128
lock_Q0_S2_0_1-1_locked,nan
lock_Q0_S2_0_1-1_ratio,-0.010557046553793106
lock_Q0_S2_0_5-3_L,0.005746937569473121
lock_Q0_S2_0_5-3_locked,nan
lock_Q0_S2_0_5-3_ratio,-0.010557046553793106
lock_Q1_S1_1_1-1_L,0.0316713098436907
lock_Q1_S1_1_1-1_locked,nan
lock_Q1_S1_1_1-1_ratio,-0.03524155295432267
lock_Q1_S1_1_3-2_L,0.1182259865039501
lock_Q1_S1_1_3-2_locked,nan
lock_Q1_S1_1_3-2_ratio,-0.03524155295432267
lock_Q1_S2_1_1-1_L,0.011717937085603009
lock_Q1_S2_1_1-1_locked,nan
lock_Q1_S2_1_1-1_ratio,-0.03524155295432267
lock_Q1_S2_1_5-3_L,-0.00858991862871118
lock_Q1_S2_1_5-3_locked,nan
lock_Q1_S2_1_5-3_ratio,-0.03524155295432267
lock_Q2_S1_0_1-1_L,0.07218715135272821
lock_Q2_S1_0_1-1_locked,nan
lock_Q2_S1_0_1-1_ratio,0.03473779802656807
lock_Q2_S1_1_1-1_L,0.0650968391909317
lock_Q2_S1_1_1-1_locked,nan
lock_Q2_S1_1_1-1_ratio,0.03473779802656807
lock_Q2_S2_2_1-1_L,0.032207041035257074
lock_Q2_S2_2_1-1_locked,nan
lock_Q2_S2_2_1-1_ratio,0.03473779802656807
lock_S1_0_S2_0_1-1_L,0.22051020875207894
lock_S1_0_S2_0_1-1_locked,-0.004952456059585682
lock_S1_0_S2_0_1-1_ratio,nan
lock_S1_0_S2_0_2-1_L,0.0033710273274748675
lock_S1_0_S2_0_2-1_locked,nan
lock_S1_0_S2_0_2-1_ratio,nan
lock_S1_0_S2_2_1-1_L,0.22335338670432786
lock_S1_0_S2_2_1-1_locked,-0.004042067361852677
lock_S1_0_S2_2_1-1_ratio,nan
lock_S1_1_S2_1_1-1_L,0.24017662102911314
lock_S1_1_S2_1_1-1_locked,0.24344400342795167
lock_S1_1_S2_1_1-1_ratio,nan
lock_S1_1_S2_1_2-1_L,0.01885232702235191
lock_S1_1_S2_1_2-1_locked,nan
lock_S1_1_S2_1_2-1_ratio,nan
lock_S1_1_S2_3_1-1_L,0.2535320707542164
lock_S1_1_S2_3_1-1_locked,0.2735012843057271
lock_S1_1_S2_3_1-1_ratio,nan
lock_quality_Q,-0.5896248011168462
lock_quality_S1,-0.014250064230195274
lock_quality_S2,0.999992115710367
min_layer_fraction,-0.1094210174088239
omega_ref,-0.010876605542500844
omega_ref_interp,-0.010876605542500844
participation_entropy,-0.044584367504786455
peak_cap,nan
peak_cap_hit,nan
peaks_kept_count,0.07286701135710866
peaks_raw_count,0.051404785098445274
rho_lock,-0.029945070621044623
run_id,0.017913654161135918
s2_band_fraction,1.0
s2_band_fraction_total,1.0
s2_total_fraction,0.9530629518336884
s3_band_fraction,nan
s3_total_fraction,nan
second_energy,0.03692071650158382
spacing_mean,-0.11294932512001869
spacing_std,-0.07787099842835922
third_energy,-0.013579564307202628
