proxy,corr_with_s2
R_S1_Q,-0.11688256457952964
R_S2_S1,-0.15223193857944708
band_count,0.44037507553448285
band_count_structural,-0.16635711839460626
band_power_capture,-0.48105269647583965
band_structural_cap_hit,nan
first_energy,0.11228887970752134
has_s3_dominant,nan
lock_Q0_S1_0_1-1_L,0.05098159113377987
lock_Q0_S1_0_1-1_locked,nan
lock_Q0_S1_0_1-1_ratio,-0.07254558693747049
lock_Q0_S1_0_3-2_L,0.13140193826975866
lock_Q0_S1_0_3-2_locked,nan
lock_Q0_S1_0_3-2_ratio,-0.07254558693747049
lock_Q0_S2_0_1-1_L,-0.011314868891899942
lock_Q0_S2_0_1-1_locked,nan
lock_Q0_S2_0_1-1_ratio,-0.07254558693747049
lock_Q0_S2_0_5-3_L,-0.01445894303262465
lock_Q0_S2_0_5-3_locked,nan
lock_Q0_S2_0_5-3_ratio,-0.07254558693747049
lock_Q1_S1_1_1-1_L,-0.009013510678326161
lock_Q1_S1_1_1-1_locked,nan
lock_Q1_S1_1_1-1_ratio,0.012885804689618047
lock_Q1_S1_1_3-2_L,0.17891566610778709
lock_Q1_S1_1_3-2_locked,nan
lock_Q1_S1_1_3-2_ratio,0.012885804689618047
lock_Q1_S2_1_1-1_L,-0.01396643419523064
lock_Q1_S2_1_1-1_locked,nan
lock_Q1_S2_1_1-1_ratio,0.012885804689618047
lock_Q1_S2_1_5-3_L,-0.011052011790655781
lock_Q1_S2_1_5-3_locked,nan
lock_Q1_S2_1_5-3_ratio,0.012885804689618047
lock_Q2_S1_0_1-1_L,0.020203978078470235
lock_Q2_S1_0_1-1_locked,nan
lock_Q2_S1_0_1-1_ratio,0.03545959400773706
lock_Q2_S1_1_1-1_L,-0.008545301316209461
lock_Q2_S1_1_1-1_locked,nan
lock_Q2_S1_1_1-1_ratio,0.03545959400773706
lock_Q2_S2_2_1-1_L,-0.013530033165933727
lock_Q2_S2_2_1-1_locked,nan
lock_Q2_S2_2_1-1_ratio,0.03545959400773706
lock_S1_0_S2_0_1-1_L,0.23484155460002681
lock_S1_0_S2_0_1-1_locked,nan
lock_S1_0_S2_0_1-1_ratio,nan
lock_S1_0_S2_0_2-1_L,0.0010312862063297636
lock_S1_0_S2_0_2-1_locked,nan
lock_S1_0_S2_0_2-1_ratio,nan
lock_S1_0_S2_2_1-1_L,0.2741761457561895
lock_S1_0_S2_2_1-1_locked,nan
lock_S1_0_S2_2_1-1_ratio,nan
lock_S1_1_S2_1_1-1_L,0.27980288615753024
lock_S1_1_S2_1_1-1_locked,nan
lock_S1_1_S2_1_1-1_ratio,nan
lock_S1_1_S2_1_2-1_L,0.06620977714998201
lock_S1_1_S2_1_2-1_locked,nan
lock_S1_1_S2_1_2-1_ratio,nan
lock_S1_1_S2_3_1-1_L,0.2970396133983137
lock_S1_1_S2_3_1-1_locked,nan
lock_S1_1_S2_3_1-1_ratio,nan
lock_quality_Q,-0.6452981599612385
lock_quality_S1,-0.020209812187145768
lock_quality_S2,0.9999921034245715
min_layer_fraction,-0.09721397155250808
participation_entropy,-0.024060092152300455
peak_cap,nan
peak_cap_hit,nan
peaks_kept_count,0.44546589274250054
peaks_raw_count,0.4293535465132766
run_id,0.09168139210034072
s2_band_fraction,1.0
s2_band_fraction_total,1.0
s2_total_fraction,0.9727930900207656
s3_band_fraction,nan
s3_total_fraction,nan
second_energy,0.058029465241291524
spacing_mean,-0.14145453741447753
spacing_std,-0.11303009552607428
third_energy,-0.05602596281671054
