run_id,dof_grade,dof_family_id,dof_family_friendly,omega_ref_proxy,genes_min,R_S1_Q,R_S2_S1,dominant_parity,lock_Q0_S1_0_1-1_ratio,band_count,rho_lock,lock_quality_Q,participation_entropy,dna_cluster_id
0,B,F7BDC,LOCKED_lowEnt_maxBands_S1Q_bin7_S2S1_bin3,6.148122094073261,"{""lock_quality_S1"":0.00027865835115501293,""omega_eff"":null,""omega_ref_proxy"":6.148122094073261,""participation_entropy"":0.004881478874489564,""rho_lock"":0.11106278245728635,""structure_tier"":""level1""}",5.662711178644751,5.809106220501207,,0.6030530785431663,29,0.11106278245728635,0.9994715245262064,0.004881478874489564,
1,A,FCF8D,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,9.605660385590838,"{""lock_quality_S1"":0.0003571367860585362,""omega_eff"":null,""omega_ref_proxy"":9.605660385590838,""participation_entropy"":0.005523440728558385,""rho_lock"":0.4272014186023219,""structure_tier"":""level1""}",8.06998003734204,2.4229239895937384,,0.6582642569016154,16,0.4272014186023219,0.9993918692610073,0.005523440728558385,
2,B,FD61F,LOCKED_midEnt_midBands_S1Q_bin8_S2S1_bin3,10.202028411097999,"{""lock_quality_S1"":0.00030596288319148285,""omega_eff"":null,""omega_ref_proxy"":10.202028411097999,""participation_entropy"":0.012367017566833099,""rho_lock"":0.2736870184649259,""structure_tier"":""level1""}",8.136334519334525,9.768361934584561,,0.6330387050089218,12,0.2736870184649259,0.998446934209868,0.012367017566833099,
3,A,FCF8D,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,6.122504492982225,"{""lock_quality_S1"":0.0003560031725944087,""omega_eff"":null,""omega_ref_proxy"":6.122504492982225,""participation_entropy"":0.00785564235296725,""rho_lock"":0.4111545650529822,""structure_tier"":""level1""}",8.537385536554327,4.379811544999278,,0.6555253602929121,19,0.4111545650529822,0.9990946489639224,0.00785564235296725,
4,A,F667F,LOCKED_lowEnt_midBands_S1Q_bin7_S2S1_bin3,6.921568960839348,"{""lock_quality_S1"":3.730206939917725e-05,""omega_eff"":null,""omega_ref_proxy"":6.921568960839348,""participation_entropy"":0.00873001903656019,""rho_lock"":0.4092455290197302,""structure_tier"":""level1""}",5.683793152998649,2.519670993680853,,0.6360576493339211,12,0.4092455290197302,0.9989037908723102,0.00873001903656019,
5,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,8.021146124532878,"{""lock_quality_S1"":0.00011213526111590145,""omega_eff"":null,""omega_ref_proxy"":8.021146124532878,""participation_entropy"":0.004734831727829694,""rho_lock"":0.42518597320016027,""structure_tier"":""level1""}",6.23314918428547,3.138620286585992,,0.5995908370298423,11,0.42518597320016027,0.9994784881725536,0.004734831727829694,
6,A,FCB61,LOCKED_lowEnt_midBands_S1Q_bin1_S2S1_bin3,6.448099542473965,"{""lock_quality_S1"":0.0001621785052898743,""omega_eff"":null,""omega_ref_proxy"":6.448099542473965,""participation_entropy"":0.009783453408940268,""rho_lock"":0.2176355838565897,""structure_tier"":""level1""}",2.219272028926855,5.282108509024324,,0.6503030888076744,11,0.2176355838565897,0.9987944102751173,0.009783453408940268,
7,B,F844C,LOCKED_lowEnt_hiBands_S1Q_bin6_S2S1_bin3,6.519487184716013,"{""lock_quality_S1"":0.00015429157920413596,""omega_eff"":null,""omega_ref_proxy"":6.519487184716013,""participation_entropy"":0.0028007234777223614,""rho_lock"":0.10164880582630735,""structure_tier"":""level1""}",4.6566075611075455,4.727636006907037,,0.6551844908865154,19,0.10164880582630735,0.9997158123866279,0.0028007234777223614,
8,A,F2447,LOCKED_lowEnt_midBands_S1Q_bin4_S2S1_bin3,7.541783960656664,"{""lock_quality_S1"":0.00026306706387019225,""omega_eff"":null,""omega_ref_proxy"":7.541783960656664,""participation_entropy"":0.004319279788733105,""rho_lock"":0.43513872247040125,""structure_tier"":""level1""}",3.642509238140948,8.54967796989017,,0.6253043597818143,11,0.43513872247040125,0.9995387644832996,0.004319279788733105,
9,B,F1D18,LOCKED_midEnt_midBands_S1Q_bin2_S2S1_bin3,6.273635931417329,"{""lock_quality_S1"":7.30849039841303e-05,""omega_eff"":null,""omega_ref_proxy"":6.273635931417329,""participation_entropy"":0.013971758497137436,""rho_lock"":0.16258668178683924,""structure_tier"":""level1""}",2.6479506213477944,5.622823456736802,,0.6203339302631309,11,0.16258668178683924,0.9981224139681497,0.013971758497137436,
