proxy,corr_with_s2
R_S1_Q,-0.0024657003254261976
R_S2_S1,-0.047697177427327174
band_count,-0.0033533612638967235
delta_like_d_spacing,0.22386977972573102
delta_like_d_total,0.22386977972573102
delta_like_has_enough_levels,-0.029931017681216362
delta_like_is_match,-0.06832859091260277
delta_like_n_levels_sim,-0.0033533612638967235
first_energy,-0.08822372905539695
has_s3_dominant,nan
kaon_like_d_spacing,0.23495315065802674
kaon_like_d_total,0.23495315065802674
kaon_like_has_enough_levels,0.020596978737393832
kaon_like_is_match,-0.02539322223838358
kaon_like_n_levels_sim,-0.0033533612638967235
lock_quality_Q,-0.3719828754991922
lock_quality_S1,-0.04154112471784662
lock_quality_S2,0.9434044208227577
nucleon_like_d_spacing,0.18344095119178133
nucleon_like_d_total,0.18344095119178133
nucleon_like_has_enough_levels,-0.0420686609731252
nucleon_like_is_match,nan
nucleon_like_n_levels_sim,-0.0033533612638967235
pion_like_d_spacing,0.08438104075514695
pion_like_d_total,0.08438104075514695
pion_like_has_enough_levels,0.020596978737393832
pion_like_is_match,-0.01794878170272075
pion_like_n_levels_sim,-0.0033533612638967235
quark_like_d_spacing,0.20068263293571728
quark_like_d_total,0.20068263293571728
quark_like_has_enough_levels,0.020596978737393832
quark_like_is_match,-0.07042084575246098
quark_like_n_levels_sim,-0.0033533612638967235
rho_like_d_spacing,0.2231885864090774
rho_like_d_total,0.2231885864090774
rho_like_has_enough_levels,-0.029931017681216362
rho_like_is_match,nan
rho_like_n_levels_sim,-0.0033533612638967235
run_id,-0.001837158413793052
s2_band_fraction,0.9434060523960291
s2_total_fraction,0.8359350112135777
s3_band_fraction,nan
second_energy,-0.02999144633617726
spacing_mean,0.09671632608815803
spacing_std,0.20310570495547633
third_energy,0.408912487705807
