proxy,corr_with_s2
D_dyn,-0.03067354319494695
D_stat,0.03477558378697932
E_internal,0.432653686951537
M1,0.0433693430578534
M2,0.025516102461529726
M3,-0.012994644177836977
M_spec,-0.016929777270037655
R_S1_Q,-0.12114220444935843
R_S2_S1,-0.12100071707393117
V_layers,-0.028877355752564553
V_lock,0.041219864750181794
band_count,0.044448183410745204
band_count_structural,-0.056032795691841
band_power_capture,-0.06255986184204175
band_structural_cap_hit,nan
delta_f,-0.1260989334852159
delta_omega,-0.12609893348521592
f_ref,-0.016929777270037655
fft_peak_delta,0.005353911322005086
fft_peak_index,0.21405864847472394
fft_peak_mag_k,-0.0687508391813338
fft_peak_mag_km1,-0.07068216085203104
fft_peak_mag_kp1,-0.06580286111911476
first_energy,0.053797911637689065
has_s3_dominant,nan
lock_Q0_S1_0_1-1_L,0.012901974280040302
lock_Q0_S1_0_1-1_locked,nan
lock_Q0_S1_0_1-1_ratio,0.022595254901557837
lock_Q0_S1_0_3-2_L,0.06651982091853237
lock_Q0_S1_0_3-2_locked,nan
lock_Q0_S1_0_3-2_ratio,0.022595254901557837
lock_Q0_S2_0_1-1_L,-0.011084251476275184
lock_Q0_S2_0_1-1_locked,nan
lock_Q0_S2_0_1-1_ratio,0.022595254901557837
lock_Q0_S2_0_5-3_L,-0.013175068021454888
lock_Q0_S2_0_5-3_locked,nan
lock_Q0_S2_0_5-3_ratio,0.022595254901557837
lock_Q1_S1_1_1-1_L,-0.013036231773966721
lock_Q1_S1_1_1-1_locked,nan
lock_Q1_S1_1_1-1_ratio,-0.027281184757142807
lock_Q1_S1_1_3-2_L,0.07106158061304338
lock_Q1_S1_1_3-2_locked,nan
lock_Q1_S1_1_3-2_ratio,-0.027281184757142807
lock_Q1_S2_1_1-1_L,-0.008588227201032184
lock_Q1_S2_1_1-1_locked,nan
lock_Q1_S2_1_1-1_ratio,-0.027281184757142807
lock_Q1_S2_1_5-3_L,-0.010523044721368807
lock_Q1_S2_1_5-3_locked,nan
lock_Q1_S2_1_5-3_ratio,-0.027281184757142807
lock_Q2_S1_0_1-1_L,0.0017930467415700657
lock_Q2_S1_0_1-1_locked,nan
lock_Q2_S1_0_1-1_ratio,0.019199180411210905
lock_Q2_S1_1_1-1_L,-0.00920677240725565
lock_Q2_S1_1_1-1_locked,nan
lock_Q2_S1_1_1-1_ratio,0.019199180411210905
lock_Q2_S2_2_1-1_L,-0.01601111805690734
lock_Q2_S2_2_1-1_locked,nan
lock_Q2_S2_2_1-1_ratio,0.019199180411210905
lock_S1_0_S2_0_1-1_L,0.2055277688012841
lock_S1_0_S2_0_1-1_locked,-0.0038123573934823
lock_S1_0_S2_0_1-1_ratio,nan
lock_S1_0_S2_0_2-1_L,0.011562600315439967
lock_S1_0_S2_0_2-1_locked,nan
lock_S1_0_S2_0_2-1_ratio,nan
lock_S1_0_S2_2_1-1_L,0.21626878419020903
lock_S1_0_S2_2_1-1_locked,-0.0038123573934823
lock_S1_0_S2_2_1-1_ratio,nan
lock_S1_1_S2_1_1-1_L,0.1946217044247738
lock_S1_1_S2_1_1-1_locked,-0.0038123573934823007
lock_S1_1_S2_1_1-1_ratio,nan
lock_S1_1_S2_1_2-1_L,0.010772716096103661
lock_S1_1_S2_1_2-1_locked,nan
lock_S1_1_S2_1_2-1_ratio,nan
lock_S1_1_S2_3_1-1_L,0.20554796784919474
lock_S1_1_S2_3_1-1_locked,-0.0038123573934823007
lock_S1_1_S2_3_1-1_ratio,nan
lock_quality_Q,-0.7391018065931394
lock_quality_S1,-0.009562595948720543
lock_quality_S2,0.9999928758956542
min_layer_fraction,-0.10492269433486899
omega_ref,-0.016929777270037655
omega_ref_interp,-0.016929777270037655
participation_entropy,-0.03477558378697933
peak_cap,nan
peak_cap_hit,nan
peaks_kept_count,0.04354135948997778
peaks_raw_count,0.02460346193173077
rho_lock,-0.029411032900054885
run_id,0.017220678001118213
s2_band_fraction,1.0
s2_band_fraction_total,1.0
s2_total_fraction,0.9496820531150647
s3_band_fraction,nan
s3_total_fraction,nan
second_energy,0.03240212277239666
spacing_mean,-0.11422733393852434
spacing_std,-0.0760447947969166
third_energy,0.006735107513076106
