proxy,corr_with_s2
R_S1_Q,-0.2633402777673754
R_S2_S1,-0.0790740807940667
band_count,0.2908885253715123
band_count_structural,-0.20548557524106775
band_power_capture,-0.3344154751348389
first_energy,0.0990877584893394
has_s3_dominant,nan
lock_Q0_S1_0_1-1_L,0.1262600455327654
lock_Q0_S1_0_1-1_locked,nan
lock_Q0_S1_0_1-1_ratio,0.16753578421210252
lock_Q0_S1_0_3-2_L,0.13847893372615866
lock_Q0_S1_0_3-2_locked,nan
lock_Q0_S1_0_3-2_ratio,0.16753578421210252
lock_Q0_S2_0_1-1_L,0.18708750455355
lock_Q0_S2_0_1-1_locked,nan
lock_Q0_S2_0_1-1_ratio,0.16943330821627384
lock_Q1_S1_1_1-1_L,0.1329906318951386
lock_Q1_S1_1_1-1_locked,nan
lock_Q1_S1_1_1-1_ratio,0.1653756105133144
lock_Q1_S2_1_1-1_L,0.17282340295465107
lock_Q1_S2_1_1-1_locked,nan
lock_Q1_S2_1_1-1_ratio,0.20549418375223238
lock_Q2_S1_0_1-1_L,0.08573307475275241
lock_Q2_S1_0_1-1_locked,nan
lock_Q2_S1_0_1-1_ratio,0.15877708038668628
lock_Q2_S1_1_1-1_L,0.0838477150868132
lock_Q2_S1_1_1-1_locked,nan
lock_Q2_S1_1_1-1_ratio,0.1604605976142909
lock_Q2_S2_2_1-1_L,0.13170480036635543
lock_Q2_S2_2_1-1_locked,nan
lock_Q2_S2_2_1-1_ratio,0.21644993989317618
lock_S1_0_S2_0_1-1_L,0.2098353015079276
lock_S1_0_S2_0_1-1_locked,0.25961907057775285
lock_S1_0_S2_0_1-1_ratio,0.2662567062385998
lock_S1_0_S2_0_2-1_L,0.07582078967186537
lock_S1_0_S2_0_2-1_locked,nan
lock_S1_0_S2_0_2-1_ratio,0.2662567062385998
lock_S1_0_S2_2_1-1_L,0.23910284865769235
lock_S1_0_S2_2_1-1_locked,0.2730046420596721
lock_S1_0_S2_2_1-1_ratio,0.32818426963776887
lock_S1_1_S2_1_1-1_L,0.2531037747411933
lock_S1_1_S2_1_1-1_locked,0.26397631299060953
lock_S1_1_S2_1_1-1_ratio,0.2497942482854794
lock_S1_1_S2_3_1-1_L,0.2459764419036959
lock_S1_1_S2_3_1-1_locked,0.30303737011860976
lock_S1_1_S2_3_1-1_ratio,0.15479753991038167
lock_quality_Q,-0.27628000548981013
lock_quality_S1,0.0640047010353086
lock_quality_S2,0.41453183960514134
run_id,-0.07607231766009447
s2_band_fraction,0.3975841448457816
s2_total_fraction,0.44207573502715974
s3_band_fraction,nan
s3_total_fraction,nan
second_energy,0.06798981258094398
spacing_mean,-0.08844840228385757
spacing_std,-0.12866494359645497
third_energy,0.026848612302841912
