run_id,best_target,best_d_total,structure_tier,s2_state,band_count_structural,band_count,lock_quality_Q,lock_quality_S1,lock_quality_S2,reasons,selection_config_path,selection_config_hash
5.0,delta_1232,17.579479612905377,level1,none,2.0,2.0,0.9994675742704733,0.000129184197526821,0.000403241531999898,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
8.0,delta_1232,7.552169976379337,level1,none,1.0,1.0,0.9998458687337468,1.104226615867848e-05,0.00014308900009453131,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
32.0,delta_1232,8.265666504822304,level1,none,19.0,19.0,0.9997452356519265,0.00015383358222411853,0.00010093076584931895,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
3.0,delta_1232,18.85006244475398,level1,none,1.0,1.0,0.9988881348233388,0.0006101307424429056,0.0005017344342182664,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
12.0,delta_1232,7.171494471123618,level1,none,2.0,2.0,0.9990621114324718,0.00015868981520293413,0.0007791987523253674,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
33.0,delta_1232,7.621235355854306,level1,none,2.0,2.0,0.9995319106640687,0.00035741740141268094,0.00011067193451865166,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
39.0,delta_1232,11.592000610083375,level1,latent,1.0,1.0,0.9988657510279861,0.00011603952467640648,0.001018209447337411,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
22.0,delta_1232,10.516276958736656,level1,none,1.0,1.0,0.9994113299946115,4.5234604733626016e-05,0.0005434354006549103,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
41.0,delta_1232,13.016149166509733,level1,none,1.0,1.0,0.9995962330536511,0.00028199296558664326,0.00012177398076231351,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
6.0,delta_1232,16.938162777241523,level1,none,1.0,1.0,0.9998907751439677,3.733554536239252e-05,7.188931066984136e-05,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
9.0,delta_1232,13.26331151723362,level1,none,19.0,19.0,0.9992726546136083,8.979942209440004e-05,0.0006375459642974144,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
37.0,delta_1232,17.3364127595234,level1,none,2.0,2.0,0.9995005207960128,0.00016085002848944041,0.0003386291754977553,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
44.0,delta_1232,9.007596172657557,level1,latent,1.0,1.0,0.9976783903027621,0.0004257826159633393,0.0018958270812745057,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
30.0,delta_1232,10.227240785753288,level1,none,17.0,17.0,0.9993675174638854,7.571667354269291e-05,0.0005567658625719126,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
1.0,delta_1232,8.510893923126185,level1,latent,1.0,1.0,0.9976311308026039,8.793772307892048e-05,0.002280931474317349,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
34.0,delta_1232,8.02027953945714,level1,none,1.0,1.0,0.999720344466971,6.150136765286371e-05,0.0002181541653761968,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
7.0,delta_1232,7.788329137172314,level1,none,1.0,1.0,0.999871360864872,2.5423092825365823e-05,0.00010321604230276904,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
26.0,delta_1232,8.044174139817574,level1,none,1.0,1.0,0.9993641217008723,2.5092794071760375e-05,0.0006107855050560622,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
21.0,delta_1232,19.939570950124136,level1,none,1.0,1.0,0.9992113136545319,0.00037633538261084063,0.000412350962857356,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
38.0,delta_1232,13.682620962662805,level1,none,1.0,1.0,0.9989808948700908,0.0003988845978151636,0.000620220532094069,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
15.0,delta_1232,7.8931156752557685,level1,none,1.0,1.0,0.999133704469125,7.57320275922042e-05,0.000790563503282909,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
36.0,delta_1232,9.671188240302822,level1,none,13.0,13.0,0.9998791092082441,1.954926438471112e-05,0.00010134152737118987,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
46.0,delta_1232,7.7851884861397265,level1,none,19.0,19.0,0.9997387092836094,0.00016068705616144148,0.00010060366022897747,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
42.0,delta_1232,15.794271096437116,level1,none,1.0,1.0,0.9987438989827576,0.0007427421166265251,0.0005133589006159123,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
11.0,delta_1232,13.944850506857211,level1,none,1.0,1.0,0.9998930515511256,2.413625657321458e-05,8.281219230100833e-05,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
29.0,delta_1232,7.730848155186338,level1,none,2.0,2.0,0.9987065711991298,0.00045927880672338013,0.0008341499941468096,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
40.0,delta_1232,8.932197703032314,level1,none,1.0,1.0,0.999752377754319,8.705155065071002e-05,0.00016057069503013367,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
16.0,delta_1232,16.729798682965036,level1,none,18.0,18.0,0.9995165012019438,7.99462830422603e-05,0.00040355251501396686,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
