proxy,corr_with_s2
D_dyn,-0.011987327190671235
D_stat,0.04754282209373296
E_internal,-0.006338024846679669
M1,-0.04726567794306671
M2,-0.020497990899745723
M3,-0.027623582079437936
M_spec,-0.00609524834448502
R_S1_Q,0.053168992729411994
R_S2_S1,-0.05877700927408568
V_layers,-0.045791133987663525
V_lock,-0.047712719626676815
band_count,-0.047215242940561154
band_count_structural,-0.042284653568921346
band_power_capture,0.015297543171863595
band_structural_cap_hit,nan
delta_f,-0.01643997632167059
delta_omega,-0.016439976321670595
f_ref,-0.006095248344485017
fft_peak_delta,-0.018929221041084486
fft_peak_index,-0.012401920469763924
fft_peak_mag_k,-0.00583861552100146
fft_peak_mag_km1,-0.005713701489263533
fft_peak_mag_kp1,-0.005810655678795103
first_energy,0.015765793257692885
has_s3_dominant,nan
lock_Q0_S1_0_1-1_L,-0.032655732072074395
lock_Q0_S1_0_1-1_locked,nan
lock_Q0_S1_0_1-1_ratio,0.05054404189935477
lock_Q0_S1_0_3-2_L,-0.025967958558887807
lock_Q0_S1_0_3-2_locked,nan
lock_Q0_S1_0_3-2_ratio,0.05054404189935477
lock_Q0_S2_0_1-1_L,-0.02820830249093735
lock_Q0_S2_0_1-1_locked,nan
lock_Q0_S2_0_1-1_ratio,0.05054404189935477
lock_Q0_S2_0_5-3_L,-0.046189346969086054
lock_Q0_S2_0_5-3_locked,nan
lock_Q0_S2_0_5-3_ratio,0.05054404189935477
lock_Q1_S1_1_1-1_L,-0.047087035456504056
lock_Q1_S1_1_1-1_locked,nan
lock_Q1_S1_1_1-1_ratio,0.004221095772850444
lock_Q1_S1_1_3-2_L,-0.014529172447469785
lock_Q1_S1_1_3-2_locked,nan
lock_Q1_S1_1_3-2_ratio,0.004221095772850444
lock_Q1_S2_1_1-1_L,-0.06442548090386506
lock_Q1_S2_1_1-1_locked,nan
lock_Q1_S2_1_1-1_ratio,0.004221095772850444
lock_Q1_S2_1_5-3_L,-0.05339204911589666
lock_Q1_S2_1_5-3_locked,nan
lock_Q1_S2_1_5-3_ratio,0.004221095772850444
lock_Q2_S1_0_1-1_L,-0.03133425606257677
lock_Q2_S1_0_1-1_locked,nan
lock_Q2_S1_0_1-1_ratio,0.002180482475075681
lock_Q2_S1_1_1-1_L,-0.04511498478714368
lock_Q2_S1_1_1-1_locked,nan
lock_Q2_S1_1_1-1_ratio,0.002180482475075681
lock_Q2_S2_2_1-1_L,-0.06323801519046243
lock_Q2_S2_2_1-1_locked,nan
lock_Q2_S2_2_1-1_ratio,0.002180482475075681
lock_S1_0_S2_0_1-1_L,-0.07031576580835916
lock_S1_0_S2_0_1-1_locked,-0.02012592946007671
lock_S1_0_S2_0_1-1_ratio,nan
lock_S1_0_S2_0_2-1_L,-0.018260451081123414
lock_S1_0_S2_0_2-1_locked,nan
lock_S1_0_S2_0_2-1_ratio,nan
lock_S1_0_S2_2_1-1_L,-0.020197103764272386
lock_S1_0_S2_2_1-1_locked,-0.017559431701139272
lock_S1_0_S2_2_1-1_ratio,nan
lock_S1_1_S2_1_1-1_L,-0.023001038284958853
lock_S1_1_S2_1_1-1_locked,-0.01755943170113927
lock_S1_1_S2_1_1-1_ratio,nan
lock_S1_1_S2_1_2-1_L,-0.02749246469457422
lock_S1_1_S2_1_2-1_locked,nan
lock_S1_1_S2_1_2-1_ratio,nan
lock_S1_1_S2_3_1-1_L,-0.016723840738658236
lock_S1_1_S2_3_1-1_locked,-0.016382439572766343
lock_S1_1_S2_3_1-1_ratio,nan
lock_quality_Q,-0.1961099084356588
lock_quality_S1,-0.016841932444550324
lock_quality_S2,0.9996258820994975
min_layer_fraction,-0.05519847606860495
omega_ref,-0.00609524834448502
omega_ref_interp,-0.00609524834448502
participation_entropy,-0.04754282209373289
peak_cap,nan
peak_cap_hit,nan
peaks_kept_count,-0.047215242940561154
peaks_raw_count,-0.048043784513197435
rho_lock,-0.011139298186985386
run_id,-0.07790773238432074
s2_band_fraction,1.0
s2_band_fraction_total,1.0
s2_total_fraction,0.9993640592146036
s3_band_fraction,nan
second_energy,0.009660301149513145
spacing_mean,-0.0357558413343276
spacing_std,-0.03141260777076573
third_energy,0.022041841296088723
