run_id,dof_grade,dof_family_id,dof_family_friendly,omega_ref_proxy,genes_min,R_S1_Q,R_S2_S1,dominant_parity,lock_Q0_S1_0_1-1_ratio,band_count,rho_lock,lock_quality_Q,participation_entropy,dna_cluster_id
0,B,F7BDC,LOCKED_lowEnt_maxBands_S1Q_bin7_S2S1_bin3,6.148122094073261,"{""D_dyn"":0.11155847172694272,""D_stat"":0.9955566864444894,""V_layers"":1.0048934127028326,""V_lock"":29.141908968382147,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.004881478874489564,""rho_lock"":0.11106278245728635,""s2_state"":""none"",""structure_tier"":""level1""}",5.662711178644751,5.809106220501207,,0.6030530785431663,29,0.11106278245728635,0.9994715245262064,0.004881478874489564,
1,A,FCF8D,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,9.605660385590838,"{""D_dyn"":0.4293600919061927,""D_stat"":0.9949723475829179,""V_layers"":1.0055387230513448,""V_lock"":16.088619568821517,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.005523440728558385,""rho_lock"":0.4272014186023219,""s2_state"":""none"",""structure_tier"":""level1""}",8.06998003734204,2.4229239895937384,,0.6582642569016154,16,0.4272014186023219,0.9993918692610073,0.005523440728558385,
10,A,FBC64,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.324821349965862,"{""D_dyn"":0.5442935560591707,""D_stat"":0.9975752274572267,""V_layers"":1.0026674362068426,""V_lock"":20.053348724136853,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.002663884912715697,""rho_lock"":0.54297376798923,""s2_state"":""none"",""structure_tier"":""level1""}",6.319123976600954,7.600654968806648,,0.6377233508255381,20,0.54297376798923,0.9997202004966501,0.002663884912715697,
100,C,F9C79,REJECTED,8.493416241734867,"{""D_dyn"":0.1176252249707997,""D_stat"":0.98304961544275,""V_layers"":1.0187963696645508,""V_lock"":30.563891089936522,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.018621900772244918,""rho_lock"":0.11563143217391161,""s2_state"":""latent"",""structure_tier"":""none""}",5.911860976360949,3.6524199586658987,,0.6235768733890685,30,0.11563143217391161,0.000239124624392133,0.018621900772244918,
101,C,F812C,REJECTED,8.837178635560859,"{""D_dyn"":0.48800958811923784,""D_stat"":0.9869562226869705,""V_layers"":1.0144332214804892,""V_lock"":12.17319865776587,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.014330054046744515,""rho_lock"":0.48164409972518724,""s2_state"":""latent"",""structure_tier"":""none""}",5.975733185129803,5.775136004245281,,0.6470784010801085,12,0.48164409972518724,0.00014391221684229214,0.014330054046744515,
102,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,11.80466845669397,"{""D_dyn"":0.4129059703142382,""D_stat"":0.9965307205388192,""V_layers"":1.0038186656440011,""V_lock"":11.042005322084012,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.0038113930488771677,""rho_lock"":0.4114734841120281,""s2_state"":""none"",""structure_tier"":""level1""}",8.581695579012292,6.238530040763365,,0.647031286854556,11,0.4114734841120281,0.9995990408924762,0.0038113930488771677,
103,A,FE206,LOCKED_lowEnt_midBands_S1Q_bin5_S2S1_bin3,7.540366159762207,"{""D_dyn"":0.3726937085935998,""D_stat"":0.9973939759898319,""V_layers"":1.002867112329338,""V_lock"":11.031538235622719,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.0028630100021348245,""rho_lock"":0.3717224598405663,""s2_state"":""none"",""structure_tier"":""level1""}",4.20282504298432,5.893916772379306,,0.6587916551435551,11,0.3717224598405663,0.9997056240748456,0.0028630100021348245,
104,A,F667F,LOCKED_lowEnt_midBands_S1Q_bin7_S2S1_bin3,8.874815648627962,"{""D_dyn"":0.44272584222546507,""D_stat"":0.9973191619730342,""V_layers"":1.0029495429676079,""V_lock"":11.032444972643686,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.002945201600353423,""rho_lock"":0.44153896595210657,""s2_state"":""none"",""structure_tier"":""level1""}",5.175454222866795,5.086271362546996,,0.6299971089107315,11,0.44153896595210657,0.9996884503645809,0.002945201600353423,
105,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,9.126748044231219,"{""D_dyn"":0.47710637341624995,""D_stat"":0.9934146644149849,""V_layers"":1.0072609644890014,""V_lock"":11.079870609379014,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.007234730598700988,""rho_lock"":0.4739644678375544,""s2_state"":""none"",""structure_tier"":""level1""}",6.6613212548029415,4.507377432082104,,0.6282634461479752,11,0.4739644678375544,0.9991714476268232,0.007234730598700988,
106,B,F50D1,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.353059089029682,"{""D_dyn"":0.12481064484866236,""D_stat"":0.9939547290081797,""V_layers"":1.0066635120614253,""V_lock"":24.15992428947421,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.006641408999942654,""rho_lock"":0.12405613067788836,""s2_state"":""none"",""structure_tier"":""level1""}",7.317579221434886,8.794603607482674,,0.6505023244790376,24,0.12405613067788836,0.9992494009866176,0.006641408999942654,
