band_count_compound,block_families,block_ids,enough_levels,enough_levels_full,enough_levels_partial,match_d_mass,match_d_spacing,match_d_total,max_rel_delta_R_S1_Q,max_rel_delta_R_S2_S1,max_rel_delta_R_S3_S2,n_levels_sim,num_quark_blocks,run_id,s2_band_fraction_compound,s2_state_blocks,s2_state_compound,status,structure_tier_compound,structure_tier_min,target,template_name
,"['nucleus', 'nucleus', 'lepton']","['deuteron_block_0125', 'deuteron_block_0153', 'tau_block_0093']",False,False,False,nan,nan,nan,0.4562467822463234,0.10048724961202324,0.0,0,0,0,,"['none', 'none', 'latent']",,error,,1,alpha_synthesis,nuclear_tetra
,"['nucleus', 'quark_like', 'lepton']","['deuteron_block_0167', 'quark_s_const_block_0008', 'tau_block_0080']",False,False,False,nan,nan,nan,0.545265035622864,0.5963769579998005,0.0,0,1,1,,"['none', 'none', 'none']",,error,,0,alpha_synthesis,nuclear_tetra
,"['delta_like', 'nucleus', 'eta_prime_like']","['delta_1232_block_0237', 'deuteron_block_0285', 'eta_prime_block_0084']",False,False,False,nan,nan,nan,0.662794238030383,0.6954015738991516,0.0,0,0,2,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['lepton', 'eta_prime_like', 'nucleus']","['tau_block_0080', 'eta_prime_block_0055', 'deuteron_block_0225']",False,False,False,nan,nan,nan,0.2729886622222721,0.5970455755769918,0.0,0,0,3,,"['none', 'none', 'latent']",,error,,1,alpha_synthesis,nuclear_tetra
,"['nucleus', 'eta_prime_like', 'quark_like']","['deuteron_block_0069', 'eta_prime_block_0156', 'quark_ud_const_block_0027']",False,False,False,nan,nan,nan,0.6273898798868717,0.525023719428552,0.0,0,1,4,,"['none', 'none', 'none']",,error,,0,alpha_synthesis,nuclear_tetra
,"['eta_prime_like', 'nucleus', 'nucleus']","['eta_prime_block_0157', 'deuteron_block_0163', 'deuteron_block_0055']",False,False,False,nan,nan,nan,0.5385422123384563,0.6453777219397681,0.0,0,0,5,,"['none', 'latent', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['nucleus', 'delta_like', 'eta_prime_like']","['deuteron_block_0185', 'delta_1232_block_0262', 'eta_prime_block_0101']",False,False,False,nan,nan,nan,0.43188821946739425,0.4580270597635281,0.0,0,0,6,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['lepton', 'eta_prime_like', 'lepton']","['tau_block_0065', 'eta_prime_block_0007', 'tau_block_0089']",False,False,False,nan,nan,nan,0.5771281433311827,0.7184442806065523,0.0,0,0,7,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['eta_prime_like', 'eta_prime_like', 'eta_prime_like']","['eta_prime_block_0206', 'eta_prime_block_0228', 'eta_prime_block_0198']",False,False,False,nan,nan,nan,0.4324283454361579,0.3295488602002701,0.0,0,0,8,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['eta_prime_like', 'lepton', 'lepton']","['eta_prime_block_0143', 'tau_block_0005', 'tau_block_0090']",False,False,False,nan,nan,nan,0.2897656462318873,0.42476073908001755,0.0,0,0,9,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['lepton', 'quark_like', 'eta_prime_like']","['tau_block_0061', 'quark_ud_const_block_0010', 'eta_prime_block_0079']",False,False,False,nan,nan,nan,0.3836394644518118,0.6211467425106231,0.0,0,1,10,,"['none', 'none', 'none']",,error,,0,alpha_synthesis,nuclear_tetra
,"['nucleus', 'eta_prime_like', 'delta_like']","['deuteron_block_0174', 'eta_prime_block_0023', 'delta_1232_block_0176']",False,False,False,nan,nan,nan,0.3281568768109522,0.6683388636190077,0.0,0,0,11,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['delta_like', 'lepton', 'delta_like']","['delta_1232_block_0020', 'tau_block_0065', 'delta_1232_block_0043']",False,False,False,nan,nan,nan,0.5698643836234023,0.7038349925051144,0.0,0,0,12,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['eta_prime_like', 'nucleus', 'nucleus']","['eta_prime_block_0017', 'deuteron_block_0297', 'deuteron_block_0209']",False,False,False,nan,nan,nan,0.7627279663347486,0.09619896542668076,0.0,0,0,13,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['nucleus', 'eta_prime_like', 'quark_like']","['deuteron_block_0279', 'eta_prime_block_0071', 'quark_ud_const_block_0003']",False,False,False,nan,nan,nan,0.1265622268342251,0.5955560952092581,0.0,0,1,14,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['quark_like', 'nucleus', 'quark_like']","['quark_ud_const_block_0029', 'deuteron_block_0036', 'quark_ud_const_block_0025']",False,False,False,nan,nan,nan,0.6474037812355132,0.2402053930296799,0.0,0,2,15,,"['none', 'none', 'none']",,error,,0,alpha_synthesis,nuclear_tetra
,"['nucleus', 'lepton', 'eta_prime_like']","['deuteron_block_0093', 'tau_block_0047', 'eta_prime_block_0150']",False,False,False,nan,nan,nan,0.0331795742157068,0.509181201146925,0.0,0,0,16,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['eta_prime_like', 'lepton', 'lepton']","['eta_prime_block_0203', 'tau_block_0021', 'tau_block_0034']",False,False,False,nan,nan,nan,0.6046404331985681,0.5681764749380579,0.0,0,0,17,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['delta_like', 'quark_like', 'quark_like']","['delta_1232_block_0312', 'quark_ud_const_block_0017', 'quark_ud_const_block_0033']",False,False,False,nan,nan,nan,0.5727295417007066,0.6332673431332947,0.0,0,2,18,,"['none', 'latent', 'none']",,error,,0,alpha_synthesis,nuclear_tetra
,"['eta_prime_like', 'quark_like', 'delta_like']","['eta_prime_block_0093', 'quark_s_const_block_0007', 'delta_1232_block_0191']",False,False,False,nan,nan,nan,0.6236607131137992,0.6979713843404048,0.0,0,1,19,,"['none', 'none', 'none']",,error,,0,alpha_synthesis,nuclear_tetra
,"['quark_like', 'nucleus', 'delta_like']","['quark_ud_const_block_0013', 'deuteron_block_0092', 'delta_1232_block_0238']",False,False,False,nan,nan,nan,0.4551986995050054,0.3437948066378818,0.0,0,1,20,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['eta_prime_like', 'nucleus', 'delta_like']","['eta_prime_block_0048', 'deuteron_block_0263', 'delta_1232_block_0375']",False,False,False,nan,nan,nan,0.35912309636732853,0.429849653666108,0.0,0,0,21,,"['none', 'latent', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['eta_prime_like', 'lepton', 'quark_like']","['eta_prime_block_0151', 'tau_block_0115', 'quark_s_const_block_0009']",False,False,False,nan,nan,nan,0.650730625530174,0.3008244756118457,0.0,0,1,22,,"['none', 'none', 'none']",,error,,0,alpha_synthesis,nuclear_tetra
,"['lepton', 'lepton', 'delta_like']","['tau_block_0121', 'tau_block_0115', 'delta_1232_block_0040']",False,False,False,nan,nan,nan,0.701921950199651,0.7056789063702001,0.0,0,0,23,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['lepton', 'nucleus', 'eta_prime_like']","['tau_block_0117', 'deuteron_block_0117', 'eta_prime_block_0207']",False,False,False,nan,nan,nan,0.5629942029455891,0.2127244573377993,0.0,0,0,24,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['lepton', 'eta_prime_like', 'delta_like']","['tau_block_0049', 'eta_prime_block_0150', 'delta_1232_block_0123']",False,False,False,nan,nan,nan,0.39280054759364647,0.638923282510941,0.0,0,0,25,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['nucleus', 'nucleus', 'nucleus']","['deuteron_block_0278', 'deuteron_block_0125', 'deuteron_block_0027']",False,False,False,nan,nan,nan,0.31992723490121383,0.22514008436352406,0.0,0,0,26,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['nucleus', 'eta_prime_like', 'delta_like']","['deuteron_block_0082', 'eta_prime_block_0048', 'delta_1232_block_0225']",False,False,False,nan,nan,nan,0.7225327645902703,0.4413831055033322,0.0,0,0,27,,"['latent', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['nucleus', 'nucleus', 'nucleus']","['deuteron_block_0185', 'deuteron_block_0013', 'deuteron_block_0056']",False,False,False,nan,nan,nan,0.6926097754119237,0.6969719807537839,0.0,0,0,28,,"['none', 'latent', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['delta_like', 'delta_like', 'lepton']","['delta_1232_block_0078', 'delta_1232_block_0116', 'tau_block_0126']",False,False,False,nan,nan,nan,0.43480524916025765,0.4886147393903244,0.0,0,0,29,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['delta_like', 'nucleus', 'quark_like']","['delta_1232_block_0079', 'deuteron_block_0234', 'quark_ud_const_block_0023']",False,False,False,nan,nan,nan,0.3319363142173248,0.4802006029799443,0.0,0,1,30,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['nucleus', 'nucleus', 'nucleus']","['deuteron_block_0285', 'deuteron_block_0125', 'deuteron_block_0244']",False,False,False,nan,nan,nan,0.42743899843496674,0.1477522877642163,0.0,0,0,31,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
,"['eta_prime_like', 'delta_like', 'eta_prime_like']","['eta_prime_block_0080', 'delta_1232_block_0065', 'eta_prime_block_0134']",False,False,False,nan,nan,nan,0.38493960201213917,0.6147090910053987,0.0,0,0,32,,"['none', 'none', 'none']",,error,,1,alpha_synthesis,nuclear_tetra
