block_families,block_ids,enough_levels_full,enough_levels_partial,match_d_mass,match_d_spacing,match_d_total,max_rel_delta_R_S1_Q,max_rel_delta_R_S2_S1,max_rel_delta_R_S3_S2,n_levels_sim,run_id,s2_band_fraction_compound,s2_state_blocks,s2_state_compound,status,structure_tier_compound,structure_tier_min,target,template_name
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0005', 'quark_ud_const_block_0010', 'quark_ud_const_block_0003']",False,False,nan,nan,nan,0.5738888480671975,0.23254979865615447,0.0,0,0,,"['none', 'structural', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0006', 'quark_ud_const_block_0003', 'quark_s_const_block_0002']",False,False,nan,nan,nan,0.6108650680985304,0.3018358870066844,0.0,0,1,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0002', 'quark_s_const_block_0005', 'quark_ud_const_block_0007']",False,False,nan,nan,nan,0.40333700202919204,0.2864468222827637,0.0,0,2,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0007', 'quark_s_const_block_0008', 'quark_ud_const_block_0005']",False,False,nan,nan,nan,0.6458031985325209,0.6242569938834857,0.0,0,3,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0007', 'quark_ud_const_block_0001', 'quark_s_const_block_0007']",False,False,nan,nan,nan,0.019717929193138573,0.5131749208610022,0.0,0,4,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0005', 'quark_s_const_block_0001', 'quark_s_const_block_0005']",False,False,nan,nan,nan,0.6982772342690965,0.2406643363072206,0.0,0,5,,"['none', 'latent', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0008', 'quark_s_const_block_0005', 'quark_ud_const_block_0002']",False,False,nan,nan,nan,0.45099367818872965,0.2779024018987907,0.0,0,6,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0005', 'quark_ud_const_block_0006', 'quark_ud_const_block_0007']",False,False,nan,nan,nan,0.5691740843426328,0.4151007433322944,0.0,0,7,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0009', 'quark_ud_const_block_0009', 'quark_ud_const_block_0003']",False,False,nan,nan,nan,0.26630145298034286,0.3919706689222077,0.0,0,8,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0006', 'quark_ud_const_block_0010', 'quark_ud_const_block_0005']",False,False,nan,nan,nan,0.08677599697546494,0.5558651347448145,0.0,0,9,,"['none', 'structural', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0004', 'quark_ud_const_block_0009', 'quark_ud_const_block_0003']",False,False,nan,nan,nan,0.26630145298034286,0.3919706689222077,0.0,0,10,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0001', 'quark_s_const_block_0002', 'quark_ud_const_block_0004']",False,False,nan,nan,nan,0.658098504327982,0.5069369066435219,0.0,0,11,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0009', 'quark_s_const_block_0003', 'quark_ud_const_block_0008']",False,False,nan,nan,nan,0.5026823965961256,0.3790379103883643,0.0,0,12,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0001', 'quark_ud_const_block_0008', 'quark_s_const_block_0004']",False,False,nan,nan,nan,0.4684683135114629,0.4934288011354279,0.0,0,13,,"['latent', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0008', 'quark_ud_const_block_0008', 'quark_s_const_block_0001']",False,False,nan,nan,nan,0.4684683135114629,0.6197576709166002,0.0,0,14,,"['none', 'none', 'latent']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0001', 'quark_ud_const_block_0009', 'quark_s_const_block_0005']",False,False,nan,nan,nan,0.4487178478919863,0.6066588573969918,0.0,0,15,,"['latent', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0001', 'quark_ud_const_block_0002', 'quark_ud_const_block_0005']",False,False,nan,nan,nan,0.6883577968512715,0.6054251262522198,0.0,0,16,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0004', 'quark_ud_const_block_0001', 'quark_ud_const_block_0001']",False,False,nan,nan,nan,0.16374456459477907,0.20790653336525483,0.0,0,17,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0009', 'quark_ud_const_block_0005', 'quark_ud_const_block_0006']",False,False,nan,nan,nan,0.7144922658692985,0.6132040876870144,0.0,0,18,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0001', 'quark_ud_const_block_0002', 'quark_s_const_block_0007']",False,False,nan,nan,nan,0.2058156044885955,0.389172852180011,0.0,0,19,,"['latent', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0008', 'quark_ud_const_block_0009', 'quark_ud_const_block_0009']",False,False,nan,nan,nan,0.18706381085733687,0.7317667331415899,0.0,0,20,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0006', 'quark_ud_const_block_0002', 'quark_s_const_block_0009']",False,False,nan,nan,nan,0.690989632189472,0.4593207824155238,0.0,0,21,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0005', 'quark_s_const_block_0002', 'quark_s_const_block_0001']",False,False,nan,nan,nan,0.6982772342690965,0.44128126751284635,0.0,0,22,,"['none', 'none', 'latent']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0007', 'quark_s_const_block_0009', 'quark_ud_const_block_0004']",False,False,nan,nan,nan,0.6011145037262673,0.34039346189106956,0.0,0,23,,"['none', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0007', 'quark_s_const_block_0001', 'quark_s_const_block_0008']",False,False,nan,nan,nan,0.2058156044885955,0.43793408907461484,0.0,0,24,,"['none', 'latent', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0001', 'quark_ud_const_block_0008', 'quark_ud_const_block_0007']",False,False,nan,nan,nan,0.4684683135114629,0.44900502058540614,0.0,0,25,,"['latent', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0010', 'quark_ud_const_block_0006', 'quark_s_const_block_0008']",False,False,nan,nan,nan,0.6487944097656632,0.6920036069649057,0.0,0,26,,"['structural', 'none', 'none']",,error,,2,delta_1232,baryon_triangle
