band_count_compound,block_families,block_ids,enough_levels,enough_levels_full,enough_levels_partial,match_d_mass,match_d_spacing,match_d_total,max_rel_delta_R_S1_Q,max_rel_delta_R_S2_S1,max_rel_delta_R_S3_S2,n_levels_sim,num_quark_blocks,run_id,s2_band_fraction_compound,s2_state_blocks,s2_state_compound,status,structure_tier_compound,structure_tier_min,target,template_name
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0007', 'quark_ud_const_block_0008', 'quark_ud_const_block_0001']",False,False,False,nan,nan,nan,0.3439168721076133,0.28038579442961553,0.0,0,3,0,,"['none', 'none', 'none']",,error,,2,neutron,baryon_chain
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0001', 'quark_ud_const_block_0008', 'quark_ud_const_block_0010']",False,False,False,nan,nan,nan,0.5956315557967148,0.5239831953046235,0.0,0,3,1,,"['none', 'none', 'structural']",,error,,2,neutron,baryon_triangle
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0005', 'quark_ud_const_block_0009', 'quark_ud_const_block_0002']",False,False,False,nan,nan,nan,0.7120606020085071,0.6132040876870144,0.0,0,3,2,,"['none', 'none', 'none']",,error,,2,neutron,baryon_chain
,"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0009', 'quark_s_const_block_0008', 'quark_s_const_block_0008']",False,False,False,nan,nan,nan,0.22657933874596312,0.43035281731173125,0.0,0,3,3,,"['none', 'none', 'none']",,error,,2,neutron,baryon_triangle
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0002', 'quark_ud_const_block_0001', 'quark_s_const_block_0009']",False,False,False,nan,nan,nan,0.3195011422030448,0.5196539368872428,0.0,0,3,4,,"['none', 'none', 'none']",,error,,2,neutron,baryon_chain
,"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0007', 'quark_ud_const_block_0002', 'quark_ud_const_block_0007']",False,False,False,nan,nan,nan,0.28274888631286094,0.3314965401515078,0.0,0,3,5,,"['none', 'none', 'none']",,error,,2,neutron,baryon_chain
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0002', 'quark_s_const_block_0007', 'quark_ud_const_block_0001']",False,False,False,nan,nan,nan,0.17970599890280248,0.5131749208610022,0.0,0,3,6,,"['none', 'none', 'none']",,error,,2,neutron,baryon_triangle
,"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0004', 'quark_s_const_block_0008', 'quark_ud_const_block_0001']",False,False,False,nan,nan,nan,0.6748319656189254,0.7263722184324165,0.0,0,3,7,,"['none', 'none', 'none']",,error,,2,neutron,baryon_chain
,"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0005', 'quark_ud_const_block_0002', 'quark_ud_const_block_0010']",False,False,False,nan,nan,nan,0.6616269756520777,0.2753576861845601,0.0,0,3,8,,"['none', 'none', 'structural']",,error,,2,neutron,baryon_chain
,"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0003', 'quark_s_const_block_0005', 'quark_ud_const_block_0004']",False,False,False,nan,nan,nan,0.7408352307823748,0.36259810941940823,0.0,0,3,9,,"['none', 'none', 'none']",,error,,2,neutron,baryon_chain
