band_count_compound,block_families,block_ids,enough_levels,enough_levels_full,enough_levels_partial,match_d_mass,match_d_spacing,match_d_total,max_rel_delta_R_S1_Q,max_rel_delta_R_S2_S1,max_rel_delta_R_S3_S2,n_levels_sim,num_quark_blocks,run_id,s2_band_fraction_compound,s2_state_blocks,s2_state_compound,status,structure_tier_compound,structure_tier_min,target,template_name
,"['eta_prime_like', 'eta_prime_like', 'lepton']","['eta_prime_block_0176', 'eta_prime_block_0124', 'tau_block_0069']",False,False,False,nan,nan,nan,0.6904219174162499,0.7110527010896355,0.0,0,0,0,,"['none', 'none', 'none']",,error,,1,open_cluster_scan,nuclear_tetra
,"['eta_prime_like', 'eta_prime_like', 'nucleus']","['eta_prime_block_0102', 'eta_prime_block_0213', 'deuteron_block_0297']",False,False,False,nan,nan,nan,0.5869077820765448,0.7313239661371652,0.0,0,0,1,,"['none', 'none', 'none']",,error,,1,open_cluster_scan,nuclear_tetra
,"['delta_like', 'delta_like', 'eta_prime_like']","['delta_1232_block_0103', 'delta_1232_block_0208', 'eta_prime_block_0036']",False,False,False,nan,nan,nan,0.6935078445118886,0.6471812269341062,0.0,0,0,2,,"['none', 'none', 'none']",,error,,1,open_cluster_scan,nuclear_tetra
,"['nucleus', 'nucleus', 'lepton']","['deuteron_block_0125', 'deuteron_block_0115', 'tau_block_0119']",False,False,False,nan,nan,nan,0.15045615009419722,0.18947803561178714,0.0,0,0,3,,"['none', 'latent', 'none']",,error,,1,open_cluster_scan,nuclear_tetra
,"['delta_like', 'delta_like', 'eta_prime_like']","['delta_1232_block_0280', 'delta_1232_block_0266', 'eta_prime_block_0093']",False,False,False,nan,nan,nan,0.6273199754714953,0.6004329849912736,0.0,0,0,4,,"['none', 'none', 'none']",,error,,1,open_cluster_scan,nuclear_tetra
,"['eta_prime_like', 'nucleus', 'eta_prime_like']","['eta_prime_block_0195', 'deuteron_block_0036', 'eta_prime_block_0104']",False,False,False,nan,nan,nan,0.7341934020094097,0.3072023526537703,0.0,0,0,5,,"['none', 'none', 'latent']",,error,,1,open_cluster_scan,nuclear_chain
,"['eta_prime_like', 'eta_prime_like', 'delta_like']","['eta_prime_block_0075', 'eta_prime_block_0206', 'delta_1232_block_0087']",False,False,False,nan,nan,nan,0.42849664615229743,0.17528235456920235,0.0,0,0,6,,"['none', 'none', 'none']",,error,,1,open_cluster_scan,nuclear_tetra
,"['eta_prime_like', 'delta_like', 'eta_prime_like']","['eta_prime_block_0006', 'delta_1232_block_0337', 'eta_prime_block_0161']",False,False,False,nan,nan,nan,0.4499244565653307,0.3038921976930335,0.0,0,0,7,,"['none', 'none', 'none']",,error,,1,open_cluster_scan,nuclear_tetra
,"['nucleus', 'quark_like', 'nucleus']","['deuteron_block_0067', 'quark_ud_const_block_0005', 'deuteron_block_0218']",False,False,False,nan,nan,nan,0.4792762193052175,0.4855214348023332,0.0,0,1,8,,"['none', 'none', 'none']",,error,,0,open_cluster_scan,nuclear_tetra
,"['eta_prime_like', 'quark_like', 'quark_like']","['eta_prime_block_0056', 'quark_ud_const_block_0002', 'quark_ud_const_block_0009']",False,False,False,nan,nan,nan,0.7303877350936414,0.7486608631914787,0.0,0,2,9,,"['none', 'latent', 'none']",,error,,0,open_cluster_scan,nuclear_chain
