block_ids,enough_levels,match_d_mass,match_d_spacing,match_d_total,max_rel_delta_R_S1_Q,max_rel_delta_R_S2_S1,max_rel_delta_R_S3_S2,run_id,s2_state_blocks,status,structure_tier_min,target,template_name
"['pion_simple_blocks_0001', 'pion_simple_blocks_0016', 'pion_simple_blocks_0004']",False,nan,nan,nan,0.0,0.0,0.0,0,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0011', 'pion_simple_blocks_0004', 'pion_simple_blocks_0002']",False,nan,nan,nan,0.0,0.0,0.0,1,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0006', 'pion_simple_blocks_0013', 'pion_simple_blocks_0004']",False,nan,nan,nan,0.0,0.0,0.0,2,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0020', 'pion_simple_blocks_0016', 'pion_simple_blocks_0013']",False,nan,nan,nan,0.0,0.0,0.0,3,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0005', 'pion_simple_blocks_0008', 'pion_simple_blocks_0017']",False,nan,nan,nan,0.0,0.0,0.0,4,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0004', 'pion_simple_blocks_0018', 'pion_simple_blocks_0001']",False,nan,nan,nan,0.0,0.0,0.0,5,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0010', 'pion_simple_blocks_0001', 'pion_simple_blocks_0017']",False,nan,nan,nan,0.0,0.0,0.0,6,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0011', 'pion_simple_blocks_0012', 'pion_simple_blocks_0014']",False,nan,nan,nan,0.0,0.0,0.0,7,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0009', 'pion_simple_blocks_0007', 'pion_simple_blocks_0018']",False,nan,nan,nan,0.0,0.0,0.0,8,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0020', 'pion_simple_blocks_0005', 'pion_simple_blocks_0014']",False,nan,nan,nan,0.0,0.0,0.0,9,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0013', 'pion_simple_blocks_0019', 'pion_simple_blocks_0009']",False,nan,nan,nan,0.0,0.0,0.0,10,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0004', 'pion_simple_blocks_0017', 'pion_simple_blocks_0017']",False,nan,nan,nan,0.0,0.0,0.0,11,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0017', 'pion_simple_blocks_0018', 'pion_simple_blocks_0013']",False,nan,nan,nan,0.0,0.0,0.0,12,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0006', 'pion_simple_blocks_0017', 'pion_simple_blocks_0002']",False,nan,nan,nan,0.0,0.0,0.0,13,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0017', 'pion_simple_blocks_0001', 'pion_simple_blocks_0017']",False,nan,nan,nan,0.0,0.0,0.0,14,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0018', 'pion_simple_blocks_0010', 'pion_simple_blocks_0016']",False,nan,nan,nan,0.0,0.0,0.0,15,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0006', 'pion_simple_blocks_0010', 'pion_simple_blocks_0019']",False,nan,nan,nan,0.0,0.0,0.0,16,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0012', 'pion_simple_blocks_0016', 'pion_simple_blocks_0019']",False,nan,nan,nan,0.0,0.0,0.0,17,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0018', 'pion_simple_blocks_0003', 'pion_simple_blocks_0018']",False,nan,nan,nan,0.0,0.0,0.0,18,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0019', 'pion_simple_blocks_0006', 'pion_simple_blocks_0002']",False,nan,nan,nan,0.0,0.0,0.0,19,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0020', 'pion_simple_blocks_0007', 'pion_simple_blocks_0014']",False,nan,nan,nan,0.0,0.0,0.0,20,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0001', 'pion_simple_blocks_0013', 'pion_simple_blocks_0009']",False,nan,nan,nan,0.0,0.0,0.0,21,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0012', 'pion_simple_blocks_0011', 'pion_simple_blocks_0018']",False,nan,nan,nan,0.0,0.0,0.0,22,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0012', 'pion_simple_blocks_0016', 'pion_simple_blocks_0010']",False,nan,nan,nan,0.0,0.0,0.0,23,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0010', 'pion_simple_blocks_0011', 'pion_simple_blocks_0001']",False,nan,nan,nan,0.0,0.0,0.0,24,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0013', 'pion_simple_blocks_0007', 'pion_simple_blocks_0005']",False,nan,nan,nan,0.0,0.0,0.0,25,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0018', 'pion_simple_blocks_0011', 'pion_simple_blocks_0018']",False,nan,nan,nan,0.0,0.0,0.0,26,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0016', 'pion_simple_blocks_0002', 'pion_simple_blocks_0001']",False,nan,nan,nan,0.0,0.0,0.0,27,"['none', 'none', 'none']",error,1,proton,baryon_chain
"['pion_simple_blocks_0014', 'pion_simple_blocks_0012', 'pion_simple_blocks_0018']",False,nan,nan,nan,0.0,0.0,0.0,28,"['none', 'none', 'none']",error,1,proton,baryon_triangle
"['pion_simple_blocks_0012', 'pion_simple_blocks_0011', 'pion_simple_blocks_0006']",False,nan,nan,nan,0.0,0.0,0.0,29,"['none', 'none', 'none']",error,1,proton,baryon_triangle
