block_families,block_ids,enough_levels_full,enough_levels_partial,match_d_mass,match_d_spacing,match_d_total,max_rel_delta_R_S1_Q,max_rel_delta_R_S2_S1,max_rel_delta_R_S3_S2,n_levels_sim,run_id,s2_band_fraction_compound,s2_state_blocks,s2_state_compound,status,structure_tier_compound,structure_tier_min,target,template_name,label_structural,label,quark_block_count,reasons
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0007', 'quark_s_const_block_0007', 'quark_ud_const_block_0002']",False,False,nan,nan,nan,0.17970599890280248,0.2589042061310775,0.0,0,0,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0003', 'quark_ud_const_block_0007', 'quark_s_const_block_0008']",False,False,nan,nan,nan,0.18480857935749564,0.6242569938834857,0.0,0,1,,"['none', 'none', 'none']",,error,,2,proton,baryon_chain,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0003', 'quark_ud_const_block_0003', 'quark_ud_const_block_0005']",False,False,nan,nan,nan,0.6075508133945118,0.36385320157606293,0.0,0,2,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0005', 'quark_ud_const_block_0008', 'quark_ud_const_block_0003']",False,False,nan,nan,nan,0.6075508133945118,0.4516855410948563,0.0,0,3,,"['none', 'none', 'none']",,error,,2,proton,baryon_chain,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0003', 'quark_s_const_block_0001', 'quark_s_const_block_0008']",False,False,nan,nan,nan,0.20298202216918398,0.6462706950965115,0.0,0,4,,"['none', 'latent', 'none']",,error,,2,proton,baryon_chain,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0004', 'quark_s_const_block_0002', 'quark_s_const_block_0008']",False,False,nan,nan,nan,0.6748319656189254,0.6125425680591198,0.0,0,5,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0008', 'quark_ud_const_block_0005', 'quark_s_const_block_0003']",False,False,nan,nan,nan,0.7176987815402468,0.4899176720156579,0.0,0,6,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match
"['quark_like', 'quark_like', 'quark_like']","['quark_s_const_block_0001', 'quark_ud_const_block_0003', 'quark_ud_const_block_0010']",False,False,nan,nan,nan,0.6723972436228042,0.35308853948579727,0.0,0,7,,"['latent', 'none', 'structural']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0007', 'quark_ud_const_block_0006', 'quark_ud_const_block_0008']",False,False,nan,nan,nan,0.5691740843426328,0.18999971997452064,0.0,0,8,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match
"['quark_like', 'quark_like', 'quark_like']","['quark_ud_const_block_0009', 'quark_ud_const_block_0007', 'quark_s_const_block_0008']",False,False,nan,nan,nan,0.3373013930810888,0.7317667331415899,0.0,0,9,,"['none', 'none', 'none']",,error,,2,proton,baryon_triangle,REJECT_STRUCTURAL,NO,0,tier_below_min;s2_state_not_allowed;too_few_bands;too_few_quark_blocks;not_enough_levels_for_match
