E_bind_mass,F_m_list,H_block_mean,M_final,PE_tick_norm,QualityLock,R_final,R_mean_lastW,block_families,block_ids,block_particles,degree_normalized,degree_raw,edges_count,effective_degree,entropy_quality,fm_missing,mass_defect,mass_list,memory_score_k10,nodes,origin_run_ids,phase_var_lastW,reason,run_id,status,success,sumM,target,template_name
0.006941931991319727,"[0.4479166666666667, 1.0]",0.3196531389026841,1.440974734675347,0.5569111658117546,0.749589719926012,0.9137241961782452,0.5421440363407023,"[""quark_like"", ""eta_prime_like""]","[""quark_s_const_block_0002"", ""eta_prime_block_0009""]","[""quark_s_const"", ""eta_prime""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.6803468610973159,False,0.006941931991319761,"[0.4479166666666667, 1.0]",0.8430433646876055,2,"[42.0, 194.0]",4.114857393705731,no_lock,0,fail,False,1.4479166666666667,deuteron_synthesis,nuclear_pair
0.004160722785891283,"[1.7714285714285716, 1.3846153846153846]",0.0056465484067737635,3.151883233258065,0.566655128803722,0.9992835536535294,0.1884685799116675,0.6395085518380547,"[""lepton"", ""eta_prime_like""]","[""tau_block_0018"", ""eta_prime_block_0053""]","[""tau"", ""eta_prime""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9943534515932262,False,0.004160722785891302,"[1.7714285714285716, 1.3846153846153846]",0.9280335394605118,2,"[172.0, 79.0]",0.24917371269285712,no_lock,1,fail,False,3.1560439560439564,deuteron_synthesis,nuclear_pair
0.018162534386661867,"[1.0526315789473684, 1.5555555555555556]",0.002985098373427118,2.590024600116262,0.5213749036568305,0.9996535489305962,0.9951536702336641,0.6662423054316262,"[""eta_prime_like"", ""delta_like""]","[""eta_prime_block_0060"", ""delta_1232_block_0009""]","[""eta_prime"", ""delta_1232""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9970149016265729,False,0.01816253438666182,"[1.0526315789473684, 1.5555555555555556]",0.8943266957716676,2,"[4.0, 109.0]",2.943452089908761,no_lock,2,fail,False,2.608187134502924,deuteron_synthesis,nuclear_pair
0.025934124115910503,"[1.8518518518518519, 1.8571428571428574]",0.005939497823742134,3.683060584878799,0.883852131941214,0.9992425955215011,0.9996463679192632,0.9990860744829269,"[""nucleus"", ""nucleus""]","[""deuteron_block_0048"", ""deuteron_block_0075""]","[""deuteron"", ""deuteron""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9940605021762579,False,0.02593412411591034,"[1.8518518518518519, 1.8571428571428574]",0.7014338166281757,2,"[64.0, 53.0]",0.006696016165412958,locked,3,ok,True,3.7089947089947093,deuteron_synthesis,nuclear_pair
0.020918357776029222,"[1.8536585365853657, 1.5999999999999999]",0.00433073911367155,3.432740178809336,0.8310515840078722,0.9994762498158205,0.8657204398205125,0.8758930252909112,"[""nucleus"", ""delta_like""]","[""deuteron_block_0050"", ""delta_1232_block_0022""]","[""deuteron"", ""delta_1232""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9956692608863285,False,0.02091835777602924,"[1.8536585365853657, 1.5999999999999999]",0.9005795015131072,2,"[118.0, 81.0]",0.0036055458205413067,no_lock,4,fail,False,3.4536585365853654,deuteron_synthesis,nuclear_pair
0.010837565343653847,"[1.076923076923077, 1.8750000000000002]",0.0016791059427635304,2.941085511579424,0.5531315510863565,0.9998204167079945,0.5245738676801873,0.6246270742719326,"[""eta_prime_like"", ""nucleus""]","[""eta_prime_block_0020"", ""deuteron_block_0036""]","[""eta_prime"", ""deuteron""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9983208940572365,False,0.010837565343653655,"[1.076923076923077, 1.8750000000000002]",0.38759184802031676,2,"[223.0, 159.0]",2.922374595263415,no_lock,5,fail,False,2.9519230769230775,deuteron_synthesis,nuclear_pair
0.0028552143467520043,"[0.30833333333333335, 1.891891891891892]",0.291888890336662,2.1973700108784735,0.604875323937492,0.8331956013991719,0.22249823443168296,0.606640600092876,"[""quark_like"", ""nucleus""]","[""quark_ud_const_block_0002"", ""deuteron_block_0021""]","[""quark_ud_const"", ""deuteron""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.708111109663338,False,0.0028552143467521773,"[0.30833333333333335, 1.891891891891892]",0.4254607007742609,2,"[299.0, 216.0]",3.283011200790285,no_lock,6,fail,False,2.2002252252252257,deuteron_synthesis,nuclear_pair
0.01750643611170274,"[1.3333333333333333, 1.7499999999999998]",0.004689264151595998,3.0658268972216303,0.6235561689044732,0.9994073438587907,0.8115900028357451,0.6282852180080005,"[""delta_like"", ""lepton""]","[""delta_1232_block_0048"", ""tau_block_0009""]","[""delta_1232"", ""tau""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.995310735848404,False,0.017506436111702772,"[1.3333333333333333, 1.7499999999999998]",0.9220818637462268,2,"[154.0, 140.0]",2.454128572984367,no_lock,7,fail,False,3.083333333333333,deuteron_synthesis,nuclear_pair
0.015261784694030054,"[1.9375, 0.9523809523809526]",0.0063003610218098065,2.8746191676869226,0.5717323841755789,0.9992039874417417,0.7550455832466952,0.6143227483310589,"[""nucleus"", ""eta_prime_like""]","[""deuteron_block_0072"", ""eta_prime_block_0015""]","[""deuteron"", ""eta_prime""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9936996389781902,False,0.015261784694029945,"[1.9375, 0.9523809523809526]",0.7092449771032588,2,"[276.0, 132.0]",3.4580336356559807,no_lock,8,fail,False,2.8898809523809526,deuteron_synthesis,nuclear_pair
0.014728678090847271,"[1.7499999999999996, 1.2000000000000002]",0.004222922155175639,2.9352713219091524,0.5613122150309305,0.999479663938759,0.7136245008742065,0.6997898926287052,"[""lepton"", ""eta_prime_like""]","[""tau_block_0038"", ""eta_prime_block_0010""]","[""tau"", ""eta_prime""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9957770778448244,False,0.014728678090847325,"[1.7499999999999996, 1.2000000000000002]",0.798098556812016,2,"[207.0, 249.0]",2.2043492067467088,no_lock,9,fail,False,2.9499999999999997,deuteron_synthesis,nuclear_pair
0.02124220316127496,"[1.3333333333333333, 1.8181818181818183]",0.007677168635703115,3.1302729483538765,0.5872584888455483,0.998985322116053,0.9638800941908269,0.6783939656620661,"[""eta_prime_like"", ""lepton""]","[""eta_prime_block_0051"", ""tau_block_0032""]","[""eta_prime"", ""tau""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9923228313642969,False,0.021242203161274897,"[1.3333333333333333, 1.8181818181818183]",0.9222367660271799,2,"[195.0, 73.0]",2.5632712442019026,no_lock,10,fail,False,3.1515151515151514,deuteron_synthesis,nuclear_pair
0.01013157209426747,"[1.5483870967741937, 1.0]",0.003695458257207816,2.5382555246799265,0.498968319088613,0.9995578484725984,0.5682055456484245,0.6423408638170308,"[""delta_like"", ""eta_prime_like""]","[""delta_1232_block_0098"", ""eta_prime_block_0029""]","[""delta_1232"", ""eta_prime""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9963045417427921,False,0.010131572094267405,"[1.5483870967741937, 1.0]",0.8835875207855065,2,"[77.0, 251.0]",2.6278209495933775,no_lock,11,fail,False,2.548387096774194,deuteron_synthesis,nuclear_pair
0.02620168463530783,"[1.9215686274509804, 1.8571428571428574]",0.007418433073415992,3.75250979995853,0.8470201293801756,0.9989186041458177,0.9916475424891447,0.9898772925823838,"[""nucleus"", ""nucleus""]","[""deuteron_block_0059"", ""deuteron_block_0068""]","[""deuteron"", ""deuteron""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9925815669265841,False,0.02620168463530792,"[1.9215686274509804, 1.8571428571428574]",0.616997624368341,2,"[212.0, 149.0]",0.006485617009524295,locked,12,ok,True,3.778711484593838,deuteron_synthesis,nuclear_pair
0.014769244730141297,"[1.1428571428571428, 1.894736842105263]",0.002290210811670741,3.0228247402322648,0.6028820372881032,0.9997446144183921,0.6947706271548699,0.6347162954012829,"[""eta_prime_like"", ""nucleus""]","[""eta_prime_block_0013"", ""deuteron_block_0003""]","[""eta_prime"", ""deuteron""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9977097891883293,False,0.014769244730141295,"[1.1428571428571428, 1.894736842105263]",0.29808485741356383,2,"[293.0, 6.0]",2.855372223612901,no_lock,13,fail,False,3.037593984962406,deuteron_synthesis,nuclear_pair
0.0004903971624631416,"[1.2115384615384615, 1.7777777777777777]",0.006095327636140065,2.9888258421537763,0.5159361097149094,0.9991862703166539,0.023454792184803158,0.5279451273152155,"[""eta_prime_like"", ""lepton""]","[""eta_prime_block_0024"", ""tau_block_0002""]","[""eta_prime"", ""tau""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9939046723638599,False,0.0004903971624630188,"[1.2115384615384615, 1.7777777777777777]",0.8756955225123727,2,"[190.0, 95.0]",2.7325125423771306,no_lock,14,fail,False,2.9893162393162394,deuteron_synthesis,nuclear_pair
0.02496670068810861,"[1.7721518987341773, 1.8888888888888888]",0.0031796797760597086,3.6360740869349577,0.8425148328409988,0.9996243863525367,0.9745894481240738,0.980854020543662,"[""lepton"", ""nucleus""]","[""tau_block_0010"", ""deuteron_block_0042""]","[""tau"", ""deuteron""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9968203202239403,False,0.024966700688108467,"[1.7721518987341773, 1.8888888888888888]",0.5923293739985636,2,"[50.0, 196.0]",0.005957483021409037,locked,15,ok,True,3.661040787623066,deuteron_synthesis,nuclear_pair
0.01491599761173852,"[1.0476190476190477, 1.9111111111111112]",0.005257833449183571,2.9438141611184205,0.5585986305916144,0.9993059667553985,0.7206932027760408,0.6567143951765592,"[""eta_prime_like"", ""nucleus""]","[""eta_prime_block_0008"", ""deuteron_block_0053""]","[""eta_prime"", ""deuteron""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9947421665508164,False,0.01491599761173834,"[1.0476190476190477, 1.9111111111111112]",0.7062359876231283,2,"[181.0, 165.0]",2.636980257563595,no_lock,16,fail,False,2.958730158730159,deuteron_synthesis,nuclear_pair
0.00718090088906629,"[1.8297872340425532, 1.0526315789473684]",0.003038337491681043,2.875237912100855,0.5553538143828739,0.9996471226583126,0.35602220748019153,0.6101545332673561,"[""nucleus"", ""eta_prime_like""]","[""deuteron_block_0035"", ""eta_prime_block_0060""]","[""deuteron"", ""eta_prime""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.996961662508319,False,0.007180900889066422,"[1.8297872340425532, 1.0526315789473684]",0.5575210248367496,2,"[176.0, 4.0]",3.323528858933674,no_lock,17,fail,False,2.8824188129899215,deuteron_synthesis,nuclear_pair
0.022715264141053206,"[1.597014925373134, 1.7727272727272723]",0.007967636147007595,3.347026933959353,0.8131193769075357,0.9989633263630915,0.9639922224238197,0.9543633307505053,"[""delta_like"", ""lepton""]","[""delta_1232_block_0087"", ""tau_block_0027""]","[""delta_1232"", ""tau""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9920323638529924,False,0.022715264141053293,"[1.597014925373134, 1.7727272727272723]",0.7541300435996883,2,"[210.0, 124.0]",0.00649446513572096,locked,18,ok,True,3.3697421981004063,deuteron_synthesis,nuclear_pair
0.020060700103147047,"[1.7183098591549295, 1.9696969696969695]",0.002354126730598886,3.667946128748752,0.8547870089267735,0.999737209884423,0.7772674344462837,0.8839248040429986,"[""delta_like"", ""delta_like""]","[""delta_1232_block_0020"", ""delta_1232_block_0035""]","[""delta_1232"", ""delta_1232""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9976458732694011,False,0.020060700103146978,"[1.7183098591549295, 1.9696969696969695]",0.699986138288154,2,"[57.0, 182.0]",0.06288725056620306,no_lock,19,fail,False,3.688006828851899,deuteron_synthesis,nuclear_pair
0.013640280027495599,"[0.9600000000000001, 1.0]",0.0031819540829542527,1.9463597199725045,0.831306073810066,0.9996308658612675,0.9945566311827025,0.9952332960228164,"[""eta_prime_like"", ""eta_prime_like""]","[""eta_prime_block_0065"", ""eta_prime_block_0001""]","[""eta_prime"", ""eta_prime""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9968180459170457,False,0.01364028002749551,"[0.9600000000000001, 1.0]",0.7814566210193404,2,"[10.0, 136.0]",0.010067901199563176,locked,20,ok,True,1.96,deuteron_synthesis,nuclear_pair
0.006855969286372043,"[1.4666666666666666, 0.2608695652173913]",0.3249378720598052,1.7206802625976858,0.6105678738713161,0.7492221490551615,0.7567162335847362,0.6427110981786989,"[""delta_like"", ""quark_like""]","[""delta_1232_block_0086"", ""quark_ud_const_block_0006""]","[""delta_1232"", ""quark_ud_const""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.6750621279401948,False,0.00685596928637211,"[1.4666666666666666, 0.2608695652173913]",-1.0194277447820412,2,"[145.0, 268.0]",3.218026581930159,no_lock,21,fail,False,1.727536231884058,deuteron_synthesis,nuclear_pair
0.01944376907902307,"[1.1333333333333333, 1.7692307692307694]",0.00735809842101046,2.88312033348508,0.5561441498657556,0.9990433761744482,0.9578913468359853,0.5854091814929892,"[""eta_prime_like"", ""lepton""]","[""eta_prime_block_0048"", ""tau_block_0011""]","[""eta_prime"", ""tau""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9926419015789896,False,0.01944376907902301,"[1.1333333333333333, 1.7692307692307694]",0.5081633496326783,2,"[228.0, 84.0]",3.513422143972501,no_lock,22,fail,False,2.902564102564103,deuteron_synthesis,nuclear_pair
0.010287883604017226,"[1.0112359550561796, 1.9374999999999998]",0.004838699029525342,2.9384480714521617,0.5766671213986762,0.9993909134891761,0.49871992566290774,0.5830167354008412,"[""eta_prime_like"", ""nucleus""]","[""eta_prime_block_0016"", ""deuteron_block_0001""]","[""eta_prime"", ""deuteron""]","[1.0, 1.0]","[1.0, 1.0]",1,"[1, 1]",0.9951613009704746,False,0.010287883604017445,"[1.0112359550561796, 1.9374999999999998]",0.7367385505643296,2,"[173.0, 40.0]",3.7518915692720056,no_lock,23,fail,False,2.948735955056179,deuteron_synthesis,nuclear_pair
