F_m_list,H_block_mean,M_final,PE_tick_norm,QualityLock,R_final,R_mean_lastW,binding_energy,binding_energy_pos,block_families,block_ids,block_particles,degree_normalized,degree_raw,edges_count,effective_degree,entropy_quality,fm_missing,mass_defect,mass_defect_pos,mass_list,memory_score_k10,nodes,origin_run_ids,phase_var_lastW,reason,run_id,status,success,sumM,target,template_name
"[1.1223361318535363, 1.4758892715697316, 1.368035110907229, 1.8941849560906534, 1.3875529935061426, 1.654845373140833, 0.006757407336018304, 0.8611595706311241, 1.8207389172738269, 1.0640544520916924, 1.940601049005608, 1.3129657285553307]",-9.103201474236991e-13,5.080817766176246,0.8315192740212651,0.9306688570075754,0.16420482221483954,0.2356887468674458,0.005440985624075476,0.005440985624075476,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""15a2a23ce333e151f7869680076474b02672b26da5a4a68861a7aab703c5462a"", ""cdc65fcbcd923f12e03bf4743a2e7812ab198eba47d0710ed552f8e1f904d89f"", ""f5e564964aa1c673d1f7e0d6aff0cec9cf001de37020328bc6fe6066e4fbb717"", ""9af144cc22fc835edc8eb8568912a4721451c2a9cd5ed0778dcd64d376f924f6"", ""64170b9299530f5c89e54e881ea826b8c94b7fa274dfd987db1ba86a2630ee05"", ""aa467edd7647ced4836d264f787d8c31edca7d4086a234ffab1fcb815868f7b5"", ""5469691f15b16c404bd2ee2cf512a6d52f66cee3d2d7ac574192d4c583d7e13d"", ""427288c3733fc982f4625495355f9f43ee6864c46206489b36ff7d1fcf430d67"", ""361b124bdf964f5ae048a997390d83672867c9c8daf337f08d1256134e9f7eed"", ""73b474ef947554657182e01f369bdeb48fa9af70a05d992c3ac2e838802e280f"", ""028c04ce5cc9fd1b62e044746729d92e6fde3a153234cf2dad55c660a8fcc18e"", ""ca6d7e7051bf7d2805f884aa70a140ea12ee50b0da663c0e677e031349d532d1""]","[""bipartite_3_6"", ""star_5"", ""diatomic_prism_12"", ""complete_k6"", ""pentagon_ring"", ""double_triangle"", ""square_ring"", ""ladder_5"", ""trimer_chain"", ""bilayer_hex_6_6"", ""dimer"", ""bipartite_4_4""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999999, 1.0, 1.0]","[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0]",30,"[5, 5, 5, 5, 4, 5, 4, 7, 4, 6, 5, 5]",1.0000000000009104,False,0.0054409856240758,0.0054409856240758,"[0.35881881762987516, 0.471852262746521, 0.43737052300116624, 0.6055843583991836, 0.44361052843092535, 0.5290657970442604, 0.002160391028799161, 0.27531881951817544, 0.5821031391281544, 0.3401857514493444, 0.6204239123492438, 0.4197644510746729]",0.8076103494881417,12,"[null, null, null, null, null, null, null, null, null, null, null, null]",2.585551646645804,no_lock,0,fail,False,5.0862587518003215,Icosahedron_C12_Synthesis,icosahedron
"[1.57370168918509, 0.0010105638742435557, 0.3867834790900483, 1.528956750590813, 1.6152231943184738, 1.085666005021755, 1.3869967793476476, 0.204766036628683, 2.039357613290504, 0.8085557311292383, 0.7458252130390892, 2.4300239306883724]",-9.103201474236991e-13,4.402851830682158,0.8070543419007292,0.8763710541264228,0.41734923795620543,0.25878317125882855,0.011301422123549404,0.011301422123549404,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""51296820229283efe4435a0d0ee038aafd3d2ef9cfc85bb8b9ba6a582dd92535"", ""5a3d0b264a4384ecb376f7fc9883e05d5d83caab51856c796859bd93ed227ba6"", ""f89aaf147b249b5fd1fce7fc5c13570dac510e61060960ade7b36815f325bf61"", ""08cfca7f0487dad12e84c3d6091c96b5c8dac9c6cf9e2b92cbb2d3106590079b"", ""8cbe93c2986705db43e503f5d3d79c0748d53647cd7815c7953aea1ca3cd290c"", ""1fb1f867675c06923ba2596f7c9526dfe3326e2faeb9cfd8c091a6052fa7862b"", ""2df86cd1e40623490b68a6708498149dad4fe5696111a77d1d671e4c25a7220f"", ""5ae8db84b63f8e14e1414f57f534c73cb04b62ac74a7984efdcf827de91d03ac"", ""79b551bf8ca5a111518064d484ffa6675faefaa1142bcf4ade0e3325814c6e06"", ""8e509df415e46d1779996788362b9b6b908f98ff99133454b6950e3d5b0e884b"", ""17068debe1d94439dd90dae224c0979873abe656a0156ca5a8297aa63d6cef64"", ""2d10dacc5d36055119a3efb58811634750d8ff869dbf4a0926c436ab03f37102""]","[""star_6"", ""tetramer_chain"", ""dimer"", ""hexagon_with_center"", ""dodecamer_chain"", ""trimer_chain"", ""square_ring"", ""pentamer_chain"", ""decagon_ring"", ""icosahedron"", ""petersen"", ""bipartite_1_n""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999999, 1.0, 1.0]","[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0]",30,"[5, 5, 5, 5, 4, 5, 4, 7, 4, 6, 5, 5]",1.0000000000009104,False,0.01130142212354901,0.01130142212354901,"[0.50312358605347, 0.0003230844345148987, 0.12365742018539237, 0.4888183119865962, 0.5163983055918746, 0.34709511812606697, 0.44343270282143477, 0.06546515350309333, 0.6519970860395295, 0.25850099911914226, 0.23844560778709686, 0.7768958771574954]",0.5117401797898146,12,"[null, null, null, null, null, null, null, null, null, null, null, null]",2.9641835278640967,no_lock,1,fail,False,4.414153252805707,Icosahedron_C12_Synthesis,icosahedron
"[1.2940021698257598, 1.8930629479146466, 0.9361306564911254, 1.2483524422183483, 1.5946877092486114, 2.345583056299598, 1.1019878757071868, 0.8793600917752713, 1.2002561789460389, 1.7132216000221687, 1.658122731140701, 1.292951935841135]",-9.103201474236991e-13,5.472633990397803,0.675425461482925,0.9229801505813732,0.3614639041401313,0.3645544073791035,0.012810531936260673,0.012810531936260673,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""961730e2d4d4fff996e44b5b66dd3096777878f1bf84b72ba19e062e70ba9df6"", ""051d61c4995226c8c70269f381c7f8b27fb9f532aedf0625a28bc5c6f53f1e4f"", ""a10f48035ad077287ca3fab665b49c293c671888ca8dc81658771470866a614c"", ""4a1087b0837b253cbf0b347e57c37dc6d94a7551036623dd46400c56473fae9d"", ""a19f11606c29d2a0df68699f41c987bb1a0b3c254c927d441a825b0d0da37951"", ""8d0ed943550fbad7a6c03df6f350f3f662dd7bf93fd69a4b7a30cfe296249114"", ""cf5f0ec2c2a79c1609b2d2fbfa83d1d4719da04ef4a8dd8b6c95997c1eb95994"", ""9fff29b7219da2823b88676e72ab20e3a7902c258282b26b144dc2309f0a1cdc"", ""1e8230a2e486bfab6108ce564b9fa16b87151b5cab2701ad0dbb49533e110a71"", ""5e058e69ec102b53b94d8da14582258e14c259fb3a2f02f84ae092030a4c815a"", ""e4264af0adcafa1c2b4db505a3a645429b9bc3b3ba5b713b56bbff84c5c9abd0"", ""2f3fcf5949c0867c1e2872f4f01776aeee5977b44d72a6bea409d0d190b3a372""]","[""decamer_chain"", ""grid_3x3"", ""tetrahedron_k4"", ""bilayer_hex_6_6"", ""bowtie"", ""trimer_triangle"", ""moebius_kantor"", ""hexamer_chain"", ""prism_square"", ""star_4"", ""star_6"", ""complete_k6""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999999, 1.0, 1.0]","[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0]",30,"[5, 5, 5, 5, 4, 5, 4, 7, 4, 6, 5, 5]",1.0000000000009104,False,0.012810531936260361,0.012810531936260361,"[0.4137016669155621, 0.6052256444313627, 0.2992876071400143, 0.3991071253871113, 0.509832965438337, 0.7498995310113776, 0.3523133358904565, 0.28113765515202876, 0.383730409063024, 0.5477290906091402, 0.5301135916301125, 0.41336589966553566]",0.8226608999641181,12,"[null, null, null, null, null, null, null, null, null, null, null, null]",2.406221258429739,no_lock,2,fail,False,5.485444522334063,Icosahedron_C12_Synthesis,icosahedron
"[1.1002783536928715, 1.7168224623462114, 1.7519064305612129, 1.2168511154054955, 1.299887769275119, 1.2037642901807126, 0.8742948359663163, 1.7123792456351759, 1.2350623473331128, 0.8290384503026227, 1.1601174405241348, 1.8581706739147572]",-9.103201474236991e-13,5.0922455883699635,0.46726055169955844,0.9665607716275341,0.2845712941634503,0.4754909871091463,0.00982346328073244,0.00982346328073244,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""b5801eeb02daa605ad8751536745acca8a2f8f95ab1eca209c9e595eab80a300"", ""8fd8a3a20caa2ca62fe290b28a47ec2c051e51c86ee1fabd50219802c5fe960f"", ""c318da61ec547cc234dd84398e755d2be37e1171571703f23ea36b042348e406"", ""7554fb3ba4d11106e2b45e650b2454d8763509a48557b8705385449013767cc2"", ""6f4fbc713d6160ac53c80031ce600a671637ef07e4c585cd6afaf2a3fa499259"", ""4769436ce75c98a9f53fe9f3f53860b7c389ea90f8869453f872bba62d9d1956"", ""31cc9c0023e4b940a8c2c6b5bf21541bb0ad870d2a28193b70296f8632495096"", ""f14b46904267024081882c38d4676d3fac065a3bdba6fb64935cd8f3126043f6"", ""95c822441000edf3c4fb0ff0cec32d5b913aaec9f1d06e5d993fb3257da10218"", ""cdab6ec3ea0f5ccdb562f2e4d84973d230649449542268a4b5660dd7f9bd4690"", ""2847b20689f74268af0e4c9b8fc91cd20bf6bbcef14a579aa317d1ddde0e2a79"", ""81ef3d68a667e2880bcd485009f8921fb06a423ed8e3f953578856a494576c41""]","[""hexagon_with_center"", ""heptamer_chain"", ""bowtie"", ""grid_3x4"", ""bipartite_3_3"", ""honeycomb_7"", ""bilayer_hex_3_3"", ""prism_triangular"", ""bipartite_4_8"", ""bipartite_3_3"", ""trilayer_4_4_4"", ""icosahedron""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999999, 1.0, 1.0]","[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0]",30,"[5, 5, 5, 5, 4, 5, 4, 7, 4, 6, 5, 5]",1.0000000000009104,False,0.009823463280732803,0.009823463280732803,"[0.35176678958362434, 0.5488803118207635, 0.5600969051704585, 0.38903592789114116, 0.4155833347827227, 0.3848519770938606, 0.2795182569621474, 0.5474597839401417, 0.394858187838399, 0.26504946964151666, 0.3708977698447564, 0.5940703370811653]",0.9552923655428422,12,"[null, null, null, null, null, null, null, null, null, null, null, null]",1.9963075324566542,no_lock,3,fail,False,5.102069051650696,Icosahedron_C12_Synthesis,icosahedron
"[0.9286073333673208, 0.003332343697355665, 1.331485006259133, 0.9834682708280492, 0.9248741646132739, 0.05360722239428992, 0.9799242537855132, 1.1496141571435963, 0.5204233364767816, 1.8801857966479991, 0.8543833000388447, 1.30855203467528]",-9.103201474236991e-13,3.4800037007536133,0.6796172927976177,0.9149300442030809,0.4788129074096827,0.4203407684534177,0.010704473745396032,0.010704473745396032,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""2cd50667471358465b5e5f2d5dcf3a15ea50db0b575cef52d41e4b378a7c5aa7"", ""b4d4b2782e1ea2087fe8257c9678d0351aa904f569d843851bc1f28f715c4af5"", ""a17d25fe8aae8ae01630e504dec947409b6cf8703ac1bbf4693e1c3a50fb77dc"", ""6d38009a65c72b65b9f80325b9a0fa11c86cb714e8bda9307956e0a26dc57272"", ""89dffd12ec7ea8671948873641e5278644eb7e10eba2073081800c6d0747a587"", ""1293cd9d0160c63b8c6bb42ab4de0ead5a5e19cd5093d0babc4c7e9d50b6ec51"", ""93dfe777e9e3be9b20b599b645f0e742e320f9a3261af4b99667322c3ef5f8ff"", ""021f1299336dccdc024ae38823399e5634023f9152175eaa72b6a29e4d2c4a23"", ""be52bc20a265b1d8a81ff3c9fcc513c97493b299ab4dda118d0263b37feef91b"", ""f6efa732dae0c3f5023265de9b2fb9f5673723952f4d94bd7366f84bcbbb808f"", ""d386e3347d04eff47ed109a99d0f73a3579939234b0c4e76a713bbec1c2a3a8b"", ""83ca0008afddf7bf64eaecbfc6e7ae476ff5ec0e77004c4a58c89f09e72f49a8""]","[""bipartite_3_6"", ""trimer_triangle"", ""dodecamer_chain"", ""dimer"", ""icosahedron"", ""wheel_5"", ""dodecamer_chain"", ""honeycomb_7"", ""tetramer_chain"", ""prism_square"", ""bilayer_square_4_4"", ""icosahedron""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999999, 1.0, 1.0]","[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0]",30,"[5, 5, 5, 5, 4, 5, 4, 7, 4, 6, 5, 5]",1.0000000000009104,False,0.010704473745395848,0.010704473745395848,"[0.2968823474042586, 0.001065373903134364, 0.4256851954403233, 0.3144217780213725, 0.2956888268890386, 0.017138609022747796, 0.31328873064922497, 0.3675397956898905, 0.16638302996910245, 0.6011087278848833, 0.2731523977726274, 0.4183533618524053]",0.7673302123754377,12,"[null, null, null, null, null, null, null, null, null, null, null, null]",1.8983974916297908,no_lock,4,fail,False,3.490708174499009,Icosahedron_C12_Synthesis,icosahedron
"[0.8404501698194864, 0.6611115119937139, 1.7985573108677382, 0.8703573311518913, 1.3893728775348642, 1.0674066477823567, 1.7674754311959493, 1.5768919550589884, 1.4913694592412394, 1.0617536474836797, 0.7498398387050798, 1.5260411637319111]",-9.103201474236991e-13,4.728192239670465,0.6885063098274714,0.9159293837493144,0.12107581897289289,0.2826955062847877,0.0036732445024541924,0.0036732445024541924,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""cf50e3472fa788a48ae0a98b01af4e999475dd9c59d7603cb1e6555da2cd142d"", ""4a1f8c0bc0fb309069e7782be15bb4e74894290728e9692c9747d612cd268591"", ""29732baa6025d255175d5faad4048abf9bf994dac5a25cb0149604d59ccd1a4a"", ""64c812097340dca025784c234b74a6ba282183fed7fd23d582cfdcad004a4d6e"", ""503d4e216a2a9cec108f48425e0e1d7f0f623725129c8d3283da3cda3e60a448"", ""d29fb9f3ef3840e64fc331c775a2c92b2719807fa9f70510d06775593d78ab43"", ""ec0e5d744728edb8661e14eecb6ae629a54f596f9ea77c6f5b3b513706272ba3"", ""0f0113dca8af350dc1bf79ffc6f140195c2aec9352fc4578c65b75a2c688e90c"", ""5b7077604bd939cfc9bd6488edb02e288eeab586945d8a066a171e7dd94e0f8b"", ""7796c9d9edb24c77ce6861d14d8e121756520ad222e258ada9db6913e7252f00"", ""0fdadc15a7dfa196effd5e9e2ab5a70e6e8718451eec5dfd5db91b6f25e2990c"", ""2bb73d89c3e2fd9721919dc0a89ccdb8acea0199376eaf39c87b47ef44f21fb7""]","[""prism_square"", ""wheel_5"", ""trimer_chain"", ""dimer"", ""trilayer_4_4_4"", ""wheel_5"", ""dimer"", ""icosahedron"", ""ladder_4"", ""square_ring"", ""trimer_triangle"", ""bilayer_square_4_4""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999999, 1.0, 1.0]","[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0]",30,"[5, 5, 5, 5, 4, 5, 4, 7, 4, 6, 5, 5]",1.0000000000009104,False,0.0036732445024538762,0.0036732445024538762,"[0.2686978772690982, 0.21136203702478706, 0.5750115223140192, 0.27825940875987965, 0.444192358256123, 0.3412574721754709, 0.5650744250425213, 0.5041435366692508, 0.47680138848464154, 0.33945016790568616, 0.23972911207232223, 0.4878861781991179]",0.8989930525894624,12,"[null, null, null, null, null, null, null, null, null, null, null, null]",2.515719197483401,no_lock,5,fail,False,4.731865484172919,Icosahedron_C12_Synthesis,icosahedron
"[0.837949464317655, 1.1779219484527932, 0.772705873554785, 1.0881731935889336, 1.2331833773554035, 1.3734534889865773, 0.9849447085835337, 1.4342016137687208, 1.5708223878615428, 1.566051485636275, 0.581008103711056, 1.085163088472768]",-9.103201474236991e-13,4.362354985279113,0.5232276442832446,0.9712460697695047,0.6517424209448373,0.5910655446728762,0.019415695354097557,0.019415695354097557,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""4c9d696615393912687bb18d83a9dd76b8836110ccc69b49cbdf9a5dc6045dc3"", ""0a9ec006a18cac6a8e32afc3db4e9a2ae2f68f4be5308c9055fa9a2e10ad180b"", ""c660d5ad21e4c72ab7668ca631be7bf9bc639779f9c866f1e6a7ca7ff34207a3"", ""0c4067fa4f9bc313226b921e19db67850a2fa71202b64f7cecba635123c6b21e"", ""0c1d2a77f8497378047278e34d7b6ab25527f054ec8f2fd4632b291c698bdca8"", ""9b429a7e53a9631bd7caded00dae567edf99e910aad910919143c1d4ce3b8653"", ""dd958e732ed2dc61193464b47be7a8f5d4b09b698636e0e9f3b7fbbfcdc26f37"", ""aaa4e47df5c7a3456a29c3a25ce54151161507d3220e22c8a93c5b9ace8797b7"", ""3705839d27cf894a3883b2c1b3eb733d60579e54d7c027475510cb5bce9eeead"", ""f36acffb9e7bda922356debcaae705e2ca456f701f1c5c6ac120208262dac12e"", ""e04b1de3275c94d4ff96f33441bdadbd5ef110d17c65d680cd0b8260e86b3e8f"", ""74d066a3f834728c9bdcc7081a02291449b230194ac8eb99de8246e7fe464e6b""]","[""bipartite_4_8"", ""honeycomb_7"", ""octamer_chain"", ""truncated_tetrahedron"", ""nonamer_chain"", ""square_ring"", ""bowtie"", ""trilayer_4_4_4"", ""double_triangle"", ""dimer"", ""heptamer_chain"", ""bipartite_4_8""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999999, 1.0, 1.0]","[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0]",30,"[5, 5, 5, 5, 4, 5, 4, 7, 4, 6, 5, 5]",1.0000000000009104,False,0.019415695354097373,0.019415695354097373,"[0.26789838399258237, 0.37658999724626774, 0.24703954551181653, 0.34789668408453295, 0.39425746781644777, 0.4391028168841873, 0.3148938056383148, 0.45852442302241453, 0.5022030530088739, 0.5006777617463791, 0.18575240954122912, 0.34693433214016456]",0.9539727382881932,12,"[null, null, null, null, null, null, null, null, null, null, null, null]",1.410629972873082,no_lock,6,fail,False,4.381770680633211,Icosahedron_C12_Synthesis,icosahedron
"[1.2469776953393372, 1.7844609029401148, 1.7221004117198653, 1.5052226545145369, 1.186091543941361, 1.3281459961280997, 1.0175681294828987, 1.1706503457601238, 1.4216642657570788, 0.07449417320111013, 1.5834882545386613, 1.2208642224555162]",-9.103201474236991e-13,4.866318657931227,0.7522271701361557,0.9299257158882915,0.40817110795453204,0.5883677058170234,0.012964165015443643,0.012964165015443643,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""95cb1ee5fa88086597c8cb10f75ad9985379ccadec074ed0216a4f0c067b971f"", ""15326c9669e3e13d04d19dd4ee1a1cf420eb6a518f665ed10493f796bd54a3b0"", ""b492932ef5702378eea66030d79710cf92108483fb27dca474123fb06efb5efa"", ""0e6e67debe2178e95ebdb8ef6e914a76015754eed215b1279d2e68ef7feefc5c"", ""3f167d632757c34e3887ce9327d7ce109d1561e5c574d26bc970f2f46db3e351"", ""1b445a112bba8af4eb5f96e48d08c26c7f64c03f13b2c3c9d8329627eddc56a7"", ""33ac1310f9b42ccd767a6b420ab67fb72e4d9db2027e9c70aaeae4cc454f587a"", ""fafb90f5acde26d95630366d1e2b4bbf048b1f3fa11cf74067371f8d1860490a"", ""35b5423a84423ebd936f99091f64f67846499e0a19decacfd6b901f860885f03"", ""83fe6fbea9acd3caa100d1be67576c9d0ca7ec03bb37d89e3b3d02da26f7990e"", ""6a05721b535ab7d0051a45363b0435ca287d9369342f49efaa9a447dacb96b1f"", ""20b3606d6f84a012faed60a51405ee6a43ac503b68d1efb0e831004dfcc2d32c""]","[""icosahedron"", ""bilayer_hex_6_6"", ""dodecamer_chain"", ""bipartite_4_8"", ""trilayer_4_4_4"", ""octamer_chain"", ""cube"", ""bilayer_hex_3_3"", ""honeycomb_7"", ""double_triangle"", ""tetramer_chain"", ""prism_square""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999999, 1.0, 1.0]","[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0]",30,"[5, 5, 5, 5, 4, 5, 4, 7, 4, 6, 5, 5]",1.0000000000009104,False,0.012964165015443285,0.012964165015443285,"[0.3986676090642674, 0.5705048007696768, 0.5505677096510704, 0.4812303532192537, 0.37920187483848344, 0.4246176902310836, 0.3253237445683033, 0.3742652143168001, 0.4545161439854364, 0.023816315263942418, 0.5062524203742778, 0.39031894666407546]",0.8958880943862494,12,"[null, null, null, null, null, null, null, null, null, null, null, null]",1.4753005344672077,no_lock,7,fail,False,4.879282822946671,Icosahedron_C12_Synthesis,icosahedron
"[1.6204854511285354, 1.502768660474393, 1.6915294558033147, 1.382591349499812, 0.5424495537699862, 1.5229379505299514, 0.0019361729331293922, 0.8435053128136117, 0.7461976966812415, 1.6749300581599127, 1.426803879033413, 1.418558550284281]",-9.103201474236991e-13,4.583654536333294,0.777183970306813,0.9476046947195987,0.39486129542684467,0.49500083664766936,0.012037067255668282,0.012037067255668282,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""b6c8319da927f8765e2aebb8eb774407741e9bdf6f8c5011a1befeaaded12bc6"", ""be448a0c9c0916d31c841fc2faa31bc94406d302ea58b4f24395a1e99c660532"", ""623be665f8c047addfde43c3e2b457573b29c5f245b682c96d153d384cc38515"", ""6af00f0fd7994b168071de784585436a9a2bf0600f4558975dc1260cf8bd26c4"", ""462f4028e2018186fd58348f200caf57b7950e094ae4b70e5e53c231886b0ccc"", ""8e79d56a869f1cedaebdcd46b35f00d0cc22b76632a702fb6cce721b01d901fc"", ""6044841545d710b6dc61954c1a0870945d8e66f2851be1e9dd8d918ff0454ff6"", ""359e24964ad5c7aeae1363f82d9a7cbe1668735a5fd8cbb823d6669ac4a1120b"", ""f19b6de2ba3298902482c2ff0112844d7196d36a2d9894a1bb3e2a2dd170d987"", ""b746347eb4cc093a70b22130e265519c6d4ab96f3117a48f135830400286d7c4"", ""eb7026377d5e0533b32961428c20ecb489056ef5507fe7bab1e0ebf7ead4638b"", ""7127ea971a0aa294bac8b1fb71fa236a4f936062bd34e56ddb918caa379eb26a""]","[""hexagon_with_center"", ""bipartite_3_6"", ""grid_3x3"", ""petersen"", ""decamer_chain"", ""bipartite_2_4"", ""trimer_chain"", ""hexagon_with_center"", ""heptamer_chain"", ""complete_k6"", ""bipartite_2_4"", ""bowtie""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999999, 1.0, 1.0]","[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0]",30,"[5, 5, 5, 5, 4, 5, 4, 7, 4, 6, 5, 5]",1.0000000000009104,False,0.012037067255668,0.012037067255668,"[0.518080686398356, 0.4804457939281785, 0.5407939583260768, 0.44202425566885034, 0.17342496778229027, 0.4868940589396749, 0.0006190082123125642, 0.2696746281423253, 0.23856469344804124, 0.5354870132258268, 0.45615931478476135, 0.45352322473226786]",0.6155101199887305,12,"[null, null, null, null, null, null, null, null, null, null, null, null]",1.9198390546668855,no_lock,8,fail,False,4.595691603588962,Icosahedron_C12_Synthesis,icosahedron
"[1.0419317025193284, 1.1447188640950927, 1.1336390598732073, 1.315237286255278, 1.0672804288779882, 1.352462821931053, 1.1776730407175582, 1.0292281795631162, 1.0452731889017326, 1.1891929685773552, 1.6030637030345622, 2.0030758449136545]",-9.103201474236991e-13,4.805517457018194,0.6710806885890397,0.9826865936611786,0.6908951437813062,0.7167896919722596,0.02294744248217168,0.02294744248217168,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""9fc54de7112595aaa65f46e1df762ee37fec2815691a4be5f763825628279fa4"", ""9b8561c0348162194254fcd2967ec3cae12e39111e750fb6e38dcfcdd21761dd"", ""dc385c88c52be53e68d64ff30b041d0bf8e13ec4996e68b23c5c4ab1b78f3341"", ""15be11e162e261cad656fcda6e7727d09d975d69fb1336c4958da9ddaf5dbbe0"", ""4776693173e1f77e2c1c52da98975211813cf12e460079bbee42dc758668d490"", ""55f8c92a5c3e0d324eeb8fda1a5522fa712174455a50015e9cf17307bfa8758b"", ""3fd23e5fc303eaa5d10a312386b7a5136cd7f6bd09b661c8978b1dc4c217ed33"", ""87ce14c5dd4715cc1f773eec88c56dca0f7a2dfa8637d9bc94e6de9453fc5e95"", ""42888b1653329120bce523ea1555b2636a4acb6b4abbec60e4d46cabe01ffece"", ""6c45487ffba76467344a7896f59a9926257456699025280ff772327f7f7cf01b"", ""58d3017c56d41e277bf7faebf4f4bfdf1a1f4dd18d962082e4fa6dca18601f2f"", ""4652126f3d846340350cd89dc394ba89aba5f79d11a192bfd3875e65faab6672""]","[""complete_k6"", ""grid_3x3"", ""bipartite_1_n"", ""decagon_ring"", ""square_ring"", ""honeycomb_7"", ""bilayer_square_4_4"", ""octamer_chain"", ""prism_square"", ""hexagon_ring"", ""star_6"", ""grid_3x3""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999999, 1.0, 1.0]","[5.0, 5.0, 5.0, 5.0, 4.0, 5.0, 4.0, 7.0, 4.0, 6.0, 5.0, 5.0]",30,"[5, 5, 5, 5, 4, 5, 4, 7, 4, 6, 5, 5]",1.0000000000009104,False,0.022947442482172065,0.022947442482172065,"[0.33311295158218895, 0.3659747357993968, 0.36243244384457785, 0.42049068417449037, 0.34121711909697455, 0.43239195182303425, 0.3765104196787983, 0.32905154523741226, 0.33418124846654607, 0.380193422280708, 0.5125108300293901, 0.6403975474868484]",0.8634192126079223,12,"[null, null, null, null, null, null, null, null, null, null, null, null]",0.8811255307092637,no_lock,9,fail,False,4.828464899500366,Icosahedron_C12_Synthesis,icosahedron
