F_m_list,H_block_mean,M_final,PE_tick_norm,QualityLock,R_final,R_mean_lastW,binding_energy,binding_energy_pos,block_families,block_ids,block_particles,degree_normalized,degree_raw,edges_count,effective_degree,entropy_quality,fm_missing,mass_defect,mass_defect_pos,mass_list,memory_score_k10,nodes,origin_run_ids,phase_var_lastW,reason,run_id,status,success,sumM,target,template_name
"[2.641217855841771, 1.8407347358427817, 1.0224847233636625]",-9.10320147423699e-13,1.7494072422250768,0.7006198625682517,0.9161708591840673,0.9215307955389341,0.455957830600377,0.010400388525879906,0.010400388525879906,"[""species"", ""species"", ""species""]","[""9493c310fbd475150aa9b9e9a86935a12b6a3c401445a342a79f009e9c9076af"", ""e097751830959fe72d6dcfcd5f76e6a8d3240c96a64950e4e9d31ea10a85103c"", ""51f9bdd33dc5bb5526ff21194dd1056a4b61f094521782c9049226ed6f5d4ffc""]","[""dimer"", ""bipartite_2_4"", ""tetramer_chain""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.010400388525879878,0.010400388525879878,"[0.8444160721894451, 0.5884959440756389, 0.32689561448587284]",0.444977162929172,3,"[null, null, null]",3.4041715319699097,no_lock,0,fail,False,1.7598076307509567,Trimer_H3_Synthesis,trimer_triangle
"[0.8876226051288741, 1.731392057079832, 0.013911579675139998]",-9.10320147423699e-13,0.8410256234431728,0.7672769795250127,0.943923565986287,0.13296831451598545,0.4931030596976266,0.0007395609844103866,0.0007395609844103866,"[""species"", ""species"", ""species""]","[""44e70f515a5c91dc1b48600fa71de722949691e7eb9cdb83e4b08f6ff62d5aed"", ""830261948a7f9c3c2ccb946676fb9d223aba0c5ca8111180ee210579a515e7ee"", ""c1080028d5c46cd567eaaa83a5c87a857d022dc3d218c085458026dadecd2154""]","[""nonamer_chain"", ""bilayer_hex_3_3"", ""bilayer_square_4_4""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.0007395609844104145,0.0007395609844104145,"[0.2837792392443938, 0.5535383145414193, 0.004447630641770119]",0.5614413641379666,3,"[null, null, null]",3.1430980664854484,no_lock,1,fail,False,0.8417651844275832,Trimer_H3_Synthesis,trimer_triangle
"[0.8640518338595773, 0.8915166388625059, 1.5025764510392101]",-9.10320147423699e-13,1.035482213076406,0.881416852777825,0.9992494162004784,0.8467936936123612,0.8527608143135295,0.006169816142386928,0.006169816142386928,"[""species"", ""species"", ""species""]","[""793dffe1951fe23a2b93ae37a00e2814b9bbe4049b8f1e0ca81baf1c25a46eed"", ""ab87c97efca46eeeddcaa14b43408b8fa03a0891ea316a1c37d1deb3f2541563"", ""037145f11ad5b6e6dd0b7f6793c9397061c3eb2d2757aaa58a829228d7546e80""]","[""bipartite_2_4"", ""diatomic_prism_12"", ""pentagon_ring""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.006169816142386875,0.006169816142386875,"[0.27624349657565733, 0.285024189433964, 0.4803843432091717]",0.7863132833970129,3,"[null, null, null]",0.00032453046549256616,no_lock,2,fail,False,1.041652029218793,Trimer_H3_Synthesis,trimer_triangle
"[0.6989851451225447, 1.235515494356633, 0.06208542847349559]",-9.10320147423699e-13,0.6369855660413833,0.676568461515272,0.8958083586914315,0.33406262694534083,0.4464048379898948,0.0013371537448054135,0.0013371537448054135,"[""species"", ""species"", ""species""]","[""29edea5ad30ceb02bc0c1036adf2f2d1dfbd62dad1a8f7841fa93e9cc8d40fef"", ""4420b6b18de88036d1e174731c2af364b333e6adda8f2b14daae91218515b9da"", ""dbf1a380cb57615f883fe25db23dbe0940aabc2579052fb9402f3a0a56e3ac4b""]","[""grid_3x3"", ""petersen"", ""complete_k5""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.0013371537448053639,0.0013371537448053639,"[0.2234705060234562, 0.39500306215419195, 0.019849151608540616]",0.7378224138227496,3,"[null, null, null]",3.3603714676935836,no_lock,3,fail,False,0.6383227197861887,Trimer_H3_Synthesis,trimer_triangle
"[1.6174606484667575, 1.0117606499545504, 1.2271728529553378]",-9.10320147423699e-13,1.2250953908519424,0.8958563318779539,0.9993615597833824,0.9068107634021376,0.9107460176230043,0.007821157443155419,0.007821157443155419,"[""species"", ""species"", ""species""]","[""a8fb75a76c41ae4f02f8e3cf5d74f033647623127e9db3260cea9940e7b0048a"", ""8eff251943ffe356f05a8343be703369dd07c9d619d105446d1663e39db3603f"", ""d401a76dfde09b78f8e58ba79f00dee3cef50d8dca1db4c886657952e49c758b""]","[""bipartite_2_4"", ""bipartite_3_3"", ""bipartite_2_4""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.00782115744315548,0.00782115744315548,"[0.517113635544464, 0.3234670521936845, 0.3923358605569494]",0.7420895917341688,3,"[null, null, null]",0.0004905750369274656,locked,4,ok,True,1.232916548295098,Trimer_H3_Synthesis,trimer_triangle
"[0.0010814430166267194, 2.1251324629045336, 1.33485805732395]",-9.10320147423699e-13,1.1040108830815654,0.8187358644735158,0.8881483409467562,0.3660759795327116,0.4770416209737539,0.002518359216398485,0.002518359216398485,"[""species"", ""species"", ""species""]","[""0c8ffcdff22a4ea6897b45d485dd730d1ffc23953ddcad58bce21c07a62ebdf9"", ""81268d5febadd99550454db5a803b3d66069743675e1ed28a8574263e66afd00"", ""a2d50b93b9ab865a82f0c20322b29c9b7a8c3f554d1686ed032fefa8b4c64c90""]","[""double_triangle"", ""dimer"", ""prism_triangular""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.0025183592163984247,0.0025183592163984247,"[0.0003457449987992759, 0.6794199135217538, 0.4267635837774108]",-0.700523623605664,3,"[null, null, null]",3.4427266523704545,no_lock,5,fail,False,1.1065292422979638,Trimer_H3_Synthesis,trimer_triangle
"[1.772556322031125, 1.5693211289201057, 1.5570283375865737]",-9.10320147423699e-13,1.5553894242056063,0.9019422617536709,0.9992317237518874,0.9881701950441916,0.9891781229314105,0.010825484887848454,0.010825484887848454,"[""species"", ""species"", ""species""]","[""e97a436986c83652aaf92f25dc31d09a07bf57dc60fc5a4171ae9806d11908df"", ""b487222fb76b1862a0ae1aa6659935bd81d22fe6eec0a93ca94e1d0f249ea6be"", ""9836ac46343e82f5da3aa2793939c780c1b74ae0ec439e1e0435a2d6bd18448b""]","[""double_triangle"", ""petersen"", ""star_5""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.010825484887848402,0.010825484887848402,"[0.5666988218611225, 0.5017230898828243, 0.497792997349508]",0.38200228114842394,3,"[null, null, null]",0.000380124183973907,locked,6,ok,True,1.5662149090934547,Trimer_H3_Synthesis,trimer_triangle
"[1.4917188659246752, 1.3036762502234034, 1.0357655157301775]",-9.10320147423699e-13,1.2166524007056503,0.9157534221029262,0.9993274781587274,0.9566575543975683,0.9556166957977185,0.00819681252459541,0.00819681252459541,"[""species"", ""species"", ""species""]","[""11ab5b683da17667fa0fe9034a200ea4b759d911d4212da33d6fc5fe2af0ed27"", ""15d013a99d049af117c0f7f39836b9ef8e48e2dc96569f1e6f633f9f7ffdb509"", ""b63442a4920729b766ee7bdcc743146b05d819d3b638fb9457e7278cd4a3080b""]","[""ladder_5"", ""dodecamer_chain"", ""double_triangle""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.008196812524595476,0.008196812524595476,"[0.476913096278291, 0.41679453899855035, 0.33114157795340443]",0.32115202882461213,3,"[null, null, null]",0.00026060097957849676,locked,7,ok,True,1.2248492132302458,Trimer_H3_Synthesis,trimer_triangle
"[1.1701161611363262, 1.3317061547018445, 0.7488419092869986]",-9.10320147423699e-13,1.033057348758449,0.8718391210113592,0.9299543755598972,0.916898129979213,0.914789895618193,0.00620304807546625,0.00620304807546625,"[""species"", ""species"", ""species""]","[""bdf4cc61e3feb47a573fe4da5c693186d0b018b894580ec6559d062b26c5ff0b"", ""647eaebaed4a22600c5d264fb2e06ce5dfebc689488ba93433f4cbff5ac604ce"", ""6f25cd8be5719bbe3bd8eb65a4ab35673fa690ad2a75fbbcb1e12d75f37ec16a""]","[""trilayer_4_4_4"", ""hexamer_chain"", ""bipartite_4_4""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.006203048075466233,0.006203048075466233,"[0.3740944317057203, 0.42575589816518644, 0.23941006696300848]",0.8275494006336254,3,"[null, null, null]",0.0002732293327463318,locked,8,ok,True,1.0392603968339151,Trimer_H3_Synthesis,trimer_triangle
"[1.694798412434051, 1.4607125839331783, 0.9807511325408333]",-9.10320147423699e-13,1.315293791695622,0.8911409510290539,0.9041896330693882,0.8481071468732806,0.8510274529133781,0.007098533009205109,0.007098533009205109,"[""species"", ""species"", ""species""]","[""36a2ffd93a6df250bb9d0295e702211ff53a072d0ad3f8a356823ab54010b952"", ""5130bb522e73f68ff362366452694559efa6ab4e51e54436133b0579f951d363"", ""43d4e6aa5f66e7458fa61b2ad99b8583c8b422a356af221e40e770d579f056c4""]","[""icosahedron"", ""ladder_5"", ""honeycomb_7""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.007098533009205044,0.007098533009205044,"[0.54183906693466, 0.4670001681210967, 0.3135530896490704]",0.8863241808424304,3,"[null, null, null]",0.0006287673985078351,no_lock,9,fail,False,1.322392324704827,Trimer_H3_Synthesis,trimer_triangle
