F_m_list,H_block_mean,M_final,PE_tick_norm,QualityLock,R_final,R_mean_lastW,binding_energy,binding_energy_pos,block_families,block_ids,block_particles,degree_normalized,degree_raw,edges_count,effective_degree,entropy_quality,fm_missing,mass_defect,mass_defect_pos,mass_list,memory_score_k10,nodes,origin_run_ids,phase_var_lastW,reason,run_id,status,success,sumM,target,template_name
"[1.001919484335256, 1.4968475841882494, 1.682362027370082, 1.0899909041578135, 0.8724354769941649, 1.4225838788136802, 1.1546276854157471, 0.052520968028044464]",-9.10320147423699e-13,2.7965493052406467,0.7896065082068331,0.9608936468904694,0.4416891978160087,0.40200207765784557,0.008333065449429522,0.008333065449429522,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""88a6c1e923462bf9461a10bc38363b0f9140d86fff851846aedf5fca88dc59d0"", ""8ca9eb4db08df477060c50d2a53c153e0c62c91c6c0fd2fdd80aa36f74a272c6"", ""a4116663411c988d23d72cb7fadb0c95855218ad384c4ac0950f7704e0cf1539"", ""041274553882ce1fa6dbbc6ce83723507180daced3490b2ead5870cfb7b64332"", ""211b52f30f00af3e7c1319bdcdaf4a73078253bdb49ca8ea9ed937a3cf6449a4"", ""84162498e64962dbe498ffd2ea998e90d16e21264a417377577b39a86ce9c152"", ""e56a54dc96ddcf2809c471fffa46d41ca41c2ed3add020ec67de05a91ab4cd61"", ""88e8f8342fe12c19c28dd878d9eea708c3789f94a0a81bde90e76fbd8ee662df""]","[""bipartite_4_4"", ""bowtie"", ""truncated_tetrahedron"", ""truncated_tetrahedron"", ""ladder_5"", ""hexagon_ring"", ""octamer_chain"", ""trimer_triangle""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",16,"[4, 4, 4, 4, 4, 4, 4, 4]",1.0000000000009104,False,0.008333065449429355,0.008333065449429355,"[0.32032076178086205, 0.47855278386480143, 0.5378630664677825, 0.3484778190392115, 0.27892380671769607, 0.4548101507987979, 0.36914265621955744, 0.016791325801367597]",0.7831858493541599,8,"[null, null, null, null, null, null, null, null]",2.141996670539511,no_lock,0,fail,False,2.804882370690076,Be8_FromScratch,be8_from_scratch
"[1.955995416815427, 1.6655221456339062, 1.7412697118957428, 1.3746336498941143, 1.32931535766893, 0.967313299913554, 2.024053773723972, 1.419169732788424]",-9.10320147423699e-13,3.9838088914797303,0.5111786176193387,0.9835475885400569,0.191659902539304,0.42241200379580074,0.005263766643822448,0.005263766643822448,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""54c6eb6f7f9fd9e3ec7275eaa48cf6d0fa429b15e21bc09d0680aabd3896290d"", ""d84e12140139d669f705a7ed9b23e649c722ee88b4f1f5e63e75b858764b3663"", ""bed641352d3dc3b1878d16821eae2bda06716ebd6f44f66a2a2645c998160b11"", ""af4a41fdeea30f93b6dc572f65137e5a95de7160f8ceb5bfaeefe4c249c929b2"", ""d69d04192ba15d4460a626b003d97f31ae0da4a55e349f464bb71526167a62be"", ""acff1b274da1f46fb27c17b088b6132f7f33eaed5d58ef63350d0b5a5968932b"", ""0e9278895a28f7ddce07f632a1875211ccfac6f1cf571a88ab56e706922c8c51"", ""35e51fb157e5029b5f45d2eb7a7f3d20e3ef4dabf42cd3bb9fc23096f14f7b0b""]","[""tetramer_chain"", ""tetrahedron_k4"", ""bipartite_3_6"", ""heptamer_chain"", ""trilayer_4_4_4"", ""ladder_4"", ""bilayer_square_4_4"", ""hexamer_chain""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",16,"[4, 4, 4, 4, 4, 4, 4, 4]",1.0000000000009104,False,0.005263766643822443,0.005263766643822443,"[0.6253456008692027, 0.5324792368982734, 0.556696270809073, 0.43948012269252484, 0.42499154340532797, 0.3092569192969091, 0.6471043400407069, 0.45371862411153446]",0.0,8,"[null, null, null, null, null, null, null, null]",2.0774369973657723,no_lock,1,fail,False,3.9890726581235527,Be8_FromScratch,be8_from_scratch
"[1.1584791601948174, 1.5834974280532075, 1.5678191766036975, 1.5227991086939883, 0.0961081061870589, 1.0653457333572247, 0.33838892888971933, 2.0409653217233914]",-9.10320147423699e-13,2.9864728659445148,0.7455321273586101,0.9055390283818561,0.5406761823014111,0.4416696008923358,0.010270509901136336,0.010270509901136336,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""dd22a55e17b1e8c52048089d5180bbb24ca1e03fdb5f9b69c92627b06716e28d"", ""58d9966d473a62e2b26de41cc2e489eeda803d58443a8befbb70e733a316ac49"", ""01be2298c0f6b59313d9f69862ea542910da697b9672ce09f41ea6c000b0886c"", ""2a503c0eb141989bc2fd0b65772bfd6b5fa2e7985e6f6e51d4797625216f5fd6"", ""0c0fb99f5029803db12ba6ae1293639ebbd2ccbcac42c7931c4faa9250f0b4ba"", ""9cc02182dba84be03dcb3bdc6083b1bdce9daa9450bc05d592a853f74999e549"", ""1643b6595fc1b0987b178eeaaabf7a5c4122ea771bf61a1947dd2108494cd77f"", ""1dfaa0f1e0ac2ac05ed9ae5d65c5d4fbeaa77117aa4363066f22ac3784451fe2""]","[""cuboctahedron"", ""moebius_kantor"", ""bipartite_3_3"", ""grid_3x4"", ""trimer_triangle"", ""dodecamer_chain"", ""trimer_chain"", ""star_6""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",16,"[4, 4, 4, 4, 4, 4, 4, 4]",1.0000000000009104,False,0.010270509901136204,0.010270509901136204,"[0.3703740000096526, 0.5062553532119095, 0.5012429050798812, 0.4868496702204634, 0.030726442861404083, 0.34059858322386877, 0.10818533941585178, 0.6525110818226195]",0.0,8,"[null, null, null, null, null, null, null, null]",2.1430637690222554,no_lock,2,fail,False,2.996743375845651,Be8_FromScratch,be8_from_scratch
"[1.31667536689515, 2.0264810858273363, 1.7021906989520157, 1.415131937292147, 1.3099274786982755, 0.7539281644763414, 1.0953498274700257, 1.410488669156567]",-9.10320147423699e-13,3.5117120671062687,0.629519794317576,0.8688209756171803,0.6859994332816798,0.39225074232469404,0.014712507377339439,0.014712507377339439,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""9af34b7d60a100caa4d29e418b4c735aa53019b04ccd064de54520f75879fe1a"", ""77b8bad8a5d3f55a9b71143755a9faf8d86c71ca285e2368e88c61824e72eb32"", ""0821f148fe5807c6420d53e28dee34785567ad3189f6c55f21a0139cbec0f86d"", ""beb28a633a4eebfe4bb9a5e8527f4fef8653b404ad21a03866d3539bee73c3ba"", ""09420ed72966165b0dae33775c58ccc517f8df95a6f8bc963aaa66290549a1e6"", ""f4815b1092f2e4e29fea79a4ea790718d2c6e1179e682f00409c1a26443230ee"", ""b51a760db5c7d96c861633fef161e28ab4a44982b0badb9c83bb3ea5d00bb5f5"", ""39aad0cf0fadb498926117cf9f339d0f9cf799699e5318093137e359bbed9495""]","[""grid_3x3"", ""bilayer_hex_3_3"", ""pentagon_ring"", ""wheel_5"", ""trimer_triangle"", ""petersen"", ""star_6"", ""pentamer_chain""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",16,"[4, 4, 4, 4, 4, 4, 4, 4]",1.0000000000009104,False,0.014712507377339534,0.014712507377339534,"[0.4209504487496566, 0.6478803689274447, 0.5442024333386061, 0.4524277122673148, 0.41879310105712314, 0.24103617880366512, 0.3501911048117024, 0.4509432265280954]",0.0,8,"[null, null, null, null, null, null, null, null]",2.419327470197885,no_lock,3,fail,False,3.5264245744836082,Be8_FromScratch,be8_from_scratch
"[2.2197168172352697, 0.16696592969341661, 1.3618253113798804, 0.0009937868502028753, 1.0214036856788475, 1.6380730792521239, 2.0731938407576194, 0.7692001343398702]",-9.10320147423699e-13,2.954218814352633,0.8702432096870881,0.906650052667896,0.18701793181770093,0.28479972216022664,0.0035105844042840496,0.0035105844042840496,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""902f447c13380b65bea2f820045a0ccb860e7c5b79a43988bb309a9d354dd685"", ""e97339b376953d31cc6da889d41f7e8e3209b05af2b8e287c23e1efd0282d36a"", ""53e0da4f82d4a8869f482d37c77c3075778a44d7e8776305c59f03feb9eaa8da"", ""9061014b8a94631c3b1da4b7c0e319c5227dcb2262e1100451d04ba721fcd4b4"", ""39e0198779c7df413c3709765046bf9c96342d84bba53d7dbb79c1804f29f7bc"", ""c835ea890a6aeda9f4ffc4881e89a9ae476df7274eb626deef36c963d4c59a03"", ""5874fe88b62a51fef22ac99fcf7168b9c2903e2d270225e0d76b417d95dc924a"", ""4edb393cf8a2b7bfcb639fcbfb2da085df2ee8d39fe541d030c631185f080198""]","[""prism_triangular"", ""tetramer_chain"", ""cube"", ""singlet"", ""bipartite_2_4"", ""cube"", ""complete_k5"", ""pentamer_chain""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",16,"[4, 4, 4, 4, 4, 4, 4, 4]",1.0000000000009104,False,0.0035105844042839784,0.0035105844042839784,"[0.7096592021127665, 0.05338019134973628, 0.43538520607080783, 0.00031772070099623964, 0.3265499990745272, 0.5237035757887187, 0.6628147678268519, 0.2459187358325122]",0.07414546637287622,8,"[null, null, null, null, null, null, null, null]",3.027206792811337,no_lock,4,fail,False,2.957729398756917,Be8_FromScratch,be8_from_scratch
"[1.2845599978135593, 1.5662134653074513, 1.1144164586952867, 1.8418380498416629, 0.6988465330697078, 1.4414981752283174, 1.0218428798122274, 1.7881581922706287]",-9.10320147423699e-13,3.43594677644529,0.6668862579597286,0.9332333779604067,0.1451844197614551,0.3366462842213559,0.0032618714439419864,0.0032618714439419864,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""1ce15385b6a9fad5789eeb4fa560842a9df26d3cc68aabe43d5d96917df3c0d2"", ""5e989352c14f1ebdf786e5f6c4a13e9fa939372e38581d212a423ac558c6e32a"", ""395d92dd27c49035337805f655512be564d8074e19a4163b959f0fb861fb4fd1"", ""120a1efa0e3c190a3fce0144b4527861544eca63197d43080c9e81ddb56e3356"", ""0089824528d4d33ec660009a35d7228898d96cbc0cacf1df240d90c72f1022b8"", ""420a3f75ca5ca5ec57a314d925a3fc60f994ee98dbc3bc1438c08fb8b52e2fc7"", ""0f969df8c72a0113db726fc9db97632b90b934e5535b77b2f94e8efc1e437bcc"", ""944129a614a91294dd80a906d28ca3d67d9f074d25798a40fd6139cefb3fcf65""]","[""trimer_chain"", ""prism_triangular"", ""decamer_chain"", ""tetramer_chain"", ""double_triangle"", ""truncated_tetrahedron"", ""trimer_chain"", ""hexagon_with_center""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",16,"[4, 4, 4, 4, 4, 4, 4, 4]",1.0000000000009104,False,0.003261871443942077,0.003261871443942077,"[0.41068293758740587, 0.5007295477955332, 0.3562868419783695, 0.588848681382509, 0.223426190767539, 0.46085718544660226, 0.32669041255242987, 0.5716868503788429]",0.7684029754589087,8,"[null, null, null, null, null, null, null, null]",2.27138271981088,no_lock,5,fail,False,3.439208647889232,Be8_FromScratch,be8_from_scratch
"[0.6916609828433345, 1.4644871552803416, 1.3036011809970915, 1.4823116354924275, 1.6984634483364769, 0.8385031299860277, 1.073591388349582, 1.0276147140950658]",-9.10320147423699e-13,3.0480390018700674,0.5414486149406827,0.9385122442894611,0.7369928273576807,0.5039159214721767,0.01482960593996404,0.01482960593996404,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""1ce7e190e325590dc17dbdf631173e086fca028da1835e09bc0ca3ba045b07b7"", ""877284883b1723b2cb565f75cf9569ea09655dccfab3cd1835f787fd5515283d"", ""159d33b771fb6aa473fadea11de4ee78c22bca822afc90f64dd31f730c503c36"", ""50003967d4045e029f6e8970accea63ae9d52d7331fc2e2bedf3748a5c069f57"", ""4a4713f4281e1b1cab8c096284aba3fc745221d5f8d2d550d983f265b66153ab"", ""ab0d61e90ab6715375c3d5d9b0cc30a547c0988b01f34d37a99753924cfa6c0f"", ""9dd90f1afe61347dae422e8188a8e451528a000aa5d3c4e1b516e59d320608f1"", ""84085cd6e1978c8e94105c484a91611070eba355cf1f999e3e4856b992268f90""]","[""prism_triangular"", ""truncated_tetrahedron"", ""ladder_4"", ""grid_3x3"", ""bilayer_square_4_4"", ""bilayer_hex_6_6"", ""decagon_ring"", ""prism_triangular""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",16,"[4, 4, 4, 4, 4, 4, 4, 4]",1.0000000000009104,False,0.014829605939964186,0.014829605939964186,"[0.2211289194215749, 0.46820692533884034, 0.41677053883473036, 0.47390553802094765, 0.5430108048942209, 0.26807539483171455, 0.34323477757863413, 0.3285357088893689]",0.03795489376380079,8,"[null, null, null, null, null, null, null, null]",1.7547398337303997,no_lock,6,fail,False,3.0628686078100316,Be8_FromScratch,be8_from_scratch
"[1.2077686495596087, 0.7399242969281663, 1.4873281872728488, 1.5760301394563039, 1.147357834961803, 1.1063752844464358, 1.755830752129446, 1.5126881157520387]",-9.10320147423699e-13,3.351543349797545,0.6207350225469441,0.9689111663411696,0.7017632138493387,0.5311661666609655,0.01602837350605118,0.01602837350605118,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""c537f485d614fd6cca2f47b8e372b1f861dcc79348b5ab97bf30aac355e081c8"", ""b69a787bd441d7409f33d4ac7f2e1fc39e7824796d8864ae79a85496adfe70a8"", ""58f1a2e007e056946d30bb9a1f111f3c3507f07882d0ad8bef208b9f36c3f087"", ""c8348bd1da7de98ec41cca44ed615257d75cafeb3f98c08d0e0ca2fb44033a9e"", ""273823d287630bedc1747f1eafded2e2d922b0ae8718ce53ba974899e4cb0722"", ""d31aa251107af6480798acff02f23af70f0180aacf9ce51c20bcf2f8a7774c06"", ""a83b192cdc79048c8a4da32aa8310770ab038ae3b6ad2b237f38a07bb4914d6c"", ""e7501c67ddc56fdbf162a378550f66998c1134531294fd6345b46fd1740acd00""]","[""petersen"", ""bipartite_1_n"", ""hexagon_with_center"", ""ladder_5"", ""star_6"", ""truncated_tetrahedron"", ""petersen"", ""ladder_5""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",16,"[4, 4, 4, 4, 4, 4, 4, 4]",1.0000000000009104,False,0.016028373506051352,0.016028373506051352,"[0.38613219917432384, 0.23655904307465406, 0.47550936518764236, 0.5038680081116346, 0.36681843349323195, 0.3537160215668736, 0.5613515385954623, 0.48361711409977365]",0.9378442497246867,8,"[null, null, null, null, null, null, null, null]",1.7029999322406997,no_lock,7,fail,False,3.3675717233035964,Be8_FromScratch,be8_from_scratch
"[0.7395690458632723, 1.0131713619761455, 1.379069509850047, 1.24939146449205, 0.8497419150775728, 0.7143677771726713, 1.4797811721720453, 0.6763329139644161]",-9.10320147423699e-13,2.5847583308655597,0.5453615647568452,0.9784879688531304,0.30014416125500304,0.5012108083842648,0.005324724227032742,0.005324724227032742,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""93961354a881056f664355de68f55f6c6caee1bc6ffd17691763fc37f03da5fc"", ""1e4ba98571d23b565664cf3a278a1e8f7ae40585b142425f5c885028df0cce45"", ""07ff8e620df355bbb6ac9d0f644d8c5fe86bfd49708babd1b4efa05c8c9f564a"", ""3cf4d3c6a7acc1f08d9afddee2ddec296d6642bb3072f6e90d9bc82439b3c73c"", ""22d0c50502f00b75389c5d4007b33e9f4b461914388d01ca072dd33dc27dd61c"", ""2e1aca59198ca8bb52b714f2bf2d81854d4a718614ec4584ccf70d29153c6f57"", ""4240aefe40463ae20b557737e0fafa0c890279e1493316bf7f146c7d5d0b5c1b"", ""b284081907909319df35bd3aa95409fbe29e343fd7093b367e7f7092712de32a""]","[""wheel_5"", ""hexamer_chain"", ""grid_3x3"", ""decagon_ring"", ""bipartite_3_3"", ""pentagon_ring"", ""bipartite_4_8"", ""complete_k5""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",16,"[4, 4, 4, 4, 4, 4, 4, 4]",1.0000000000009104,False,0.005324724227032895,0.005324724227032895,"[0.23644546679082143, 0.32391806682757057, 0.4408982985663879, 0.3994393081736755, 0.27166851409758414, 0.2283884425378463, 0.473096530958887, 0.21622842713982007]",0.2706138459609907,8,"[null, null, null, null, null, null, null, null]",1.539138869212271,no_lock,8,fail,False,2.5900830550925926,Be8_FromScratch,be8_from_scratch
"[1.294609445751314, 0.7455520247912693, 1.5791054771068997, 0.7559407114692298, 1.570079989591116, 1.1538143395592628, 1.8028055370483302, 0.42528084991807086]",-9.10320147423699e-13,2.977604251198825,0.636521119862654,0.957537627052194,0.21833690605920786,0.2999227329513429,0.004363993097051769,0.004363993097051769,"[""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species"", ""species""]","[""6b29b94469e6ed62c86307b6a6df37dafc50d356a22d86f44b656fa61e146603"", ""433c1cff14ef6f75dfe411ae8684359be8398e996e0be34ea1ba3b82b2b9ffd3"", ""8ebdaa2f42bbcb51ea6406c971df36a3a961cf49c11ffb6cb8008042d98ca05f"", ""f638d0345bbeab033ebf947a021cbb9775567dd784975e80a2ab4dceaff78313"", ""da310e3f8a34e6077b2990f1ceffe9e75eed20041c3a3b399259180f01135d1a"", ""f12f8d62310e911e9d35da0638f06504c7d4747e3ff667247c440949ea1bc59d"", ""a1f30d040ccad9ec03103eb7968fe85d2579fb43da47e7d819e47034be8d0a9d"", ""fff81b9433596138a2f75217bc7942036205c0643d60cc99896a2c5c93df01fe""]","[""octahedron"", ""decamer_chain"", ""square_ring"", ""prism_triangular"", ""grid_3x3"", ""wheel_5"", ""petersen"", ""nonamer_chain""]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",16,"[4, 4, 4, 4, 4, 4, 4, 4]",1.0000000000009104,False,0.0043639930970518215,0.0043639930970518215,"[0.41389581733395997, 0.2383582675676287, 0.5048512153596959, 0.24167960434430077, 0.5019657030189336, 0.3688826237834049, 0.576369710339764, 0.13596530254818934]",0.8101731247224471,8,"[null, null, null, null, null, null, null, null]",2.7110859511091974,no_lock,9,fail,False,2.981968244295877,Be8_FromScratch,be8_from_scratch
