stage_index,source,target,count
0,meson_d_star_plus,ladder_2,79
1,ladder_2,non_candidate,2496
2,non_candidate,not_candidate,18461
3,not_candidate,not_candidate,18461
0,lambda_c,ladder_2,176
0,meson_d_star_zero,ladder_2,285
0,meson_ds_star_2090_DOF,ladder_2,264
0,meson_d_star_plus,complete_5,113
1,complete_5,non_candidate,3130
0,lambda_c,complete_5,244
0,unknown,complete_5,1113
0,meson_ds_star_2090_DOF,complete_5,360
0,delta_1920,ring_5,98
1,ring_5,non_candidate,2990
0,sigma_1775,ring_5,67
0,meson_ds_star_2090_DOF,ring_5,343
0,meson_d_star_plus,ring_5,83
0,unknown,ring_5,1109
0,meson_d_star_zero,ring_4,312
1,ring_4,non_candidate,2448
0,unknown,ring_4,927
0,unknown,ladder_2,976
0,sigma_1775,ladder_2,46
0,xi_c_2645,ladder_2,52
0,delta_1910,ladder_2,57
0,unknown,ring_2,463
1,ring_2,non_candidate,900
0,meson_ds1_2536,ring_2,28
0,meson_ds_star_2090_DOF,ring_4,254
0,lambda_c,ring_4,209
0,delta_1950,ring_4,117
0,lambda_c,ring_5,219
0,meson_ds1_2536,ring_5,78
0,other,ring_5,307
0,delta_1910,ring_5,74
0,lambda_c,complete_4,175
1,complete_4,non_candidate,2392
0,unknown,complete_4,946
0,unknown,bipartite_2_2,879
1,bipartite_2_2,non_candidate,2404
0,xi_c_2645,bipartite_2_2,58
0,meson_d_star_plus,bipartite_2_2,76
0,meson_ds_star,ring_4,61
0,other,ring_4,260
0,meson_ds1_2536,complete_4,62
0,other,complete_4,274
0,other,bipartite_2_2,252
0,delta_1950,bipartite_2_2,124
0,unknown,ring_3,714
1,ring_3,non_candidate,1701
0,lambda_c,ring_3,118
0,sigma_1775,ring_2,25
0,xi_c_2645,ring_2,26
0,delta_1950,ring_3,83
0,meson_ds_star_2090_DOF,ring_3,232
0,delta_1910,ring_2,22
1,ring_2,candidate,362
2,candidate,sweep_pass,884
3,sweep_pass,promoted,884
0,meson_d_star_plus,ring_2,28
0,meson_d_star_zero,bipartite_2_2,297
0,lambda_c,bipartite_2_2,193
0,meson_ds_star,ring_5,97
0,sigma_1775,complete_4,42
0,meson_ds_star_2090_DOF,complete_4,282
0,meson_d_star_zero,complete_4,263
0,other,ladder_2,263
0,delta_1920,ring_3,72
0,meson_ds_star,ring_3,52
0,other,ring_2,129
0,meson_d_star_zero,ring_2,175
0,meson_ds_star_2090_DOF,ring_2,154
0,delta_1920,ladder_2,101
0,meson_d_star_zero,ring_5,371
0,meson_ds_star_2090_DOF,bipartite_2_2,273
0,delta_1950,ring_5,100
0,delta_1920,ring_2,46
0,meson_ds_star,ring_2,20
0,meson_ds1_2536,bipartite_2_2,54
0,other,complete_5,336
1,ring_3,candidate,177
0,meson_d_star_zero,ring_3,201
0,delta_1950,ladder_2,124
0,delta_1910,complete_5,58
0,meson_ds_star,bipartite_2_2,65
0,delta_1950,complete_4,102
0,delta_1910,bipartite_2_2,43
0,meson_ds_star,ladder_2,71
1,ladder_2,candidate,60
0,meson_d_star_plus,complete_4,80
0,lambda_c,ring_2,94
0,meson_ds_star,complete_5,81
0,xi_c_2645,complete_5,66
0,meson_d_star_zero,complete_5,350
0,meson_ds1_2536,ring_4,66
0,delta_1910,ring_3,43
0,meson_ds1_2536,ladder_2,62
0,meson_ds1_2536,ring_3,45
0,meson_d_star_plus,ring_3,48
0,delta_1920,complete_5,107
0,delta_1920,bipartite_2_2,102
0,other,ring_3,194
0,delta_1950,ring_2,52
0,sigma_1775,complete_5,87
0,xi_c_2645,complete_4,54
0,delta_1920,complete_4,93
0,xi_c_2645,ring_5,64
0,delta_1950,complete_5,138
0,meson_ds_star,complete_4,59
1,ring_5,candidate,20
1,bipartite_2_2,candidate,72
0,meson_ds1_2536,complete_5,102
0,sigma_1775,ring_4,56
0,xi_c_2645,ring_4,50
0,sigma_1775,bipartite_2_2,60
1,complete_4,candidate,84
0,delta_1910,ring_4,50
0,delta_1920,ring_4,102
1,ring_4,candidate,84
0,meson_d_star_plus,ring_4,68
0,sigma_1775,ring_3,39
0,xi_c_2645,ring_3,37
0,delta_1910,complete_4,44
1,complete_5,candidate,25
