run_id,best_target,type,best_d_total,structure_tier,s2_state,enough_levels,reason
0.0,proton,baryon,5.009979939920564,level1,none,0.0,tier_too_low
1.0,rho,meson,22.05802413821004,none,latent,1.0,tier_too_low
2.0,proton,baryon,2.875360326613232,level1,latent,0.0,tier_too_low
3.0,proton,baryon,2.8753603266132277,level1,none,0.0,tier_too_low
4.0,proton,baryon,2.4395652601534046,level1,none,0.0,tier_too_low
5.0,proton,baryon,2.4395652601534152,level1,none,0.0,tier_too_low
6.0,proton,baryon,22.80749013315033,none,latent,1.0,tier_too_low
7.0,proton,baryon,9.506911868744309,none,latent,0.0,tier_too_low
8.0,rho,meson,15.340522571191919,none,structural,1.0,tier_too_low
9.0,proton,baryon,17.591361420648433,none,latent,1.0,tier_too_low
10.0,pion,meson,14.028829290600275,none,structural,1.0,tier_too_low
11.0,rho,meson,10.631216734351295,level1,latent,1.0,distance_high
12.0,proton,baryon,15.403389951088256,none,none,1.0,tier_too_low
13.0,proton,baryon,22.496267911911403,none,latent,1.0,tier_too_low
14.0,pion,meson,27.81788227104067,none,structural,1.0,tier_too_low
15.0,proton,baryon,19.94159760331397,level1,none,0.0,tier_too_low
16.0,proton,baryon,20.493222578558484,none,latent,1.0,tier_too_low
17.0,proton,baryon,11.610093899277901,level1,none,1.0,tier_too_low
18.0,proton,baryon,21.492170804959322,none,latent,1.0,tier_too_low
19.0,proton,baryon,15.953278099728129,level1,none,0.0,tier_too_low
20.0,proton,baryon,2.846159455948185,level1,none,0.0,tier_too_low
21.0,proton,baryon,7.334537088051436,none,latent,0.0,tier_too_low
22.0,proton,baryon,2.439565260153407,level1,none,0.0,tier_too_low
23.0,rho,meson,11.23086396921751,none,latent,1.0,tier_too_low
24.0,proton,baryon,18.841186621103372,none,latent,1.0,tier_too_low
25.0,proton,baryon,19.58582768199354,level1,latent,0.0,tier_too_low
26.0,rho,meson,10.631216734351302,level1,none,1.0,distance_high
27.0,proton,baryon,21.900642411074475,level1,none,0.0,tier_too_low
28.0,proton,baryon,3.666986925324479,level1,none,0.0,tier_too_low
29.0,proton,baryon,2.4395652601534152,level1,none,0.0,tier_too_low
30.0,proton,baryon,2.875360326613232,level1,none,0.0,tier_too_low
31.0,proton,baryon,11.401400650717505,level1,latent,1.0,tier_too_low
32.0,proton,baryon,2.87536032661323,level1,latent,0.0,tier_too_low
33.0,rho,meson,9.337859891139978,none,latent,1.0,tier_too_low
34.0,proton,baryon,18.407628563473253,level1,latent,0.0,tier_too_low
35.0,proton,baryon,2.87536032661323,level1,latent,0.0,tier_too_low
36.0,proton,baryon,17.271012952912606,level1,latent,0.0,tier_too_low
37.0,pion,meson,8.810055766753042,none,structural,1.0,tier_too_low
38.0,rho,meson,5.568312657482496,none,latent,1.0,tier_too_low
39.0,proton,baryon,15.403389951088243,none,latent,1.0,tier_too_low
40.0,rho,meson,10.631216734351302,level1,none,1.0,distance_high
41.0,proton,baryon,23.39572537417851,none,latent,1.0,tier_too_low
42.0,proton,baryon,20.30006459896247,none,latent,1.0,tier_too_low
43.0,proton,baryon,15.96613951366001,none,latent,1.0,tier_too_low
44.0,proton,baryon,7.665224906491577,none,none,0.0,tier_too_low
45.0,proton,baryon,15.403389951088254,none,none,1.0,tier_too_low
46.0,rho,meson,19.635022262693468,none,latent,1.0,tier_too_low
47.0,proton,baryon,18.945563294339784,none,latent,1.0,tier_too_low
48.0,rho,meson,11.344718565189329,none,latent,1.0,tier_too_low
49.0,proton,baryon,11.401400650717513,level1,none,1.0,tier_too_low
50.0,proton,baryon,23.768124247384034,none,latent,1.0,tier_too_low
51.0,proton,baryon,10.160234836730895,none,latent,0.0,tier_too_low
52.0,proton,baryon,2.8461594559481806,level1,none,0.0,tier_too_low
53.0,proton,baryon,20.300064598962464,none,none,1.0,tier_too_low
54.0,rho,meson,11.868686722159875,none,structural,0.0,tier_too_low
55.0,rho,meson,5.568312657482508,none,none,1.0,tier_too_low
56.0,proton,baryon,14.777931924914634,none,structural,1.0,tier_too_low
57.0,proton,baryon,21.900642411074475,level1,none,0.0,tier_too_low
58.0,rho,meson,9.167371937980985,none,latent,1.0,tier_too_low
59.0,proton,baryon,20.61236933309273,level1,none,0.0,tier_too_low
60.0,proton,baryon,17.409624615703677,level1,none,0.0,tier_too_low
61.0,proton,baryon,17.271012952912606,level1,latent,0.0,tier_too_low
62.0,proton,baryon,2.439565260153411,level1,none,0.0,tier_too_low
63.0,proton,baryon,19.025380750344095,none,none,1.0,tier_too_low
64.0,proton,baryon,19.025380750344095,none,latent,1.0,tier_too_low
65.0,proton,baryon,24.701594977123534,none,none,1.0,tier_too_low
66.0,proton,baryon,22.27898329111851,none,latent,1.0,tier_too_low
67.0,proton,baryon,2.87536032661323,level1,latent,0.0,tier_too_low
68.0,proton,baryon,6.924484193185673,none,latent,0.0,tier_too_low
69.0,proton,baryon,25.125171247805326,none,latent,1.0,tier_too_low
70.0,proton,baryon,21.654284086238015,none,latent,1.0,tier_too_low
71.0,pion,meson,27.81788227104067,none,structural,1.0,tier_too_low
72.0,rho,meson,9.403703504922413,none,latent,1.0,tier_too_low
73.0,rho,meson,10.631216734351295,level1,none,1.0,distance_high
74.0,proton,baryon,22.46702714161369,none,structural,1.0,tier_too_low
75.0,rho,meson,9.096825208928351,none,latent,1.0,tier_too_low
76.0,pion,meson,18.625180284080404,none,structural,1.0,tier_too_low
77.0,proton,baryon,8.176239905949988,none,latent,0.0,tier_too_low
78.0,proton,baryon,2.846159455948185,level1,none,0.0,tier_too_low
79.0,proton,baryon,2.439565260153411,level1,none,0.0,tier_too_low
80.0,proton,baryon,16.855177964539383,level1,none,0.0,tier_too_low
81.0,rho,meson,9.403703506827622,level1,none,1.0,distance_high
82.0,proton,baryon,21.549694858837867,none,structural,1.0,tier_too_low
83.0,proton,baryon,4.754803996120105,none,latent,0.0,tier_too_low
84.0,proton,baryon,15.96613951366001,none,latent,1.0,tier_too_low
85.0,rho,meson,10.119752889549764,level1,none,1.0,distance_high
86.0,rho,meson,21.087463855052455,none,latent,1.0,tier_too_low
