Nucleon_like_d_spacing,Nucleon_like_d_total,Nucleon_like_has_enough_levels,Nucleon_like_is_match,Nucleon_like_n_levels_sim,Pion_like_d_spacing,Pion_like_d_total,Pion_like_has_enough_levels,Pion_like_is_match,Pion_like_n_levels_sim,R_S1_Q,R_S2_S1,R_S3_S2,Rho_like_d_spacing,Rho_like_d_total,Rho_like_has_enough_levels,Rho_like_is_match,Rho_like_n_levels_sim,band_count,first_energy,has_s2_dominant,s2_band_fraction,s3_band_fraction,second_energy,spacing_mean,spacing_std,third_energy
6.912858661,6.912858661,TRUE,FALSE,4,4.569336779,4.569336779,TRUE,FALSE,4,2.091596736,1.714144022,7.053024575,7.433862434,7.433862434,TRUE,FALSE,4,4,0.8,0,0,0,0.9,0.433333333,0.471404521,2
nan,nan,FALSE,FALSE,3,4.138673557,4.138673557,TRUE,FALSE,3,2.03992998,1.731326495,2.043026178,2.883597884,2.883597884,TRUE,FALSE,3,3,1.6,0,0,0,1.8,0.2,3.33E-16,2
nan,nan,FALSE,FALSE,3,0.15503876,0.15503876,TRUE,TRUE,3,2.644166836,2.164550059,7.268029298,3.148148148,3.148148148,TRUE,FALSE,3,3,0.75,0,0,0,1.875,0.625,0.5,2
nan,nan,FALSE,FALSE,3,4.042970619,4.042970619,TRUE,FALSE,3,2.891254282,1.522086224,7.083033095,2.648442093,2.648442093,TRUE,FALSE,3,3,1.555555556,0,0,0,1.777777778,0.222222222,1.11E-16,2
nan,nan,FALSE,FALSE,3,4.461670973,4.461670973,TRUE,FALSE,3,2.974342741,2.202690062,4.949339209,8.095238095,8.095238095,TRUE,FALSE,3,3,0.625,0,0,0,0.75,0.6875,0.5625,2
7.035908049,7.035908049,TRUE,FALSE,5,4.546670293,4.546670293,TRUE,FALSE,5,2.460686118,1.730777937,5.018247403,7.712336397,7.712336397,TRUE,FALSE,5,5,0.736842105,0,0,0,0.842105263,0.394736842,0.442700101,2
nan,nan,FALSE,FALSE,3,0.946699093,0.946699093,TRUE,TRUE,3,2.012529278,1.953197907,8.39702453,2.214441332,2.214441332,TRUE,FALSE,3,3,0.941176471,0,0,0,1.882352941,0.529411765,0.411764706,2
7.035908049,7.035908049,TRUE,FALSE,5,4.546670293,4.546670293,TRUE,FALSE,5,2.781300219,1.541109646,9.868362914,7.712336397,7.712336397,TRUE,FALSE,5,5,0.736842105,0,0,0,0.842105263,0.394736842,0.442700101,2
1.842265068,1.842265068,TRUE,FALSE,4,3.769533653,3.769533653,TRUE,FALSE,4,2.972709643,1.828435293,8.60732121,2.142857143,2.142857143,TRUE,FALSE,4,4,1.428571429,0,0,0,1.714285714,0.285714286,1.06E-16,2
8.410298522,8.410298522,TRUE,FALSE,7,4.608487981,4.608487981,TRUE,FALSE,7,2.959169099,1.692927633,7.681247379,8.876863877,8.876863877,TRUE,FALSE,7,7,0.545454545,1,0.285714286,0,0.636363636,0.378787879,0.470673472,2
