proxy,corr_with_s2
Nucleon_like_d_spacing,0.28089380580278234
Nucleon_like_d_total,0.28089380580278234
Nucleon_like_has_enough_levels,0.08815966155209924
Nucleon_like_is_match,nan
Nucleon_like_n_levels_sim,0.14507996638749515
Pion_like_d_spacing,-0.1180878285621242
Pion_like_d_total,-0.1180878285621242
Pion_like_has_enough_levels,-0.0062562201197983785
Pion_like_is_match,-0.03832877560323999
Pion_like_n_levels_sim,0.14507996638749515
R_S1_Q,0.008408930608104747
R_S2_S1,-0.15448597713067772
R_S3_S2,0.020544141539181167
Rho_like_d_spacing,0.17895606039791867
Rho_like_d_total,0.17895606039791867
Rho_like_has_enough_levels,-0.06039352938560687
Rho_like_is_match,-0.021063518394604953
Rho_like_n_levels_sim,0.14507996638749515
band_count,0.14507996638749515
first_energy,-0.4421155929716951
has_s3_dominant,nan
lock_quality_Q,-0.32417326993966344
lock_quality_S1,-0.1716467644790616
lock_quality_S2,0.9320201304476927
run_id,0.008085855118589863
s2_band_fraction,0.9310949943424885
s2_total_fraction,0.4121332879572065
s3_band_fraction,nan
second_energy,-0.20466277409172756
spacing_mean,0.3593528647805718
spacing_std,0.27740736730465
third_energy,0.011671989298019507
