Nucleon_like_d_spacing,Nucleon_like_d_total,Nucleon_like_has_enough_levels,Nucleon_like_is_match,Nucleon_like_n_levels_sim,Pion_like_d_spacing,Pion_like_d_total,Pion_like_has_enough_levels,Pion_like_is_match,Pion_like_n_levels_sim,R_S1_Q,R_S2_S1,R_S3_S2,Rho_like_d_spacing,Rho_like_d_total,Rho_like_has_enough_levels,Rho_like_is_match,Rho_like_n_levels_sim,band_count,first_energy,has_s2_dominant,s2_band_fraction,s3_band_fraction,second_energy,spacing_mean,spacing_std,third_energy
7.630180659,7.630180659,nan,nan,4.0,4.461670973,4.461670973,nan,nan,4.0,2.688278464,1.915686194,9.327539184,7.433862434,7.433862434,nan,nan,4.0,4.0,0.75,0.0,0.0,0.0,0.875,0.541666667,0.424918293,2.0
7.975557917,7.975557917,nan,nan,4.0,4.569336779,4.569336779,nan,nan,4.0,2.664306405,1.78813935,3.069323359,8.492063492,8.492063492,nan,nan,4.0,4.0,0.6,0.0,0.0,0.0,0.7,0.5,0.565685425,2.0
7.697231921,7.697231921,nan,nan,5.0,4.589844551,4.589844551,nan,nan,5.0,2.61505644,1.762221372,9.134810481,8.189720333,8.189720333,nan,nan,5.0,5.0,0.666666667,1.0,0.2,0.0,0.761904762,0.571428571,0.494871659,2.0
7.16455059,7.16455059,nan,nan,4.0,4.546670293,4.546670293,nan,nan,4.0,2.739897125,1.616570268,7.30873447,7.712336397,7.712336397,nan,nan,4.0,4.0,0.736842105,0.0,0.0,0.0,0.842105263,0.456140351,0.496215285,2.0
7.089975204,7.089975204,nan,nan,4.0,4.425782372,4.425782372,nan,nan,4.0,2.604579849,2.306227918,9.084273015,7.78659612,7.78659612,nan,nan,4.0,4.0,0.666666667,0.0,0.0,0.0,0.8,0.488888889,0.502831489,2.0
9.721420981,9.721420981,nan,nan,5.0,4.692383413,4.692383413,nan,nan,5.0,2.84088967,2.23423612,6.748839393,10.07936508,10.07936508,nan,nan,5.0,5.0,0.357142857,1.0,0.6,0.0,0.428571429,0.535714286,0.615488855,2.0
6.558625576,6.558625576,nan,nan,4.0,4.282227964,4.282227964,nan,nan,4.0,2.714732735,2.397225807,3.636163022,7.433862434,7.433862434,nan,nan,4.0,4.0,0.666666667,0.0,0.0,0.0,0.833333333,0.5,0.471404521,2.0
10.18146395,10.18146395,nan,nan,4.0,4.738991987,4.738991987,nan,nan,4.0,2.660788379,2.352217618,7.650795122,10.48019881,10.48019881,nan,nan,4.0,4.0,0.303030303,1.0,0.5,0.0,0.363636364,0.585858586,0.742819245,2.0
7.697231921,7.697231921,nan,nan,4.0,4.589844551,4.589844551,nan,nan,4.0,2.680258077,1.778847004,2.588964573,8.189720333,8.189720333,nan,nan,4.0,4.0,0.666666667,0.0,0.0,0.0,0.761904762,0.476190476,0.538748024,2.0
6.965993624,6.965993624,nan,nan,5.0,4.461670973,4.461670973,nan,nan,5.0,2.91391806,1.832209039,3.563452143,7.433862434,7.433862434,nan,nan,5.0,5.0,0.75,0.0,0.0,0.0,0.875,0.46875,0.389059362,2.0
