first_max,spacing_min,dspacing_min,n_total,n_region,k_region_s2,p_region,se_region,n_out,k_out_s2,p_out,se_out,delta_p,z_score
0.6,0.4,5.5,600,18,16,0.8888888888888888,0.07407407407407408,582,67,0.11512027491408934,0.013229899310629888,0.7737686139747995,10.283151341402505
0.6,0.4,6.0,600,16,14,0.875,0.08267972847076846,584,69,0.11815068493150685,0.013356998869668275,0.7568493150684932,9.036823528268034
0.6,0.4,6.5,600,16,14,0.875,0.08267972847076846,584,69,0.11815068493150685,0.013356998869668275,0.7568493150684932,9.036823528268034
0.6,0.45,5.5,600,16,15,0.9375,0.06051536478449089,584,68,0.11643835616438356,0.0132727231735611,0.8210616438356164,13.252803108780101
0.6,0.45,6.0,600,14,13,0.9285714285714286,0.06883029368995938,586,70,0.11945392491467577,0.013397613557627091,0.8091175036567528,11.538698842220033
0.6,0.45,6.5,600,14,13,0.9285714285714286,0.06883029368995938,586,70,0.11945392491467577,0.013397613557627091,0.8091175036567528,11.538698842220033
0.6,0.5,5.5,600,15,14,0.9333333333333333,0.06440611887195305,585,69,0.11794871794871795,0.01333569324519225,0.8153846153846154,12.397091723324
0.6,0.5,6.0,600,13,12,0.9230769230769231,0.07390530175619404,587,71,0.12095400340715502,0.013458506645842205,0.8021229196697681,10.677782975934676
0.6,0.5,6.5,600,13,12,0.9230769230769231,0.07390530175619404,587,71,0.12095400340715502,0.013458506645842205,0.8021229196697681,10.677782975934676
0.7,0.4,5.5,600,54,23,0.42592592592592593,0.06729055730768654,546,60,0.10989010989010989,0.013384581477051925,0.31603581603581604,4.606345834999964
0.7,0.4,6.0,600,50,20,0.4,0.06928203230275509,550,63,0.11454545454545455,0.013579717053447413,0.28545454545454546,4.043245757823306
0.7,0.4,6.5,600,50,20,0.4,0.06928203230275509,550,63,0.11454545454545455,0.013579717053447413,0.28545454545454546,4.043245757823306
0.7,0.45,5.5,600,48,21,0.4375,0.071602745233685,552,62,0.11231884057971014,0.013439566735606954,0.32518115942028986,4.463518118891419
0.7,0.45,6.0,600,46,19,0.41304347826086957,0.07259754507273407,554,64,0.11552346570397112,0.013580738282683082,0.2975200125568984,4.028331249057302
0.7,0.45,6.5,600,46,19,0.41304347826086957,0.07259754507273407,554,64,0.11552346570397112,0.013580738282683082,0.2975200125568984,4.028331249057302
0.7,0.5,5.5,600,34,19,0.5588235294117647,0.08515380416833712,566,64,0.11307420494699646,0.01331119969495925,0.4457493244647682,5.171830333416482
0.7,0.5,6.0,600,32,17,0.53125,0.08821554523934542,568,66,0.11619718309859155,0.013446254369970233,0.41505281690140844,4.651262961530913
0.7,0.5,6.5,600,32,17,0.53125,0.08821554523934542,568,66,0.11619718309859155,0.013446254369970233,0.41505281690140844,4.651262961530913
0.8,0.4,5.5,600,83,26,0.3132530120481928,0.05091045321816184,517,57,0.1102514506769826,0.013774648615793968,0.20300156137121017,3.8490260777036145
0.8,0.4,6.0,600,79,23,0.2911392405063291,0.0511113432310541,521,60,0.11516314779270634,0.013985226451254301,0.17597609271362277,3.3209208445863307
0.8,0.4,6.5,600,78,23,0.2948717948717949,0.05163014666229672,522,60,0.11494252873563218,0.013960174870698432,0.1799292661361627,3.364158040127638
0.8,0.45,5.5,600,69,23,0.3333333333333333,0.056750435383916574,531,60,0.11299435028248588,0.013738657508813992,0.22033898305084743,3.7735902629351323
0.8,0.45,6.0,600,67,21,0.31343283582089554,0.056673020411301595,533,62,0.11632270168855535,0.013887225409320914,0.1971101341323402,3.3780836814772317
0.8,0.45,6.5,600,66,21,0.3181818181818182,0.05733238398971739,534,62,0.11610486891385768,0.013862927708815271,0.2020769492679605,3.425927272658215
0.8,0.5,5.5,600,42,21,0.5,0.07715167498104596,558,62,0.1111111111111111,0.013304096446427771,0.3888888888888889,4.967264243496186
0.8,0.5,6.0,600,40,19,0.475,0.07895805848676878,560,64,0.11428571428571428,0.013444627830204574,0.3607142857142857,4.503607248989534
0.8,0.5,6.5,600,40,19,0.475,0.07895805848676878,560,64,0.11428571428571428,0.013444627830204574,0.3607142857142857,4.503607248989534
0.9,0.4,5.5,600,116,31,0.2672413793103448,0.04108689535340263,484,52,0.10743801652892562,0.014075878283392334,0.15980336278141918,3.6794656622385915
0.9,0.4,6.0,600,108,28,0.25925925925925924,0.042168521670615626,492,55,0.11178861788617886,0.014206085006572963,0.14747064137308039,3.314158655593551
0.9,0.4,6.5,600,102,28,0.27450980392156865,0.044187010276567434,498,55,0.11044176706827309,0.014045564346850106,0.16406803685329557,3.5385717607168163
0.9,0.45,5.5,600,84,26,0.30952380952380953,0.05044077395247557,516,57,0.11046511627906977,0.013799686433672218,0.19905869324473977,3.8065020096521476
0.9,0.45,6.0,600,80,24,0.3,0.05123475382979799,520,59,0.11346153846153846,0.013908216840268262,0.18653846153846154,3.513695396240857
0.9,0.45,6.5,600,78,24,0.3076923076923077,0.05225894003744288,522,59,0.11302681992337164,0.013858325153361287,0.19466548776893605,3.600566537290107
0.9,0.5,5.5,600,48,24,0.5,0.07216878364870322,552,59,0.1068840579710145,0.013150457100851916,0.3931159420289855,5.358933294900257
0.9,0.5,6.0,600,46,22,0.4782608695652174,0.07365126555303651,554,61,0.11010830324909747,0.01329914527292778,0.3681525663161199,4.919041221945601
0.9,0.5,6.5,600,46,22,0.4782608695652174,0.07365126555303651,554,61,0.11010830324909747,0.01329914527292778,0.3681525663161199,4.919041221945601
