Nucleon_like_d_spacing,Nucleon_like_d_total,Nucleon_like_has_enough_levels,Nucleon_like_is_match,Nucleon_like_n_levels_sim,Pion_like_d_spacing,Pion_like_d_total,Pion_like_has_enough_levels,Pion_like_is_match,Pion_like_n_levels_sim,R_S1_Q,R_S2_S1,R_S3_S2,Rho_like_d_spacing,Rho_like_d_total,Rho_like_has_enough_levels,Rho_like_is_match,Rho_like_n_levels_sim,band_count,first_energy,has_s2_dominant,s2_band_fraction,s3_band_fraction,second_energy,spacing_mean,spacing_std,third_energy
nan,nan,False,False,2,3.9233419465977613,3.9233419465977613,True,False,2,2.6823518632481433,1.5538210188022226,3.759185292820465,nan,nan,False,False,2,2,1.75,0,0.0,0.0,1.9999999999999998,nan,nan,nan
7.231668437832091,7.231668437832091,True,False,4,4.569336778639103,4.569336778639103,True,False,4,2.3961544444174234,1.5222352879198788,5.752292256516029,7.433862433862432,7.433862433862432,True,False,4,4,0.7999999999999999,0,0.0,0.0,0.9000000000000001,0.5,0.4320493798938572,2.0
nan,nan,False,False,3,3.9233419465977613,3.9233419465977613,True,False,3,2.5219335334143764,1.7720447531611885,3.437083246835459,2.3544973544973553,2.3544973544973553,True,False,3,3,1.5,0,0.0,0.0,1.7499999999999998,0.2499999999999999,1.1102230246251565e-16,1.9999999999999998
nan,nan,False,False,3,3.9233419465977595,3.9233419465977595,True,False,3,2.400557831595185,1.9413120958266812,9.364413661293703,2.354497354497353,2.354497354497353,True,False,3,3,1.4999999999999998,0,0.0,0.0,1.75,0.2500000000000001,1.1102230246251565e-16,2.0
nan,nan,False,False,3,3.769533653254583,3.769533653254583,True,False,3,2.7557388921100046,1.9890237028132605,8.604995074901506,2.142857142857141,2.142857142857141,True,False,3,3,1.4285714285714286,0,0.0,0.0,1.7142857142857144,0.2857142857142857,1.1102230246251565e-16,2.0
nan,nan,False,False,3,3.769533653254584,3.769533653254584,True,False,3,2.3237801486725402,2.400976328881449,2.3744955118688758,2.1428571428571446,2.1428571428571446,True,False,3,3,1.4285714285714284,0,0.0,0.0,1.714285714285714,0.2857142857142858,2.220446049250313e-16,2.0
7.40878498051718,7.40878498051718,True,False,6,4.589844551084861,4.589844551084861,True,False,6,2.899725840428803,1.5064289624279668,8.852868743940885,8.189720332577473,8.189720332577473,True,False,6,6,0.6666666666666666,0,0.0,0.0,0.7619047619047621,0.34285714285714286,0.4491362332400607,2.0
nan,nan,False,False,3,0.16795865633074997,0.16795865633074997,True,True,3,2.7251154761353056,2.407175469715259,8.935587308841763,3.5008818342151704,3.5008818342151704,True,False,3,3,0.6666666666666667,0,0.0,0.0,1.866666666666667,0.6666666666666666,0.5333333333333335,2.0
6.864724635869226,6.864724635869226,True,False,4,1.333282667071997,1.333282667071997,True,False,4,2.880107683945246,1.5570474294562042,8.409172966834372,5.326797385620916,5.326797385620916,True,False,4,4,0.4705882352941176,1,0.75,0.0,1.9411764705882353,0.5294117647058824,0.6655122646461624,2.0
6.115834218916046,6.115834218916046,True,False,4,4.46167097329888,4.46167097329888,True,False,4,2.1092449847897417,2.2077200880480974,6.178511742397546,6.772486772486772,6.772486772486772,True,False,4,4,0.875,0,0.0,0.0,1.0,0.4166666666666667,0.4124789556921527,2.0
