proxy,corr_with_s2
Nucleon_like_d_spacing,0.3637208794127654
Nucleon_like_d_total,0.3637208794127654
Nucleon_like_has_enough_levels,0.09103718406499003
Nucleon_like_is_match,nan
Nucleon_like_n_levels_sim,0.07572084338726318
Pion_like_d_spacing,-0.0760984471365125
Pion_like_d_total,-0.0760984471365125
Pion_like_has_enough_levels,0.030360642390195508
Pion_like_is_match,-0.09731246257170242
Pion_like_n_levels_sim,0.07572084338726318
R_S1_Q,0.07761802023729128
R_S2_S1,-0.12872037515990212
R_S3_S2,-0.05305676600668232
Rho_like_d_spacing,0.22151442051790435
Rho_like_d_total,0.22151442051790435
Rho_like_has_enough_levels,-0.03750000811548045
Rho_like_is_match,-0.030360642390195508
Rho_like_n_levels_sim,0.07572084338726318
band_count,0.07572084338726318
first_energy,-0.5069972145595413
s2_band_fraction,0.9454793570115266
s3_band_fraction,nan
second_energy,-0.20524222165991854
spacing_mean,0.3519251825640575
spacing_std,0.34485712250871975
third_energy,-0.009089635128848372
